"LID","CaseAPSplitByRef"
10,"A unsplit"
100,"A split"
101,"A unsplit"
1010,"A unsplit"
1014,"A unsplit"
1018,"A unsplit"
103,"A unsplit"
104,"A unsplit"
1042,"A unsplit"
1053,"A unsplit"
1054,"A unsplit"
1056,"A unsplit"
1058,"A unsplit"
1059,"A unsplit"
1063,"A unsplit"
1067,"A unsplit"
107,"A unsplit"
108,"A unsplit"
109,"A unsplit"
1094,"A unsplit"
1095,"A unsplit"
1099,"A unsplit"
110,"A unsplit"
1103,"A split"
1105,"A unsplit"
1108,"A unsplit"
1116,"A unsplit"
112,"A unsplit"
1128,"A unsplit"
1129,"A unsplit"
113,"A unsplit"
1130,"A unsplit"
1134,"A unsplit"
1136,"A unsplit"
1142,"A unsplit"
1143,"A unsplit"
1144,"A unsplit"
1146,"A unsplit"
1155,"A unsplit"
116,"A unsplit"
1163,"A unsplit"
1169,"A unsplit"
1172,"A unsplit"
1176,"A unsplit"
1177,"A unsplit"
118,"A unsplit"
1183,"A unsplit"
12,"A unsplit"
123,"A unsplit"
1234,"A unsplit"
124,"A unsplit"
125,"A unsplit"
1255,"A unsplit"
1257,"A unsplit"
1261,"A unsplit"
1262,"A unsplit"
1263,"A split"
1264,"A unsplit"
1272,"A unsplit"
1276,"A unsplit"
129,"A unsplit"
1293,"A unsplit"
130,"A unsplit"
1302,"A unsplit"
1323,"A unsplit"
1333,"A split"
1335,"A split"
134,"A unsplit"
1343,"A unsplit"
1348,"A unsplit"
135,"A unsplit"
136,"A unsplit"
1364,"A split"
138,"A unsplit"
1388,"A unsplit"
139,"A unsplit"
14,"A unsplit"
140,"A unsplit"
141,"A unsplit"
1413,"A unsplit"
1414,"A unsplit"
1416,"A unsplit"
142,"A unsplit"
1439,"A unsplit"
144,"A unsplit"
1468,"A unsplit"
147,"A unsplit"
1473,"A unsplit"
148,"A unsplit"
1487,"A unsplit"
149,"A unsplit"
1492,"A unsplit"
15,"A unsplit"
150,"A unsplit"
1505,"A unsplit"
1508,"A unsplit"
1511,"A unsplit"
1517,"A unsplit"
1518,"A unsplit"
1523,"A unsplit"
1528,"A unsplit"
1528,"A unsplit"
1531,"A split"
1533,"A unsplit"
1536,"A unsplit"
1538,"A unsplit"
154,"A unsplit"
1542,"A split"
155,"A split"
1556,"A unsplit"
156,"A unsplit"
157,"A unsplit"
1573,"A unsplit"
1577,"A unsplit"
1578,"A unsplit"
159,"A unsplit"
1592,"A unsplit"
1597,"A unsplit"
1600,"A unsplit"
162,"A unsplit"
1621,"A unsplit"
1623,"A unsplit"
1628,"A unsplit"
1644,"A unsplit"
1645,"A unsplit"
165,"A unsplit"
1650,"A unsplit"
166,"A unsplit"
1660,"A unsplit"
167,"A unsplit"
1671,"A unsplit"
1682,"A unsplit"
169,"A unsplit"
169,"A unsplit"
1691,"A unsplit"
1692,"A unsplit"
17,"A unsplit"
170,"A unsplit"
1702,"A unsplit"
1703,"A unsplit"
1709,"A unsplit"
171,"A unsplit"
172,"A unsplit"
173,"A split"
1739,"A unsplit"
1743,"A unsplit"
1744,"A split"
175,"A unsplit"
1750,"A unsplit"
1751,"A unsplit"
176,"A unsplit"
1763,"A unsplit"
1772,"A split"
1775,"A unsplit"
1778,"A unsplit"
1784,"A unsplit"
179,"A unsplit"
1791,"A unsplit"
1806,"A unsplit"
181,"A unsplit"
1810,"A unsplit"
1816,"A split"
1826,"A unsplit"
1827,"A unsplit"
1833,"A unsplit"
1835,"A unsplit"
188,"A unsplit"
1887,"A unsplit"
1896,"A unsplit"
1902,"A unsplit"
191,"A unsplit"
1914,"A unsplit"
193,"A split"
1940,"A unsplit"
1944,"A unsplit"
1947,"A split"
1949,"A unsplit"
1952,"A unsplit"
1954,"A unsplit"
1961,"A unsplit"
1964,"A unsplit"
197,"A unsplit"
198,"A unsplit"
1989,"A unsplit"
199,"A unsplit"
1991,"A unsplit"
1999,"A unsplit"
20,"A unsplit"
2007,"A unsplit"
201,"A unsplit"
2015,"A unsplit"
2016,"A unsplit"
2023,"A unsplit"
2028,"A unsplit"
2029,"A unsplit"
2031,"A unsplit"
2035,"A unsplit"
2047,"A unsplit"
2054,"A unsplit"
2060,"A unsplit"
2063,"A unsplit"
2072,"A unsplit"
2081,"A unsplit"
2081,"A split"
209,"A unsplit"
2093,"A unsplit"
2096,"A unsplit"
2098,"A unsplit"
21,"A unsplit"
210,"A split"
2102,"A unsplit"
211,"A unsplit"
2124,"A unsplit"
2132,"A unsplit"
2144,"A unsplit"
2148,"A unsplit"
2150,"A unsplit"
2153,"A unsplit"
2169,"A unsplit"
2172,"A unsplit"
2173,"A unsplit"
2189,"A unsplit"
2190,"A unsplit"
2194,"A unsplit"
22,"A unsplit"
2209,"A unsplit"
2210,"A unsplit"
2218,"A unsplit"
2225,"A split"
2227,"A unsplit"
223,"A split"
2233,"A split"
225,"A unsplit"
2251,"A unsplit"
2255,"A unsplit"
2259,"A unsplit"
2268,"A unsplit"
2271,"A unsplit"
2272,"A unsplit"
228,"A unsplit"
2285,"A unsplit"
2289,"A unsplit"
2290,"A unsplit"
2291,"A unsplit"
23,"A unsplit"
2306,"A unsplit"
2308,"A unsplit"
2313,"A unsplit"
2322,"A unsplit"
2335,"A unsplit"
2359,"A unsplit"
2360,"A split"
2371,"A split"
2378,"A unsplit"
2391,"A unsplit"
2402,"A unsplit"
2416,"A unsplit"
2416,"A split"
2417,"A unsplit"
2434,"A unsplit"
2453,"A unsplit"
2455,"A unsplit"
2459,"A unsplit"
2471,"A unsplit"
2498,"A unsplit"
25,"A unsplit"
2500,"A unsplit"
2513,"A unsplit"
2514,"A unsplit"
2536,"A unsplit"
2537,"A unsplit"
2539,"A unsplit"
2544,"A unsplit"
2548,"A unsplit"
2554,"A unsplit"
2556,"A unsplit"
2557,"A unsplit"
2562,"A split"
2564,"A unsplit"
2580,"A unsplit"
2586,"A unsplit"
2591,"A unsplit"
26,"A unsplit"
2607,"A unsplit"
2617,"A unsplit"
2628,"A unsplit"
2638,"A unsplit"
2641,"A unsplit"
2645,"A unsplit"
2657,"A unsplit"
2662,"A unsplit"
2667,"A unsplit"
2681,"A unsplit"
2681,"A split"
2690,"A unsplit"
2695,"A unsplit"
27,"A unsplit"
2706,"A unsplit"
2707,"A unsplit"
2722,"A split"
2723,"A split"
2726,"A unsplit"
2727,"A unsplit"
2729,"A unsplit"
2736,"A unsplit"
2761,"A unsplit"
2761,"A split"
2770,"A split"
2772,"A unsplit"
2790,"A unsplit"
2801,"A unsplit"
2814,"A unsplit"
2828,"A unsplit"
2831,"A unsplit"
2832,"A unsplit"
2848,"A unsplit"
2854,"A unsplit"
2862,"A split"
2863,"A unsplit"
2864,"A unsplit"
2865,"A unsplit"
2869,"A unsplit"
2871,"A unsplit"
2873,"A unsplit"
2878,"A unsplit"
2882,"A unsplit"
2883,"A unsplit"
2883,"A split"
2885,"A unsplit"
2886,"A unsplit"
2886,"A split"
2893,"A unsplit"
2897,"A unsplit"
29,"A unsplit"
2900,"A unsplit"
2903,"A unsplit"
2904,"A unsplit"
2918,"A unsplit"
2918,"A split"
2919,"A unsplit"
2919,"A split"
2920,"A split"
2922,"A unsplit"
2922,"A split"
2923,"A unsplit"
2923,"A split"
2924,"A unsplit"
2924,"A split"
2925,"A unsplit"
2925,"A split"
2927,"A unsplit"
2927,"A split"
2929,"A unsplit"
2929,"A split"
2930,"A unsplit"
2934,"A unsplit"
2935,"A unsplit"
2939,"A unsplit"
2943,"A unsplit"
2951,"A unsplit"
2954,"A unsplit"
2958,"A unsplit"
2969,"A unsplit"
2971,"A unsplit"
2972,"A unsplit"
2973,"A unsplit"
2974,"A unsplit"
2975,"A unsplit"
2980,"A unsplit"
2982,"A unsplit"
2983,"A unsplit"
2984,"A unsplit"
2987,"A unsplit"
2989,"A unsplit"
299,"A unsplit"
2990,"A unsplit"
2992,"A unsplit"
2993,"A unsplit"
2994,"A unsplit"
2997,"A unsplit"
3006,"A unsplit"
3009,"A unsplit"
3012,"A unsplit"
3015,"A unsplit"
3018,"A unsplit"
3022,"A unsplit"
3024,"A unsplit"
3028,"A unsplit"
3032,"A unsplit"
3037,"A unsplit"
3038,"A unsplit"
3039,"A unsplit"
3040,"A unsplit"
3042,"A unsplit"
3044,"A unsplit"
3045,"A unsplit"
3046,"A unsplit"
3047,"A unsplit"
3049,"A unsplit"
3051,"A unsplit"
3052,"A unsplit"
3053,"A unsplit"
3054,"A unsplit"
3058,"A unsplit"
3059,"A unsplit"
3060,"A unsplit"
3062,"A unsplit"
3063,"A unsplit"
3064,"A split"
3070,"A unsplit"
3072,"A unsplit"
3075,"A unsplit"
3081,"A unsplit"
3085,"A unsplit"
3092,"A unsplit"
3093,"A unsplit"
3095,"A unsplit"
3096,"A unsplit"
31,"A unsplit"
317,"A unsplit"
318,"A unsplit"
319,"A unsplit"
32,"A unsplit"
3206,"A unsplit"
322,"A unsplit"
323,"A unsplit"
324,"A unsplit"
325,"A unsplit"
328,"A unsplit"
331,"A unsplit"
332,"A unsplit"
333,"A unsplit"
337,"A unsplit"
339,"A unsplit"
34,"A unsplit"
340,"A unsplit"
343,"A unsplit"
344,"A unsplit"
345,"A unsplit"
347,"A unsplit"
348,"A unsplit"
349,"A unsplit"
35,"A split"
351,"A unsplit"
352,"A unsplit"
354,"A unsplit"
355,"A unsplit"
356,"A unsplit"
357,"A unsplit"
358,"A unsplit"
359,"A unsplit"
36,"A unsplit"
361,"A unsplit"
364,"A unsplit"
365,"A unsplit"
367,"A unsplit"
369,"A unsplit"
372,"A unsplit"
373,"A unsplit"
374,"A unsplit"
377,"A unsplit"
378,"A unsplit"
379,"A unsplit"
38,"A unsplit"
383,"A unsplit"
384,"A split"
385,"A unsplit"
386,"A unsplit"
