"LID","AnticipatoryArgumenyMarking","CataphoraConstraints","CategoricalSymmetry","ClauseLayer","ClausePosition","Embedding","ExtractionConstraints","Finiteness","FinitenessRatio","FinitenessSimplified","FocusMarkinginDependent","FocusMarking","Label","IllocutionaryMarking","IllocutionaryScope","InterpropositionalSemanticRelation","IntuitiveClassification","OriginalName","ReferenceTrackingSystem","TenseMarking","TenseScope"
74,"none",,"asymmetrical","detached","fixed:pre-main","adjoined","extraction_impossible",,"0","nonfinite","banned","ok","English:to.ing.detached","banned","local","purposive",,,"none","banned","conjunct"
35,"none",,"asymmetrical","ad-sentential","flexible-adjacent","adjoined","extraction_possible",1,".1","finite","ok","ok","Belhare:chain","harmonic","constraint-free","narrative","cosubordination",,"none","ok","extensible"
74,"none","cataphora_possible","asymmetrical","argument","flexible-adjacent","subcategorized","extraction_impossible",0,"0","nonfinite","banned","ok","English:cvb-comp","banned","disjunct",,"subordination","gerund clause","none","banned","conjunct"
40,"none",,"asymmetrical","ad-sentential","flexible-adjacent","adjoined",,,"0","nonfinite",,"banned","Burushaski:chain",,"constraint-free","narrative","cosubordination",,"none","banned","extensible"
502,"none",,"asymmetrical","ad-sentential","fixed:pre-main","adjoined",,,"0","nonfinite",,"ok","Turkish:chain","ok","conjunct","narrative","cosubordination",,"none","banned","conjunct"
35,"none",,"symmetrical","ad-sentential","flexible-adjacent","adjoined","extraction_impossible",1,".1","finite",,"banned","Belhare:and","ok","constraint-free","conjunction","coordination",,"none","ok","local"
629,"none",,"asymmetrical","ad-sentential","flexible-adjacent","adjoined",,1,".3333333333333333","nonfinite",,,"Chantyal:chain",,,"narrative","cosubordination","Chaining","none","banned","extensible"
74,"none","cataphora_possible","symmetrical","ad-sentential","flexible-relational","adjoined","extraction_impossible",,"0","nonfinite","banned","ok","English:although","ok","disjunct",,,,"none","ok","local"
35,"none",,"asymmetrical","ad-sentential","flexible-adjacent","adjoined","extraction_impossible",,"0","nonfinite","ok","ok","Belhare:inconseq","ok","local","inconsequential","coordination",,"none","banned","extensible"
49,"none","cataphora_impossible","symmetrical","ad-sentential","flexible-adjacent","adjoined","extraction_impossible",,,"finite","ok",,"Chechen:and","ok","local","conjunction",,,"none","ok","local"
468,"none",,"asymmetrical","ad-sentential","flexible-adjacent","adjoined",,,"0","nonfinite",,"ok","Newar (Dolakha):chain",,"constraint-free","narrative","cosubordination",,"none","banned",
20,,"cataphora_impossible","symmetrical","ad-sentential","fixed:pre-main","adjoined",,1,".1428571428571429","finite",,,"Amele:but","banned","local","inconsequential","coordination","Coordination","none","ok","local"
87,"none","cataphora_possible","constraint-free","ad-sentential","flexible-relational","adjoined","extraction_impossible",1,".5","finite","banned","ok","German:sub","banned","disjunct","causal","subordination",,"none","ok","local"
361,"none",,"asymmetrical","ad-sentential","flexible-relational","adjoined",,,"0","nonfinite",,"ok","Swahili:topic","banned","disjunct","topic","subordination",,"none","banned","conjunct"
361,"none",,"symmetrical","ad-sentential","flexible-adjacent","adjoined",,1,".2","finite",,,"Swahili:and","ok","conjunct",,"coordination",,"none","ok","local"
361,"none",,"asymmetrical","ad-sentential","fixed:post-main","adjoined",,0.5,".1","nonfinite",,,"Swahili:chain","banned","conjunct","narrative","cosubordination",,"none","banned","conjunct"
