"LID","WordOrderAPLex","WordOrderAPBasicLex","WordOrderAVBasicLex","PositionVBasicLex","WordOrderAPVBasicLex","PositionVBasicLex.binned.v4","PositionVBasicLex.binned.v1","PositionVBasicLex.binned.v3","PositionVBasicLex.binned.v2","WordOrderPVBasicLex","WordOrderAPSecondaryLex","WordOrderAVSecondaryLex","PositionVSecondaryLex","WordOrderAPVSecondaryLex","PositionVSecondaryLex.binned.v4","PositionVSecondaryLex.binned.v1","PositionVSecondaryLex.binned.v3","PositionVSecondaryLex.binned.v2","WordOrderPVSecondaryLex","VFinalLex","VFinalOrFreeLex","WordOrderAPVLexFlexible","VInitialLex","VMedialLex","WordOrderSVBasicLex","WordOrderSVSecondaryLex"
70,"mixed","OA","head-dep","V=1","VOA","non_final","other","initial","other","head-dep","AO","head-dep","V=1","VAO","non_final","other","initial","other","head-dep","mixed","mixed","flexible","mixed","mixed","VS","SV"
370,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
152,,,,"free","free",,"final_or_free","other","other",,,,,,,,,,,,"final_or_free","free","other","other","free",
9,,,,"free","free",,"final_or_free","other","other",,,,,,,,,,,,"final_or_free","free","other","other","free",
566,,,,"free","free",,"final_or_free","other","other",,,,,,,,,,,,"final_or_free","free","other","other","free",
90,"mixed","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head","OA","head-dep","V=2","OVA","non_final","other","other","medial","dep-head","mixed","mixed","flexible","mixed","mixed","free",
79,,,,"free","free",,"final_or_free","other","other",,,,,,,,,,,,"final_or_free","free","other","other","free",
59,,,,"free","free",,"final_or_free","other","other",,,,,,,,,,,,"final_or_free","free","other","other","free",
538,"AO","AO","dep-head","V=2","AVO","non_final","other","other","medial","head-dep",,,,,,,,,,"non_final","other","rigid","other","medial","SV",
10,,,,"free","free",,"final_or_free","other","other",,,,,,,,,,,,"final_or_free","free","other","other","SV",
1,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other","SV",
173,"OA","OA","head-dep","V=2","OVA","non_final","other","other","medial","dep-head",,,,,,,,,,"non_final","other","rigid","other","medial","SV",
2050,"AO","AO","dep-head","V=2","AVO","non_final","other","other","medial","head-dep",,,,,,,,,,"non_final","other","rigid","other","medial","SV",
428,,,,"free","free",,"final_or_free","other","other",,,,,,,,,,,,"final_or_free","free","other","other","SV",
2124,"AO","AO","dep-head","V=2","AVO","non_final","other","other","medial","head-dep",,,,,,,,,,"non_final","other","rigid","other","medial","SV",
2306,"AO","AO","dep-head","V=2","AVO","non_final","other","other","medial","head-dep",,,,,,,,,,"non_final","other","rigid","other","medial","VS",
2145,"AO","AO","dep-head","V=2","AVO","non_final","other","other","medial","head-dep",,,,,,,,,,"non_final","other","rigid","other","medial","VS",
372,"AO","AO","dep-head","V=2","AVO","non_final","other","other","medial","head-dep",,,,,,,,,,"non_final","other","rigid","other","medial","VS",
329,"mixed","AO","dep-head","V=2","AVO","non_final","other","other","medial","head-dep","OA","head-dep","V=2","OVA","non_final","other","other","medial","dep-head","mixed","mixed","flexible","mixed","mixed","VS",
77,"mixed","OA","head-dep","V=1","VOA","non_final","other","initial","other","head-dep","AO","head-dep","V=1","VAO","non_final","other","initial","other","head-dep","mixed","mixed","flexible","mixed","mixed","VS",
176,,,,"free","free",,"final_or_free","other","other",,,,,,,,,,,,"final_or_free","free","other","other","VS",
461,,,,"free","free",,"final_or_free","other","other",,,,,,,,,,,,"final_or_free","free","other","other","VS",
572,"AO","AO","dep-head","V=2","AVO","non_final","other","other","medial","head-dep",,,,,,,,,,"non_final","other","rigid","other","medial","VS",
131,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other","VS",
2308,"AO","AO","dep-head","V=2","AVO","non_final","other","other","medial","head-dep",,,,,,,,,,"non_final","other","rigid","other","medial","VS",
432,"mixed","OA","head-dep","V=2","OVA","non_final","other","other","medial","dep-head","OA","head-dep","V=1","VOA","non_final","other","initial","other","head-dep","mixed","mixed","flexible","mixed","mixed","VS",
150,,,,"free","free",,"final_or_free","other","other",,,,,,,,,,,,"final_or_free","free","other","other","VS",
47,"OA","OA","head-dep","V=1","VOA","non_final","other","initial","other","head-dep",,,,,,,,,,"non_final","other","rigid","initial","other","VS",
665,,,"head-dep","V=1","Vxx","non_final","other","initial","other","head-dep",,,,,,,,,,"non_final","other","flexible","initial","other","VS",
141,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
23,"AO","AO","head-dep","V=1","VAO","non_final","other","initial","other","head-dep",,,,,,,,,,"non_final","other","rigid","initial","other",,
166,"AO","AO","dep-head","V=2","AVO","non_final","other","other","medial","head-dep",,,,,,,,,,"non_final","other","rigid","other","medial",,
340,"AO","AO","dep-head","V=2","AVO","non_final","other","other","medial","head-dep",,,,,,,,,,"non_final","other","rigid","other","medial",,
2023,"mixed","AO","dep-head","V=2","AVO","non_final","other","other","medial","head-dep","OA","head-dep","V=1","VOA","non_final","other","initial","other","head-dep","mixed","mixed","flexible","mixed","mixed",,
433,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
612,"mixed",,,"free","free",,"final_or_free","other","other",,"AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head","mixed","mixed","free","mixed","mixed",,
107,"mixed","AO","dep-head","V=2","AVO","non_final","other","other","medial","head-dep","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head","mixed","mixed","flexible","mixed","mixed",,
844,"mixed","AO",,"V=2","V-2","non_final","other","other","medial",,"AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head","mixed","mixed","flexible","mixed","mixed",,
51,"mixed","AO","dep-head","V=2","AVO","non_final","other","other","medial","head-dep","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head","mixed","mixed","flexible","mixed","mixed",,
133,"mixed","OA","dep-head","V=3","OAV","final","final_or_free","other","other","dep-head","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head","mixed","mixed","flexible","mixed","mixed",,
114,"mixed","AO",,"V=2","V-2","non_final","other","other","medial",,"AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head","mixed","mixed","flexible","mixed","mixed",,
87,"mixed","AO",,"V=2","V-2","non_final","other","other","medial",,"AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head","mixed","mixed","flexible","mixed","mixed",,
111,"mixed","AO","head-dep","V=1","VAO","non_final","other","initial","other","head-dep","AO","dep-head","V=2","AVO","non_final","other","other","medial","head-dep","mixed","mixed","flexible","mixed","mixed",,
325,"mixed","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head","AO","dep-head","V=2","AVO","non_final","other","other","medial","head-dep","mixed","mixed","flexible","mixed","mixed",,
86,"mixed","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head","AO","dep-head","V=2","AVO","non_final","other","other","medial","head-dep","mixed","mixed","flexible","mixed","mixed",,
139,"mixed","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head","AO","dep-head","V=2","AVO","non_final","other","other","medial","head-dep","mixed","mixed","flexible","mixed","mixed",,
163,"mixed","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head","AO","dep-head","V=2","AVO","non_final","other","other","medial","head-dep","mixed","mixed","flexible","mixed","mixed",,
1528,"mixed","AO","head-dep","V=1","VAO","non_final","other","initial","other","head-dep","AO","dep-head","V=2","AVO","non_final","other","other","medial","head-dep","mixed","mixed","flexible","mixed","mixed",,
502,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
429,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
2779,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
6,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
872,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
444,"mixed","AO","dep-head","V=2","AVO","non_final","other","other","medial","head-dep","OA","head-dep","V=1","VOA","non_final","other","initial","other","head-dep","mixed","mixed","flexible","mixed","mixed",,
155,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
93,"mixed","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,"free","free",,"final_or_free","other","other",,"mixed","final_or_free","free","mixed","mixed",,
691,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
14,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
413,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
396,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
109,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
132,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
501,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
395,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
134,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
33,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
518,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
115,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
347,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
207,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
100,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
156,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
358,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
463,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
339,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
197,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
363,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
608,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
534,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
130,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
525,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
38,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
497,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
103,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
2983,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
646,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
648,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
172,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
377,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
142,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
2919,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
2930,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
223,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
641,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
225,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
199,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
64,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
50,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
1531,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
69,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
323,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
28,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
352,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
20,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
505,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
2971,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
393,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
54,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
118,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
191,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
368,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
116,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
676,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
21,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
40,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
324,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
126,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
201,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
73,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
640,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
32,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
200,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
628,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
45,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
391,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
690,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
95,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
649,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
184,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
350,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
375,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
35,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
550,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
465,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
326,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
580,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
228,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
81,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
196,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
514,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
663,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
146,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
387,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
666,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
397,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
61,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
423,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
407,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
12,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
2031,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
2500,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
355,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
72,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
18,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
136,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
2862,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
34,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
639,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
418,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
221,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
168,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
440,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
2935,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
26,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
2980,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
454,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
2984,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
348,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
635,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
1692,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
1276,"AO","AO","dep-head","V=3","AOV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
108,"OA","OA","dep-head","V=3","OAV","final","final_or_free","other","other","dep-head",,,,,,,,,,"final","final_or_free","rigid","other","other",,
