"LID","InclExclAsPerson.Presence","InclExclAny.Presence","InclExclType","InclExclAsMinAug.Presence"
148,FALSE,FALSE,"no i/e",FALSE
65,FALSE,FALSE,"no i/e",FALSE
75,FALSE,FALSE,"no i/e",FALSE
85,FALSE,FALSE,"no i/e",FALSE
111,FALSE,TRUE,"plain i/e type",FALSE
163,FALSE,FALSE,"no i/e",FALSE
165,FALSE,FALSE,"no i/e",FALSE
167,FALSE,FALSE,"no i/e",FALSE
199,TRUE,TRUE,"excl as person type",FALSE
324,FALSE,FALSE,"no i/e",FALSE
347,FALSE,FALSE,"no i/e",FALSE
421,FALSE,FALSE,"no i/e",FALSE
21,FALSE,FALSE,"no i/e",FALSE
23,FALSE,FALSE,"no i/e",FALSE
34,FALSE,FALSE,"no i/e",FALSE
431,FALSE,FALSE,"no i/e",FALSE
80,TRUE,TRUE,"excl as person type",FALSE
81,FALSE,FALSE,"no i/e",FALSE
91,FALSE,TRUE,"plain i/e type",FALSE
98,FALSE,FALSE,"no i/e",FALSE
373,FALSE,FALSE,"no i/e",
123,FALSE,FALSE,"no i/e",FALSE
147,TRUE,TRUE,"excl as person type",FALSE
172,FALSE,FALSE,"no i/e",FALSE
207,FALSE,FALSE,"no i/e",FALSE
323,FALSE,FALSE,"no i/e",FALSE
443,FALSE,FALSE,"no i/e",FALSE
15,FALSE,FALSE,"no i/e",FALSE
73,FALSE,FALSE,"no i/e",FALSE
100,FALSE,FALSE,"no i/e",
108,FALSE,FALSE,"no i/e",FALSE
360,FALSE,FALSE,"no i/e",FALSE
7,FALSE,FALSE,"no i/e",FALSE
25,FALSE,FALSE,"no i/e",FALSE
49,FALSE,TRUE,"plain i/e type",FALSE
86,FALSE,FALSE,"no i/e",FALSE
162,FALSE,FALSE,"no i/e",FALSE
325,FALSE,FALSE,"no i/e",FALSE
17,FALSE,FALSE,"no i/e",FALSE
32,FALSE,FALSE,"no i/e",FALSE
57,FALSE,FALSE,"no i/e",FALSE
74,FALSE,FALSE,"no i/e",FALSE
79,FALSE,FALSE,"no i/e",FALSE
107,FALSE,FALSE,"no i/e",FALSE
435,FALSE,FALSE,"no i/e",FALSE
340,FALSE,FALSE,"no i/e",FALSE
139,FALSE,FALSE,"no i/e",FALSE
40,FALSE,FALSE,"no i/e",FALSE
188,FALSE,TRUE,"plain i/e type",FALSE
387,FALSE,FALSE,"no i/e",FALSE
396,FALSE,FALSE,"no i/e",FALSE
205,FALSE,FALSE,"no i/e",FALSE
434,,TRUE,"plain i/e type",
142,TRUE,TRUE,"excl as person type",FALSE
197,FALSE,FALSE,"no i/e",FALSE
12,FALSE,TRUE,"plain i/e type",FALSE
56,FALSE,FALSE,"no i/e",FALSE
433,TRUE,TRUE,"min/aug type",TRUE
118,FALSE,FALSE,"no i/e",FALSE
116,FALSE,FALSE,"no i/e",FALSE
129,FALSE,FALSE,"no i/e",FALSE
141,FALSE,FALSE,"no i/e",FALSE
201,FALSE,FALSE,"no i/e",FALSE
203,FALSE,FALSE,"no i/e",FALSE
423,FALSE,FALSE,"no i/e",FALSE
9,FALSE,TRUE,"plain i/e type",FALSE
171,FALSE,FALSE,"no i/e",FALSE
182,FALSE,FALSE,"no i/e",FALSE
327,FALSE,TRUE,"plain i/e type",FALSE
362,TRUE,TRUE,"min/aug type",TRUE
371,FALSE,TRUE,"plain i/e type",FALSE
374,FALSE,FALSE,"no i/e",FALSE
39,FALSE,TRUE,"plain i/e type",FALSE
146,FALSE,TRUE,"plain i/e type",FALSE
364,FALSE,FALSE,"no i/e",FALSE
343,FALSE,TRUE,"plain i/e type",FALSE
6,FALSE,FALSE,"no i/e",FALSE
20,FALSE,FALSE,"no i/e",FALSE
22,FALSE,TRUE,"plain i/e type",FALSE
24,FALSE,FALSE,"no i/e",FALSE
31,FALSE,FALSE,"no i/e",FALSE
36,FALSE,FALSE,"no i/e",FALSE
126,FALSE,TRUE,"plain i/e type",FALSE
438,FALSE,TRUE,"plain i/e type",FALSE
350,FALSE,TRUE,"plain i/e type",FALSE
358,TRUE,TRUE,"excl as person type",FALSE
368,,TRUE,"plain i/e type",
369,FALSE,TRUE,"plain i/e type",FALSE
393,FALSE,FALSE,"no i/e",FALSE
395,FALSE,TRUE,"plain i/e type",FALSE
407,FALSE,FALSE,"no i/e",FALSE
26,FALSE,FALSE,"no i/e",FALSE
33,FALSE,FALSE,"no i/e",FALSE
109,FALSE,FALSE,"no i/e",FALSE
131,FALSE,FALSE,"no i/e",FALSE
133,FALSE,FALSE,"no i/e",FALSE
211,FALSE,FALSE,"no i/e",FALSE
14,FALSE,FALSE,"no i/e",FALSE
28,FALSE,FALSE,"no i/e",FALSE
38,FALSE,FALSE,"no i/e",FALSE
103,FALSE,FALSE,"no i/e",FALSE
130,FALSE,FALSE,"no i/e",FALSE
