"LID","CoArgSensitivityAgr.Presence","VAgreement.Presence.v1","CoArgSensitivityCase.Presence"
35,TRUE,TRUE,FALSE
9,,TRUE,FALSE
7,,TRUE,FALSE
10,,TRUE,FALSE
12,TRUE,TRUE,FALSE
14,,TRUE,FALSE
15,,TRUE,FALSE
17,,TRUE,FALSE
20,,TRUE,FALSE
21,FALSE,TRUE,FALSE
22,FALSE,TRUE,FALSE
23,,TRUE,FALSE
25,FALSE,TRUE,FALSE
26,FALSE,TRUE,FALSE
27,FALSE,TRUE,FALSE
28,FALSE,TRUE,TRUE
29,,TRUE,FALSE
31,,TRUE,FALSE
32,,TRUE,FALSE
34,,TRUE,FALSE
36,,,FALSE
38,,,FALSE
45,FALSE,TRUE,FALSE
47,,TRUE,FALSE
48,,TRUE,
49,,TRUE,FALSE
50,FALSE,TRUE,FALSE
51,,TRUE,FALSE
53,,TRUE,FALSE
54,FALSE,TRUE,FALSE
1163,,FALSE,FALSE
56,,TRUE,FALSE
57,FALSE,TRUE,FALSE
59,TRUE,TRUE,FALSE
63,,,FALSE
64,,FALSE,FALSE
65,,TRUE,FALSE
66,,FALSE,FALSE
68,,TRUE,FALSE
1538,,TRUE,FALSE
71,,FALSE,FALSE
72,,,FALSE
73,,,FALSE
74,FALSE,TRUE,FALSE
75,,FALSE,FALSE
78,,TRUE,FALSE
79,FALSE,TRUE,FALSE
81,,TRUE,
84,,FALSE,FALSE
85,,FALSE,FALSE
87,,TRUE,FALSE
88,,TRUE,FALSE
2272,,TRUE,FALSE
91,,TRUE,
93,,TRUE,FALSE
1592,,FALSE,FALSE
98,,FALSE,FALSE
99,FALSE,TRUE,FALSE
100,,TRUE,FALSE
101,,TRUE,FALSE
103,FALSE,TRUE,FALSE
104,,TRUE,FALSE
2994,,TRUE,FALSE
107,,TRUE,FALSE
108,,TRUE,FALSE
109,,FALSE,FALSE
110,,TRUE,FALSE
111,FALSE,TRUE,TRUE
113,FALSE,TRUE,FALSE
116,,TRUE,FALSE
118,,TRUE,FALSE
123,,TRUE,FALSE
125,,TRUE,FALSE
126,,TRUE,
129,,TRUE,FALSE
130,,TRUE,FALSE
134,,TRUE,FALSE
135,,TRUE,FALSE
136,,TRUE,FALSE
138,,TRUE,FALSE
139,,TRUE,FALSE
2378,,,FALSE
141,,TRUE,FALSE
142,,TRUE,FALSE
147,,TRUE,FALSE
148,,FALSE,FALSE
149,,TRUE,FALSE
150,,TRUE,FALSE
154,,TRUE,FALSE
155,,TRUE,FALSE
156,,TRUE,FALSE
157,,FALSE,FALSE
159,,TRUE,FALSE
162,,FALSE,FALSE
165,,TRUE,FALSE
166,,TRUE,FALSE
167,TRUE,TRUE,FALSE
169,,TRUE,FALSE
170,FALSE,TRUE,FALSE
171,,FALSE,FALSE
172,,FALSE,FALSE
173,,TRUE,FALSE
175,,FALSE,FALSE
176,,TRUE,FALSE
178,,TRUE,
179,,FALSE,FALSE
181,,TRUE,FALSE
3037,,FALSE,FALSE
188,,FALSE,FALSE
191,,TRUE,FALSE
192,,TRUE,TRUE
193,FALSE,TRUE,FALSE
197,,TRUE,FALSE
198,,TRUE,FALSE
199,,TRUE,FALSE
201,FALSE,TRUE,FALSE
