"LID","Gender.n","Gender.binned4","Gender.Presence"
1531,3,"3 genders",TRUE
655,4,"4 genders",TRUE
553,10,"more than 4 genders",TRUE
1149,5,"more than 4 genders",TRUE
2949,3,"3 genders",TRUE
82,4,"4 genders",TRUE
2962,3,"3 genders",TRUE
173,3,"3 genders",TRUE
895,5,"more than 4 genders",TRUE
15,2,"2 genders",TRUE
2536,4,"4 genders",TRUE
534,3,"3 genders",TRUE
512,2,"2 genders",TRUE
71,4,"4 genders",TRUE
651,3,"3 genders",TRUE
540,2,"2 genders",TRUE
660,4,"4 genders",TRUE
3101,2,"2 genders",TRUE
606,3,"3 genders",TRUE
497,8,"more than 4 genders",TRUE
493,2,"2 genders",TRUE
212,2,"2 genders",
378,2,"2 genders",TRUE
80,20,"more than 4 genders",TRUE
420,11,"more than 4 genders",TRUE
145,3,"3 genders",TRUE
686,,,FALSE
692,4,"4 genders",TRUE
668,,,FALSE
580,,,FALSE
64,,,FALSE
355,2,"2 genders",TRUE
571,2,"2 genders",TRUE
1519,2,"2 genders",TRUE
167,2,"2 genders",TRUE
98,2,"2 genders",TRUE
40,4,"4 genders",TRUE
386,2,"2 genders",TRUE
411,5,"more than 4 genders",TRUE
132,,,FALSE
87,3,"3 genders",TRUE
114,5,"more than 4 genders",TRUE
343,3,"3 genders",
340,3,"3 genders",TRUE
608,,,FALSE
188,,,FALSE
78,,,FALSE
423,,,FALSE
191,5,"more than 4 genders",TRUE
22,2,"2 genders",TRUE
438,2,"2 genders",
325,,,FALSE
348,,,FALSE
388,,,FALSE
318,6,"more than 4 genders",TRUE
7,,,FALSE
32,,,FALSE
14,,,TRUE
149,,,FALSE
2967,3,"3 genders",TRUE
69,,,FALSE
2511,2,"2 genders",TRUE
2828,,,FALSE
2388,4,"4 genders",TRUE
199,3,"3 genders",TRUE
402,,,FALSE
987,4,"4 genders",TRUE
2779,,,FALSE
21,2,"2 genders",TRUE
499,18,"more than 4 genders",TRUE
395,2,"2 genders",TRUE
332,,,FALSE
200,,,FALSE
409,,,FALSE
365,,,FALSE
10,,,FALSE
642,2,"2 genders",TRUE
390,5,"more than 4 genders",TRUE
148,5,"more than 4 genders",TRUE
643,7,"more than 4 genders",TRUE
461,4,"4 genders",TRUE
129,3,"3 genders",TRUE
2960,3,"3 genders",TRUE
323,6,"more than 4 genders",TRUE
347,,,TRUE
443,,,FALSE
2572,3,"3 genders",TRUE
