"LID","AUTOTYPLabel","Behavior.binned4","Behavior.spreading.Presence","Behavior","Coexponence.CaseNumber.Presence","Coexponence.CaseReference.Presence","Domain","Exemplar","Polyexponence.Presence","Roles","Exponence.n","Exponence","Flexivity.Presence","FlexivityFormative","Form","Fusion.binned6","Fusion","Fusion.isolating.Presence","Fusion.nonlinear.Presence","Fusion.reduplicative.Presence","Fusion.tonal.Presence","FlexivityLexical.Presence","Locus.binned6","Locus","Locus.binned5","HostRestrictions.binned.restricted","MorphemeType","MorphemeType.Word.Presence","PersonPortmanteau.Presence","Placement","Position.post.Presence","Position.binned4","Position","Position.binned5","Position.pre.Presence.v1","Position.pre.Presence.v2","Position.simul.Presence.v1","Position.simul.Presence.v2","HostRestrictions","Slot","SourceOfMarking","FlexivityStem","OppositionWithZero.Presence","HostMacroCat","HostType","HostCat"
136,"S/A-AGR",,,,,,"verbal",,TRUE,"P",3,"Number;Person;Role",,,,"concatenative","concatenative",FALSE,"linear","non-reduplicative",FALSE,,"H","H","H","restricted","formative",FALSE,,,,,,,,,,,"restricted",,"agree",,,"verbal","terminal","V"
456,"Ezafe","initial",FALSE,"initial",,,"nominal",,FALSE,"Aditr;Atr;G;P;S;T",1,"Construct",,,,"concatenative","concatenative",FALSE,"linear","non-reduplicative",FALSE,,"F","F","FloatingorClitic","restricted","formative",FALSE,,,TRUE,"post","post","post",FALSE,FALSE,FALSE,FALSE,"restricted",,,"none",,"nominal","phrasal","NP"
118,"GEN","final",FALSE,"final",,,"nominal",,FALSE,"Aditr;Atr;S",1,"Role",FALSE,"none","-no (nouns)-na (nominal adjectives)","concatenative","concatenative",FALSE,"linear","non-reduplicative",FALSE,FALSE,"D","D","D","restricted","formative",FALSE,,,TRUE,"post","post","post",FALSE,FALSE,FALSE,FALSE,"restricted",,"assign","none",,"nominal","phrasal","NP"
670,"Ezafe",,FALSE,"inert",,,"nominal",,FALSE,"Atr;S",1,"Construct",,,,"concatenative","concatenative",FALSE,"linear","non-reduplicative",FALSE,,,,,"(partially) unrestricted","formative",FALSE,,,TRUE,"post","post","post",FALSE,FALSE,FALSE,FALSE,"semi-restricted",,,"none",,"nominal","terminal","Adj,Adp,N_or_Pro"
683,"ATTR","initial",FALSE,"initial",,,"nominal",,FALSE,"Aditr;Atr;S",1,"Role",,,"de","isolating","isolating",TRUE,"linear","non-reduplicative",FALSE,,"D","D","D","(partially) unrestricted","PoSWd",TRUE,,,TRUE,"post","post","post",FALSE,FALSE,FALSE,FALSE,"semi-restricted",,"assign",,,,"terminal","AdvP,Num_above_20,PP"
676,"Ezafe",,FALSE,"inert",,,"#ANY#",,TRUE,"Atr;S",3,"Gender;Number;Referential",FALSE,"none","","concatenative","concatenative",FALSE,"linear","non-reduplicative",FALSE,FALSE,"H","H","H","(partially) unrestricted","formative",FALSE,,,TRUE,"post","post","post",FALSE,FALSE,FALSE,FALSE,"semi-restricted",,,"none",,"nominal","terminal","Adj,N_or_Pro,PTCP"
171,"ATTR","initial",FALSE,"initial",,,"nominal",,FALSE,"Aditr;Atr;G;P;S;T",1,"Role",FALSE,"none","de","isolating","isolating",TRUE,"linear","non-reduplicative",FALSE,FALSE,"D","D","D","(partially) unrestricted","formative",FALSE,,,TRUE,"post","post","post",FALSE,FALSE,FALSE,FALSE,"semi-restricted",,"assign","none",,"nominal","phrasal","AdjP,NP,S"
17,"ATTR",,FALSE,"flexible",,,"nominal",,,"Aditr;Atr;P;S;T",0,,,,"M.SG	F.SG	N.SG	M/F.PLNOM		i	e	e	eACC		e	e	e	eGEN/DAT/ABL	të	së	të	të",,,,,,,,"D","D","D","(partially) unrestricted","PoSWd",TRUE,,,FALSE,"prae","prae","prae",TRUE,TRUE,FALSE,FALSE,"semi-restricted",,"agr-target",,,"nominal","terminal","Adj,N_or_Pro,Ord"
679,"ATTR",,,,,,"nominal",,FALSE,"Aditr;Atr;G;P;S;T",1,"Referential",FALSE,"none","-ez","concatenative","concatenative",FALSE,"linear","non-reduplicative",FALSE,FALSE,"H","H","H","(partially) unrestricted","formative",FALSE,,,TRUE,"post","post","post",FALSE,FALSE,FALSE,FALSE,"semi-restricted",,"assign","none",,,"terminal","Adj,DEM"
682,"POSS-AGR","initial",FALSE,"initial",,,"nominal",,TRUE,"P;S",3,"Number;Person;Referential",FALSE,"none","u-","concatenative","concatenative",FALSE,"linear","non-reduplicative",FALSE,FALSE,"H","H","H","restricted","formative",FALSE,,,FALSE,"prae","prae","prae",TRUE,TRUE,FALSE,FALSE,"restricted",,"agree","none",,"nominal","phrasal","NP"
