"LID","LocusA.binned6","Locus.A.default.binned6","Locus.A.default.if.N.binned6","Locus.A.default.if.N_or_Pro.binned6","Locus.A.default.elsewhere.binned6","Locus.A.default.if.Pro.binned6","Locus.A.default.if.SAP.binned6","Locus.A.exp.binned6","Locus.A.poss.binned6","Locus.Act.binned6","Locus.ATTR.default.binned6","Locus.ATTR.default.elsewhere.binned6","Locus.B.ben.binned6","Locus.B.default.binned6","Locus.B.default.elsewhere.binned6","Locus.B.default.if.Pro.binned6","Locus.B.rec.binned6","Locus.G.default.binned6","Locus.I.default.binned6","LocusP.binned6","Locus.Pat.binned6","LocusPOSS.binned6","Locus.POSS.default.binned6","Locus.POSS.default.if.1PERS.binned6","Locus.POSS.default.if.N.binned6","Locus.POSS.default.if.N.alien.binned6","Locus.POSS.default.if.N.inal.binned6","Locus.POSS.default.if.N.kin.binned6","Locus.POSS.default.if.N_or_Pro.binned6","Locus.POSS.default.elsewhere.binned6","Locus.POSS.default.if.Pro.binned6","LocusS.binned6","Locus.S.default.binned6","Locus.S.default.if.N_or_Pro.binned6","Locus.S.default.elsewhere.binned6","Locus.S.default.if.Pro.binned6","Locus.S.default.if.SAP.binned6","Locus.T.def.binned6","Locus.T.default.binned6","Locus.T.default.elsewhere.binned6","Locus.T.emp.binned6","Locus.U.def.binned6","Locus.U.default.binned6","Locus.U.default.if.1PERS.binned6","Locus.U.default.if.N.binned6","Locus.U.default.elsewhere.binned6","Locus.U.default.if.Pro.binned6","Locus.U.default.if.SAP.binned6","Locus.U.emp.binned6","Locus.U.ref.binned6","Locus.U.stim.binned6","LocusAandP.dm.Presence","LocusAandP.hm.Presence","LocusA.dm.Presence","LocusA.hm.Presence","LocusAorP.dm.Presence","LocusAorP.hm.Presence","LocusARG.dm.Presence","LocusP.dm.Presence","LocusP.hm.Presence","LocusPOSS.dm.Presence","LocusPOSS.hm.Presence","LocusSandA.dm.Presence","LocusSandA.hm.Presence","LocusS.dm.Presence","LocusS.hm.Presence","LocusA","Locus.A.default","Locus.A.default.if.N","Locus.A.default.if.N_or_Pro","Locus.A.default.elsewhere","Locus.A.default.if.Pro","Locus.A.default.if.SAP","Locus.A.exp","Locus.A.poss","Locus.Act","LocusARG.hm.Presence","Locus.ATTR.default","Locus.ATTR.default.elsewhere","Locus.B.ben","Locus.B.default","Locus.B.default.elsewhere","Locus.B.default.if.Pro","Locus.B.rec","Locus.G.default","Locus.I.default","LocusP","Locus.Pat","LocusPOSS","Locus.POSS.default","Locus.POSS.default.if.1PERS","Locus.POSS.default.if.N.alien","Locus.POSS.default.if.N.inal","Locus.POSS.default.if.N.kin","Locus.POSS.default.if.N","Locus.POSS.default.if.N_or_Pro","Locus.POSS.default.elsewhere","Locus.POSS.default.if.Pro","LocusS","Locus.S.default","Locus.S.default.if.N_or_Pro","Locus.S.default.elsewhere","Locus.S.default.if.Pro","Locus.S.default.if.SAP","Locus.T.def","Locus.T.default","Locus.T.default.elsewhere","Locus.T.emp","Locus.U.def","Locus.U.default","Locus.U.default.if.1PERS","Locus.U.default.if.N","Locus.U.default.elsewhere","Locus.U.default.if.Pro","Locus.U.default.if.SAP","Locus.U.emp","Locus.U.ref","Locus.U.stim","LocusA.binned5","Locus.A.default.binned5","Locus.A.default.if.N.binned5","Locus.A.default.if.N_or_Pro.binned5","Locus.A.default.elsewhere.binned5","Locus.A.default.if.Pro.binned5","Locus.A.default.if.SAP.binned5","Locus.A.exp.binned5","Locus.A.poss.binned5","Locus.Act.binned5","Locus.ATTR.default.binned5","Locus.ATTR.default.elsewhere.binned5","Locus.B.ben.binned5","Locus.B.default.binned5","Locus.B.default.elsewhere.binned5","Locus.B.default.if.Pro.binned5","Locus.B.rec.binned5","Locus.G.default.binned5","Locus.I.default.binned5","LocusP.binned5","Locus.Pat.binned5","LocusPOSS.binned5","Locus.POSS.default.binned5","Locus.POSS.default.if.1PERS.binned5","Locus.POSS.default.if.N.binned5","Locus.POSS.default.if.N.alien.binned5","Locus.POSS.default.if.N.inal.binned5","Locus.POSS.default.if.N.kin.binned5","Locus.POSS.default.if.N_or_Pro.binned5","Locus.POSS.default.elsewhere.binned5","Locus.POSS.default.if.Pro.binned5","LocusS.binned5","Locus.S.default.binned5","Locus.S.default.if.N_or_Pro.binned5","Locus.S.default.elsewhere.binned5","Locus.S.default.if.Pro.binned5","Locus.S.default.if.SAP.binned5","Locus.T.def.binned5","Locus.T.default.binned5","Locus.T.default.elsewhere.binned5","Locus.T.emp.binned5","Locus.U.def.binned5","Locus.U.default.binned5","Locus.U.default.if.1PERS.binned5","Locus.U.default.if.N.binned5","Locus.U.default.elsewhere.binned5","Locus.U.default.if.Pro.binned5","Locus.U.default.if.SAP.binned5","Locus.U.emp.binned5","Locus.U.ref.binned5","Locus.U.stim.binned5"
1,"Ø","Ø","D",,,,,,,,,,,"D",,,,,,"D",,"D","D",,,,,,,"H",,"D","D",,"H","Ø",,,,,,,"D",,,"H","Ø",,,,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,"Ø","Ø","D",,,,,,,,FALSE,,,,"D",,,,,,"D",,"D","D",,,,,,,"H",,"D","D",,"H","Ø",,,,,,,"D",,,"H","Ø",,,,,"Ø","Ø","D",,,,,,,,,,,"D",,,,,,"D",,"D","D",,,,,,,"H",,"D","D",,"H","Ø",,,,,,,"D",,,"H","Ø",,,,
6,"2","2",,,,,,,,,"Ø",,,"D",,,,,,"D",,"D","D",,,,,,,"D on H",,"2","2",,,,,,,,,,"D",,,,,,,,,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,"H+D","H+D",,,,,,,,,TRUE,"Ø",,,"D",,,,,,"D",,"D","D",,,,,,,"D on H",,"H+D","H+D",,,,,,,,,,"D",,,,,,,,,"2","2",,,,,,,,,"Ø",,,"D",,,,,,"D",,"D","D",,,,,,,"FloatingorClitic",,"2","2",,,,,,,,,,"D",,,,,,,,
7,"H","H",,,,,,,,,"F",,,,,,,,,"H",,"H","H",,,,,,,,,"H","H",,,,,,,,,,"H",,,,,,,,,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,"H","H",,,,,,,,,TRUE,"F",,,,,,,,,"H",,"H","H",,,,,,,,,"H","H",,,,,,,,,,"H",,,,,,,,,"H","H",,,,,,,,,"FloatingorClitic",,,,,,,,,"H",,"H","H",,,,,,,,,"H","H",,,,,,,,,,"H",,,,,,,,
9,"H",,,,,,,,,"H",,,,"D",,,,,,"H","H","H","H",,,,,,,"Ø",,,,,,,,,,,,,,,,,,,,,,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,"H",,,,,,,,,"H",TRUE,,,,"D",,,,,,"H","H","H","H",,,,,,,"Ø",,,,,,,,,,,,,,,,,,,,,,"H",,,,,,,,,"H",,,,"D",,,,,,"H","H","H","H",,,,,,,"Ø",,,,,,,,,,,,,,,,,,,,,
10,"H","H",,,,,,,,,,,,,,,,,,"H",,"H","H",,,,,,,,,"H","H",,,,,,,,,,"H",,,,,,,,,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,"H","H",,,,,,,,,TRUE,,,,,,,,,,"H",,"H","H",,,,,,,,,"H","H",,,,,,,,,,"H",,,,,,,,,"H","H",,,,,,,,,,,,,,,,,,"H",,"H","H",,,,,,,,,"H","H",,,,,,,,,,"H",,,,,,,,
12,"H","H",,,,,,,,,,,,"Ø","H",,,,,"H",,"H","H",,,,,,,,,"H","H",,,,,,,,,,"H",,,,,,,,,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,"H","H",,,,,,,,,TRUE,,,,"Ø","H",,,,,"H",,"HH","HH",,,,,,,,,"h","h",,,,,,,,,,"H",,,,,,,,,"H","H",,,,,,,,,,,,"Ø","H",,,,,"H",,"H","H",,,,,,,,,"H","H",,,,,,,,,,"H",,,,,,,,
14,"H","H",,,,,,,,,"Ø",,,,,,,,,"H",,"D","D",,,,,,,,,"H","H",,,,,,,,,,"H",,,"Ø",,,,,,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,"H","H",,,,,,,,,TRUE,"Ø",,,,,,,,,"H",,"D","D",,,,,,,,,"H","H",,,,,,,,,,"H",,,"Ø",,,,,,"H","H",,,,,,,,,"Ø",,,,,,,,,"H",,"D","D",,,,,,,,,"H","H",,,,,,,,,,"H",,,"Ø",,,,,
18,"2","2",,,,,,,,,,,,,,,,,,"2",,"2","2",,,,,,,,,"2","2",,,,,,,,,,"2",,,,,,,,,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"H+D","H+D",,,,,,,,,TRUE,,,,,,,,,,"H+D",,"H+D","H+D",,,,,,,,,"H+D","H+D",,,,,,,,,,"H+D",,,,,,,,,"2","2",,,,,,,,,,,,,,,,,,"2",,"2","2",,,,,,,,,"2","2",,,,,,,,,,"2",,,,,,,,
20,"H","H",,,"H",,,,,,"Ø",,,"H",,,,,,"H",,"D","D",,,,"H",,,,,"H","H",,"H",,,,,,,,"H",,,,,,,,,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,"H","H",,,"HH",,,,,,TRUE,"Ø",,,"H",,,,,,"h",,"D","D",,,"hh",,,,,,"H","H",,"HH",,,,,,,,"h",,,,,,,,,"H","H",,,"H",,,,,,"Ø",,,"H",,,,,,"H",,"D","D",,,,"H",,,,,"H","H",,"H",,,,,,,,"H",,,,,,,,
22,"H","H",,,,,,,,,,,,,,,,,,"H",,"H","H",,,,,,,,,"H","H",,,,,,,,,,"H",,,,,,,,,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,"H","H",,,,,,,,,TRUE,,,,,,,,,,"H",,"H","H",,,,,,,,,"H","H",,,,,,,,,,"H",,,,,,,,,"H","H",,,,,,,,,,,,,,,,,,"H",,"H","H",,,,,,,,,"H","H",,,,,,,,,,"H",,,,,,,,
