"LID","Enclitic.Presence","Endoclitic.Presence","Infix.Presence","MorphemeType.n","PreMorpheme.n","PostMorpheme.n","Prefix.Presence","Proclitic.Presence","Suffix.Presence"
435,TRUE,FALSE,FALSE,7,4,4,TRUE,TRUE,TRUE
87,TRUE,FALSE,FALSE,7,5,3,TRUE,TRUE,TRUE
1207,TRUE,FALSE,FALSE,7,4,4,TRUE,TRUE,TRUE
642,TRUE,FALSE,FALSE,7,4,4,TRUE,TRUE,TRUE
1440,TRUE,FALSE,FALSE,7,4,4,TRUE,TRUE,TRUE
566,TRUE,FALSE,TRUE,7,3,3,TRUE,TRUE,TRUE
456,TRUE,FALSE,FALSE,5,3,3,TRUE,TRUE,TRUE
677,TRUE,FALSE,FALSE,5,2,3,TRUE,FALSE,TRUE
44,TRUE,FALSE,TRUE,6,3,3,TRUE,TRUE,TRUE
528,TRUE,FALSE,FALSE,4,2,3,TRUE,FALSE,TRUE
569,FALSE,FALSE,FALSE,4,3,2,TRUE,TRUE,TRUE
614,TRUE,FALSE,TRUE,6,3,3,TRUE,TRUE,TRUE
47,TRUE,FALSE,FALSE,5,3,3,TRUE,TRUE,TRUE
56,TRUE,FALSE,FALSE,6,3,4,TRUE,TRUE,TRUE
165,TRUE,FALSE,FALSE,5,3,3,TRUE,TRUE,TRUE
35,TRUE,FALSE,FALSE,6,3,5,TRUE,FALSE,TRUE
101,TRUE,FALSE,FALSE,5,3,3,TRUE,TRUE,TRUE
171,TRUE,FALSE,FALSE,5,3,3,TRUE,TRUE,TRUE
2047,TRUE,FALSE,TRUE,5,3,2,TRUE,TRUE,FALSE
79,TRUE,FALSE,FALSE,4,2,3,TRUE,FALSE,TRUE
1139,FALSE,FALSE,TRUE,4,2,2,TRUE,FALSE,TRUE
540,TRUE,FALSE,FALSE,5,3,3,TRUE,TRUE,TRUE
541,FALSE,FALSE,TRUE,4,3,1,TRUE,TRUE,FALSE
464,TRUE,FALSE,FALSE,4,2,3,FALSE,TRUE,FALSE
494,TRUE,FALSE,FALSE,5,3,3,TRUE,TRUE,TRUE
1890,FALSE,FALSE,TRUE,4,2,2,TRUE,FALSE,TRUE
25,TRUE,FALSE,FALSE,4,2,3,TRUE,FALSE,TRUE
74,TRUE,FALSE,FALSE,4,2,3,TRUE,FALSE,TRUE
