"LID","VAgreement.Presence.v2","Flexivity.Presence","FlexivityLexical.Presence","Polyexponence.Presence","FlexivityNoun.Presence","FlexivityVerb.Presence","FlexivityLexicalNoun.Presence","FlexivityLexicalVerb.Presence","PolyexponenceNoun.Presence","PolyexponenceVerb.Presence","SlotsWithZerosPost.n","SlotsWithZerosPrae.n"
1,TRUE,,,,,,,,,,,
6,TRUE,TRUE,TRUE,FALSE,TRUE,,TRUE,,FALSE,,,
7,TRUE,FALSE,FALSE,TRUE,,FALSE,,FALSE,,FALSE,,
9,TRUE,TRUE,FALSE,TRUE,,TRUE,,FALSE,,TRUE,,
10,TRUE,TRUE,TRUE,TRUE,,TRUE,,FALSE,,TRUE,,
12,TRUE,FALSE,TRUE,TRUE,,FALSE,TRUE,FALSE,,TRUE,,4
14,TRUE,TRUE,FALSE,FALSE,,TRUE,,FALSE,,FALSE,,
15,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,TRUE,,
16,,,TRUE,FALSE,,,TRUE,,FALSE,,,
17,TRUE,TRUE,FALSE,FALSE,,,,,,,,
18,TRUE,,,TRUE,,,,,TRUE,,,
20,TRUE,TRUE,TRUE,TRUE,,,TRUE,,FALSE,,,
21,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,8,
22,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,,TRUE,,
23,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,
24,,,,,,,,,,,,
25,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,6,
26,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,FALSE,FALSE,TRUE,7,
27,TRUE,,,TRUE,,,,,,TRUE,4,
28,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,,FALSE,TRUE,1,1
29,TRUE,FALSE,FALSE,TRUE,,FALSE,,FALSE,,TRUE,,
31,TRUE,,,TRUE,,,,,FALSE,TRUE,,
32,TRUE,TRUE,FALSE,FALSE,TRUE,,FALSE,,FALSE,FALSE,,
33,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,,FALSE,,,
34,TRUE,TRUE,TRUE,TRUE,,,,,FALSE,,,
35,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,9,4
36,,,,FALSE,,,,,,,,
38,,,TRUE,FALSE,,,TRUE,,FALSE,,,
39,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,,
40,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,,FALSE,FALSE,,
43,TRUE,FALSE,TRUE,FALSE,,,TRUE,,FALSE,,,
44,TRUE,,,,,,,,,,,
45,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,,
47,TRUE,,TRUE,TRUE,,,TRUE,,,FALSE,,
48,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,,
49,TRUE,TRUE,FALSE,FALSE,TRUE,,FALSE,,FALSE,,,
50,TRUE,FALSE,TRUE,TRUE,,FALSE,TRUE,FALSE,,TRUE,,
51,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,FALSE,,FALSE,,
53,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,
54,TRUE,FALSE,FALSE,TRUE,FALSE,,FALSE,,TRUE,TRUE,1,11
55,TRUE,TRUE,TRUE,TRUE,,,,,,,,
56,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,
57,TRUE,TRUE,FALSE,TRUE,,TRUE,,FALSE,,TRUE,5,
59,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,16,2
61,TRUE,,TRUE,TRUE,,,TRUE,,,FALSE,,
63,TRUE,TRUE,TRUE,FALSE,TRUE,,TRUE,,FALSE,,,
64,FALSE,TRUE,TRUE,FALSE,TRUE,,TRUE,,FALSE,,,
65,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,,
66,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,,,
68,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,,FALSE,,,
69,TRUE,TRUE,TRUE,FALSE,,TRUE,TRUE,,FALSE,FALSE,,
70,,,TRUE,TRUE,,,TRUE,,TRUE,,,
71,FALSE,TRUE,TRUE,FALSE,,FALSE,TRUE,FALSE,FALSE,FALSE,,
72,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,
73,,FALSE,FALSE,FALSE,FALSE,,FALSE,,FALSE,,,
74,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,1,
75,FALSE,,TRUE,FALSE,,,TRUE,,FALSE,,,
77,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,,
78,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,,TRUE,FALSE,,
79,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,2,
80,TRUE,,TRUE,FALSE,,,TRUE,,,,,
81,TRUE,TRUE,TRUE,FALSE,,FALSE,,FALSE,FALSE,FALSE,,
82,TRUE,,,,,,,,,,,
84,FALSE,TRUE,TRUE,FALSE,TRUE,,TRUE,,FALSE,,,
85,FALSE,,TRUE,TRUE,,,TRUE,,TRUE,,,
86,TRUE,TRUE,TRUE,TRUE,,FALSE,,FALSE,FALSE,FALSE,,
87,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,
88,TRUE,FALSE,,FALSE,,,,,,,,
89,TRUE,,TRUE,TRUE,,,TRUE,,,TRUE,,14
90,,,,,,,,,,,,
91,TRUE,,,FALSE,,,,,,,,
92,TRUE,,,,,,,,,,,
93,TRUE,TRUE,TRUE,TRUE,,,,,FALSE,TRUE,,
95,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,,
98,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,,
99,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,
100,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,,TRUE,,
101,TRUE,,,TRUE,,,,,FALSE,FALSE,,
103,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,,6
104,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,,FALSE,,,
106,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,,TRUE,FALSE,,
107,TRUE,TRUE,FALSE,TRUE,,FALSE,,FALSE,TRUE,FALSE,,
108,TRUE,FALSE,FALSE,FALSE,FALSE,,FALSE,,FALSE,,,
109,FALSE,FALSE,TRUE,TRUE,,FALSE,TRUE,FALSE,TRUE,FALSE,,
110,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,
111,TRUE,TRUE,TRUE,TRUE,,,,,TRUE,TRUE,6,
112,TRUE,FALSE,TRUE,FALSE,,FALSE,TRUE,FALSE,FALSE,FALSE,,
113,TRUE,FALSE,FALSE,TRUE,,FALSE,,FALSE,,TRUE,4,
114,TRUE,TRUE,TRUE,TRUE,,,,,TRUE,FALSE,,
116,TRUE,FALSE,FALSE,FALSE,,FALSE,,FALSE,,FALSE,,
118,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,,
119,TRUE,,,,,,,,,,,
120,,,,FALSE,,,,,,,,
121,,,TRUE,FALSE,,,TRUE,,FALSE,,,
123,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,
124,,FALSE,FALSE,FALSE,FALSE,,FALSE,,FALSE,,,
125,TRUE,TRUE,FALSE,TRUE,,TRUE,,FALSE,,FALSE,,
126,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,FALSE,TRUE,TRUE,,
127,,,,,,,,,,,,
128,FALSE,FALSE,TRUE,TRUE,,FALSE,TRUE,FALSE,,TRUE,,
129,TRUE,TRUE,TRUE,TRUE,,TRUE,,TRUE,FALSE,FALSE,,
130,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,
131,TRUE,,TRUE,FALSE,,,TRUE,,,,,
132,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,,TRUE,,,
133,FALSE,,TRUE,,,,TRUE,,,,,
134,TRUE,,,TRUE,,,,,FALSE,,,
