"LID","AdjAttrAgr.Presence","AdjAttrConstr.Presence","AdjAttrGvt.Presence","AdjAttrMarking.overt.Presence","NPAgr.Presence","NPConstr.Presence","NPGvt.Presence","NPMarking.overt.Presence"
1,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
7,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
10,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
12,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
15,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
16,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
17,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
18,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
20,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
21,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
22,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
23,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
24,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
25,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
26,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
27,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
28,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
29,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
31,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
32,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
33,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
34,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
35,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
36,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
38,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
39,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
40,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
43,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
44,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE
47,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
48,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
49,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
50,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
51,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
53,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
54,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
55,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
