"LID","NPAgrCat","NPAlienability.Presence","NPAlienabilityType","NPHeadSemConstraints","NPMarking.binned5","NPDepCatConstraints","NPHeadSemClassSize.n","NPMarkersLabel","NPMarking.binned4","NPHeadlessness","NPMarking.overt.Presence","NPMarking","NPLabel","NPDepSemConstraints.binned4","NPDepSemConstraints","NPHeadSemConstraints.Presence","NPHeadSemSpecial","NPWordOrder"
165,"Gender,Number,Person",TRUE,"alienable","neutral",,"N_or_Pro",1,"306,307","mixed",,TRUE,"Head-driven agr. + Governed",167,,,FALSE,,"Head-Dependent"
738,"Number,Person",,,,,"Adp,N_or_Pro",0,"1571","mixed",,TRUE,"Dep-driven agr. + Governed",723,,,,,"Dependent-Head"
438,"Number,Person",TRUE,"inalienable","body parts,kin terms,meronyms",,"N_or_Pro",3,"476","agreement/class marker",,TRUE,"Dep-driven agreement",193,,,TRUE,,"Head-Dependent"
681,"Number,Person",,,,,"Pro",0,"","agreement/class marker",,TRUE,"Pronominal agreement",660,,,,,"Head-Dependent"
805,"Number,Person",,,,,"N_or_Pro",0,"1579","agreement/class marker","OK",TRUE,"Dep-driven agreement",738,"pragmatic","non-specific",,,"Dependent-Head"
2239,"Number,Person",,,,,"N_or_Pro",0,"1588","agreement/class marker",,TRUE,"Dep-driven agreement",750,,,,,"Dependent-Head"
2289,"Number,Person",,,,,"N",0,"1585","agreement/class marker","ungrammatical",TRUE,"Pronominal agreement",746,,,,,"Head-Dependent"
1726,"Number,Person",,,,,"N",0,"1578","agreement/class marker",,TRUE,"Dep-driven agreement",735,"pragmatic","non-specific",,,"Dependent-Head"
805,"Number,Person",,,,,"N_or_Pro",0,"1579,1580","mixed","OK",TRUE,"Dep-driven agr. + Governed",737,"pragmatic","specific",,,"Dependent-Head"
550,"Number,Person,Role",FALSE,"neutral",,,"N_or_Pro",0,"1393","agreement/class marker",,TRUE,"Dep-driven agreement",422,,,,,"Dependent-Head"
86,"Number,Role",,,,,"Adj",0,"1542",,"OK",TRUE,"Appositive head-driven agreement",631,,,,,"Head-Dependent"
2289,"Number,Person",,,,,"N_or_Pro",0,"1585,1586","mixed",,TRUE,"Dep-driven agr. + Governed",747,,,,,"Dependent-Head"
1726,"Number,Person",,,,,"N_or_Pro",0,"1577,1578","mixed",,TRUE,"Dep-driven agr. + Governed",733,"pragmatic","specific",,,"Dependent-Head"
1428,"Number,Person",,,,,"Pro",0,"1573","mixed","ungrammatical",TRUE,"Head-driven agr. + Governed",730,,,,,"Head-Dependent"
1295,"Gender,Number,Role",FALSE,"neutral","neutral","agreeing construct","Adj,PTCP",1,"1560","construct markers","OK",TRUE,"Anti-construct state agreement",703,"neutral","neutral",FALSE,,"Dependent-Head"
340,"Gender,Number,Role",FALSE,"neutral","neutral","agreeing construct","Adj,PTCP",1,"1394","construct markers","OK",TRUE,"Anti-construct state agreement",577,"neutral","neutral",FALSE,,"Dependent-Head"
879,"Number,Person,Role",,,,"agreement","Adj",0,"1607","agreement/class marker",,TRUE,"Head-driven agreement",799,,,,,"Dependent-Head"
2833,"Gender,Number,Role",FALSE,"neutral","specific","agreeing construct","Adj,PTCP",1,"","construct markers","OK",TRUE,"Anti-construct state agreement",812,"neutral","neutral",TRUE,,"Dependent-Head"
1890,"Gender,Number,Role",FALSE,"neutral","non-specific","agreement","Adj,PTCP",1,"","agreement/class marker",,TRUE,"Head-driven agreement",777,"neutral","neutral",TRUE,,"Dependent-Head"
2833,"Gender,Number,Role",FALSE,"neutral","neutral","agreement","Adj,PTCP",1,"","agreement/class marker","OK",TRUE,"Head-driven agreement",827,"neutral","neutral",FALSE,,"Dependent-Head"
1310,"Gender,Number,Role",FALSE,"neutral","neutral","agreeing construct","Adj",1,"","construct markers","OK",TRUE,"Anti-construct state agreement",806,,,FALSE,,"Dependent-Head"
2853,"Gender,Number,Role",FALSE,"neutral","specific","agreeing construct","Adj,PTCP",1,"","construct markers","OK",TRUE,"Anti-construct state agreement",813,"neutral","neutral",TRUE,,"Dependent-Head"
715,"Gender,Number,Role",,,,"agreement","Adj",0,"","agreement/class marker",,TRUE,"Head-driven agreement",794,,,,,"Head-Dependent"
17,"Gender,Number,Role",FALSE,"neutral","neutral",,"Adj,N_or_Pro,Ord",1,"1540","mixed","OK",TRUE,"HDAgr+NMLZ",628,"neutral","neutral",FALSE,,"Head-Dependent"
17,"Gender,Number,Role",FALSE,"neutral",,"agreement","Adj",0,"1541","agreement/class marker",,TRUE,"Head-driven agreement",629,,,,,"Head-Dependent"
814,"Gender,Number,Role",FALSE,"neutral",,,"Adj",0,"1603","mixed","OK",TRUE,"HDAgr+NMLZ",906,,,,,"Head-Dependent"
2856,"Gender,Number,Role",FALSE,"neutral","specific","agreeing construct","Adj,PTCP",1,"","construct markers","OK",TRUE,"Anti-construct state agreement",817,"neutral","neutral",TRUE,,"Dependent-Head"
