"LID","NPAgrGender.Presence","NPAgrNumber.Presence","NPAgrPerson.Presence","NPAgrReferential.Presence","NPAgrRole.Presence","NPAlienabilityConstraint.alienable.Presence","NPAlienabilityConstraint.fluid.Presence","NPAlienabilityConstraint.inalienable.Presence","NPBroadLocus.D.Presence","NPBroadLocus.D_on_H.Presence","NPBroadLocus.F.Presence","NPBroadLocus.H.Presence","NPDepSemClassConstraint.animate.Presence","NPDepSemClassConstraint.high_indexability.Presence","NPDepSemClassConstraint.human.Presence","NPDepSemClassConstraint.inanimate.Presence","NPDepSemClassConstraint.low_indexability.Presence","NPDepSemClassConstraint.meronyms.Presence","NPDepSemClassConstraint.non_specific.Presence","NPDepSemClassConstraint.specific.Presence","NPDepCatConstraint.1_2Pro_or_N.Presence","NPDepCatConstraint.2_or_3Pro.Presence","NPDepCatConstraint.3Pro.Presence","NPDepCatConstraint.3sgPro.Presence","NPDepCatConstraint.Adj.Presence","NPDepCatConstraint.Adp.Presence","NPDepCatConstraint.AdvP.Presence","NPDepCatConstraint.Art.Presence","NPDepCatConstraint.DEM.Presence","NPDepCatConstraint.N.Presence","NPDepCatConstraint.N_or_Pro.Presence","NPDepCatConstraint.N_proper.Presence","NPDepCatConstraint.nonSAP.Presence","NPDepCatConstraint.NP.Presence","NPDepCatConstraint.Num.Presence","NPDepCatConstraint.Num_above_20.Presence","NPDepCatConstraint.Nv.Presence","NPDepCatConstraint.Ord.Presence","NPDepCatConstraint.Ord1.Presence","NPDepCatConstraint.Pro.Presence","NPDepCatConstraint.PTCP.Presence","NPDepCatConstraint.Quant.Presence","NPDepCatConstraint.S.Presence","NPDepCatConstraint.SAP.Presence","NPDepCatConstraint.V.Presence","NPMarkerFusion.concatenative.Presence","NPMarkerFusion.isolating.Presence","NPMarkerFusion.reduplicative.Presence","NPMarkerFusion.replacive.Presence","NPMarkerFusion.stem.Presence","NPMarkerFusion.tonal.Presence","NPMarkerFusion.ablaut.Presence","NPMarkerFusion.ablaut_or_suppletive.Presence","NPMarkerFusion.ablaut_or_tonal.Presence","NPMarkerFusion.concatenative_then_isolating.Presence","NPMarkerFusion.concat_ablaut.Presence","NPMarkerFusion.concat_redupl.Presence","NPMarkerFusion.concatenative_or_suppletive.Presence","NPMarkerFusion.concatenative_or_tonal.Presence","NPMarkerFusion.distributed.Presence","NPMarkerFusion.isolating_then_concatenative.Presence","NPMarkerFusion.lenition.Presence","NPMarkerFusion.tonal_or_ablaut_then_isolating.Presence","NPMarkerFusion.prosodic_template.Presence","NPMarkerFusion.reduplicative_or_suppletive.Presence","NPMarkerFusion.reduplication.Presence","NPMarkerFusion.suppletive.Presence","NPMarkerFusion.tonal_or_suppletive.Presence","NPHeadSemConstraint.formal.Presence","NPHeadSemConstraint.kin.Presence","NPHeadSemConstraint.kinds.Presence","NPHeadSemConstraint.names.Presence","NPHeadSemConstraint.parts.Presence","NPHeadSemConstraint.pragmatic.Presence","NPHeadSemConstraint.referentiality.Presence","NPHeadSemConstraint.alienable.Presence","NPHeadSemConstraint.animals.Presence","NPHeadSemConstraint.body_parts.Presence","NPHeadSemConstraint.classifiers.Presence","NPHeadSemConstraint.clothing_terms.Presence","NPHeadSemConstraint.drinkable.Presence","NPHeadSemConstraint.edible.Presence","NPHeadSemConstraint.high_indexability.Presence","NPHeadSemConstraint.human.Presence","NPHeadSemConstraint.inalienable.Presence","NPHeadSemConstraint.kin_terms.Presence","NPHeadSemConstraint.meronyms.Presence","NPHeadSemConstraint.non_human.Presence","NPHeadSemConstraint.non_specific.Presence","NPHeadSemConstraint.origin.Presence","NPHeadSemConstraint.owner.Presence","NPHeadSemConstraint.parents_siblings.Presence","NPHeadSemConstraint.plant_parts.Presence","NPHeadSemConstraint.plants.Presence","NPHeadSemConstraint.property.Presence","NPHeadSemConstraint.quantificational.Presence","NPHeadSemConstraint.rocks.Presence","NPHeadSemConstraint.semantic.Presence","NPHeadSemConstraint.singular.Presence","NPHeadSemConstraint.specific.Presence","NPHeadSemConstraint.spouse.Presence","NPHeadSemConstraint.subsets.Presence","NPHeadSemConstraint.topological.Presence","NPHeadSemConstraint.tracks.Presence","NPHeadSemConstraint.transportation_means.Presence","NPHeadSemConstraint.unspecified_inanimate.Presence","NPHeadSemConstraint.village_group.Presence","NPHeadSemConstraint.volitional.Presence","NPHeadSemConstraint.weapon.Presence","NPDetailedLocus.D.Presence","NPDetailedLocus.d_on_h.Presence","NPDetailedLocus.D_on_H.Presence","NPDetailedLocus.F.Presence","NPDetailedLocus.H.Presence","NPDetailedLocus.P.Presence","NPMarkersSource.agr_target.Presence","NPMarkersSource.agree.Presence","NPMarkersSource.assign.Presence","NPMarkersSource.both_assign_and_agree.Presence","NPMarkersSource.case_assigned_gender_agrees.Presence","NPMarkersSource.free.Presence","NPMarkerType.formative.Presence","NPMarkerType.word.Presence","NPMarkerFusion.nonlinear.Presence"
1,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,
1,,,,,,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,TRUE,FALSE,
6,,,,,,,,,TRUE,FALSE,FALSE,FALSE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,TRUE,FALSE,
7,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,,,,,,,,
7,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,,,,,,TRUE,FALSE,FALSE
12,,,,,,,,,FALSE,FALSE,FALSE,TRUE,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,,,,,,,,
