"LID","WordOrderNPBasic"
108,
56,
373,
111,
346,
391,
378,
34,
91,
362,
360,
163,
355,
100,
147,
73,
186,
334,
323,
324,
81,
172,
431,
15,
65,
31,
123,
347,
107,"dep-head"
407,"dep-head"
130,"dep-head"
188,"dep-head"
86,"dep-head"
6,"dep-head"
134,"dep-head"
150,"dep-head"
148,"dep-head"
171,"dep-head"
75,"dep-head"
20,"dep-head"
432,"dep-head"
393,"dep-head"
125,"dep-head"
420,"dep-head"
141,"dep-head"
129,"dep-head"
201,"dep-head"
126,"dep-head"
333,"dep-head"
205,"dep-head"
350,"dep-head"
32,"dep-head"
33,"dep-head"
10,"dep-head"
109,"dep-head"
348,"dep-head"
433,"dep-head"
139,"dep-head"
367,"dep-head"
199,"dep-head"
132,"dep-head"
387,"dep-head"
173,"dep-head"
368,"dep-head"
21,"dep-head"
443,"dep-head"
395,"dep-head"
95,"dep-head"
168,"dep-head"
422,"dep-head"
43,"dep-head"
423,"dep-head"
178,"dep-head"
415,"dep-head"
356,"dep-head"
26,"dep-head"
156,"dep-head"
191,"dep-head"
118,"dep-head"
200,"dep-head"
40,"dep-head"
71,"dep-head"
354,"dep-head"
179,"dep-head"
434,"dep-head"
370,"dep-head"
357,"head-dep"
374,"head-dep"
332,"head-dep"
196,"head-dep"
85,"head-dep"
68,"head-dep"
207,"head-dep"
80,"head-dep"
170,"head-dep"
167,"head-dep"
74,"head-dep"
47,"head-dep"
414,"head-dep"
84,"head-dep"
98,"head-dep"
181,"head-dep"
421,"head-dep"
198,"head-dep"
23,"head-dep"
59,"head-dep"
79,"head-dep"
133,"head-dep"
165,"head-dep"
340,"head-dep"
317,"head-dep"
338,"head-dep"
70,"head-dep"
438,"head-dep"
106,"head-dep"
48,"free"
339,
390,
328,
435,
424,
36,
343,
396,
27,
369,
142,
197,
12,
28,
403,
386,
131,
612,
211,
9,
411,
182,
327,
72,
371,
138,
39,
7,
25,
49,
90,
162,
325,
17,
326,
359,
408,
204,
399,
14,
342,
406,
429,
442,
180,
210,
319,
103,
416,
136,
88,
377,
382,
116,
22,
50,
363,
38,
184,
51,
318,
63,
397,
372,
345,
146,
364,
89,
93,
358,
53,
54,
104,
113,
405,
440,
45,
101,
115,
379,
418,
329,
29,
352,
444,
166,
55,
388,
441,
398,
620,
176,
599,
365,
