"LID","NumClass.n","NumClass.Presence"
148,0,FALSE
65,0,FALSE
75,0,FALSE
85,0,FALSE
111,,
163,0,FALSE
165,0,FALSE
167,0,FALSE
199,0,FALSE
324,0,FALSE
347,0,FALSE
355,0,FALSE
421,0,FALSE
21,0,FALSE
23,0,FALSE
34,0,FALSE
431,0,FALSE
80,0,FALSE
81,0,FALSE
91,0,FALSE
98,0,FALSE
373,0,FALSE
123,0,FALSE
147,0,FALSE
172,0,FALSE
207,0,FALSE
323,0,FALSE
443,0,FALSE
7,0,FALSE
25,0,FALSE
49,0,FALSE
86,0,FALSE
162,0,FALSE
325,0,FALSE
17,0,FALSE
32,0,FALSE
57,0,FALSE
74,0,FALSE
79,0,FALSE
107,0,FALSE
340,0,FALSE
139,0,FALSE
40,0,FALSE
188,0,FALSE
387,0,FALSE
396,0,FALSE
205,0,FALSE
434,0,FALSE
142,0,FALSE
197,0,FALSE
12,2,TRUE
56,0,FALSE
433,30,TRUE
118,,TRUE
129,0,FALSE
141,26,TRUE
201,0,FALSE
612,0,FALSE
423,0,FALSE
9,9,TRUE
171,50,TRUE
182,7,TRUE
327,12,TRUE
362,0,FALSE
371,0,FALSE
374,20,TRUE
39,25,TRUE
1841,0,FALSE
364,2,TRUE
22,0,FALSE
126,0,FALSE
358,0,FALSE
368,0,FALSE
148,0,FALSE
191,50,TRUE
359,0,FALSE
20,0,FALSE
393,0,FALSE
407,0,FALSE
14,0,FALSE
420,0,FALSE
36,0,FALSE
343,4,TRUE
6,0,FALSE
24,13,TRUE
438,8,TRUE
350,0,FALSE
369,20,TRUE
395,0,FALSE
109,0,FALSE
133,0,FALSE
28,0,FALSE
419,0,FALSE
131,0,FALSE
134,0,FALSE
211,0,FALSE
38,0,FALSE
26,0,FALSE
103,0,FALSE
130,0,FALSE
136,0,FALSE
138,0,FALSE
345,0,FALSE
367,0,FALSE
370,0,FALSE
93,,
170,0,FALSE
178,0,FALSE
181,0,FALSE
196,0,FALSE
318,0,FALSE
378,0,FALSE
390,0,FALSE
391,0,FALSE
405,0,FALSE
424,0,FALSE
68,0,FALSE
71,0,FALSE
84,0,FALSE
149,0,FALSE
173,0,FALSE
179,0,FALSE
210,0,FALSE
408,0,FALSE
432,0,FALSE
88,7,TRUE
95,,TRUE
338,0,FALSE
442,0,FALSE
357,,TRUE
363,0,FALSE
379,2,TRUE
411,0,FALSE
51,0,FALSE
63,0,FALSE
72,0,FALSE
113,0,FALSE
125,0,FALSE
166,0,FALSE
168,0,FALSE
344,0,FALSE
351,0,FALSE
356,0,FALSE
398,0,FALSE
409,0,FALSE
418,0,FALSE
428,15,TRUE
10,0,FALSE
150,0,FALSE
204,0,FALSE
328,0,FALSE
441,0,FALSE
342,2,TRUE
406,0,FALSE
429,0,FALSE
132,0,FALSE
156,0,FALSE
331,0,FALSE
27,0,FALSE
53,0,FALSE
54,0,FALSE
59,0,FALSE
349,0,FALSE
354,0,FALSE
377,,
382,0,FALSE
386,0,FALSE
422,0,FALSE
50,0,FALSE
55,0,FALSE
184,0,FALSE
186,0,FALSE
332,0,FALSE
365,10,TRUE
372,,TRUE
388,,TRUE
45,,
599,,TRUE
90,14,TRUE
119,0,FALSE
352,0,FALSE
176,0,FALSE
326,0,FALSE
104,0,FALSE
339,56,
397,50,TRUE
414,,TRUE
620,0,FALSE
43,0,FALSE
47,0,FALSE
89,0,FALSE
101,0,FALSE
115,0,FALSE
180,0,FALSE
200,18,TRUE
329,0,FALSE
333,0,FALSE
348,0,FALSE
399,0,FALSE
444,0,FALSE
440,50,TRUE
48,3,TRUE
70,0,FALSE
334,29,TRUE
346,,TRUE
44,37,TRUE
64,0,FALSE
35,2,TRUE
77,0,FALSE
78,0,FALSE
99,0,FALSE
87,0,FALSE
114,0,FALSE
128,0,FALSE
135,0,FALSE
154,,TRUE
159,0,FALSE
225,,TRUE
177,0,FALSE
112,0,FALSE
82,0,FALSE
375,0,FALSE
461,0,FALSE
494,,TRUE
497,0,FALSE
499,0,FALSE
512,0,FALSE
514,0,FALSE
518,0,FALSE
526,0,FALSE
530,0,FALSE
534,0,FALSE
535,0,FALSE
538,,TRUE
550,0,FALSE
564,0,FALSE
566,,TRUE
567,0,FALSE
569,0,FALSE
571,0,FALSE
576,0,FALSE
580,0,FALSE
642,0,FALSE
649,0,FALSE
653,0,FALSE
654,4,TRUE
655,0,FALSE
668,13,TRUE
686,0,FALSE
1397,0,FALSE
2994,5,TRUE
2779,0,FALSE
192,0,FALSE
551,0,FALSE
2564,2,TRUE
