"LID","RhythmType"
468,"unclassified"
47,"unclassified"
206,"unclassified"
664,"unclassified"
723,"stress-timed"
2944,
77,"syllable-timed"
225,"unclassified"
690,"stress-timed"
25,"unclassified"
502,"syllable-timed"
720,"stress-timed"
501,"unclassified"
538,"unclassified"
691,"stress-timed"
610,"unclassified"
626,"unclassified"
580,"mixed"
2330,"stress-timed"
1739,"unclassified"
662,
56,"unclassified"
435,"stress-timed"
674,"syllable-timed"
78,"mora-timed"
1682,"stress-timed"
179,"stress-timed"
171,"syllable-timed"
2742,"syllable-timed"
463,"unclassified"
87,"stress-timed"
886,"unclassified"
74,"stress-timed"
107,"unclassified"
79,"syllable-timed"
2790,"syllable-timed"
1772,"stress-timed"
725,"syllable-timed"
389,"unclassified"
464,"unclassified"
165,"unclassified"
1207,"unclassified"
677,"stress-timed"
420,"unclassified"
1440,"stress-timed"
64,"unclassified"
35,"syllable-timed"
63,"stress-timed"
1890,"unclassified"
642,"stress-timed"
722,"unclassified"
130,"unclassified"
456,"stress-timed"
798,"unclassified"
188,"mixed"
101,"unclassified"
2268,"stress-timed"
199,"stress-timed"
528,"unclassified"
566,"stress-timed"
569,"syllable-timed"
635,"syllable-timed"
1750,"syllable-timed"
632,"syllable-timed"
40,"unclassified"
614,"stress-timed"
1139,"stress-timed"
541,"stress-timed"
2440,"unclassified"
494,"stress-timed"
540,"stress-timed"
2047,"stress-timed"
