"LID","VInlfCatSurveyComplete","VBipartiteStem.Presence","VInflCat","VInflMacrocategories","VInflCatAndAgrMax.n","VInflCatMax.n","VInflCatMax.binned3","VInflCatAndAgrMax.binned3","VInflCatAndAgrFmtvMax.n","VInflCatFmtvMax.n","VInflCatandAgrFmtvMax.binned3","VAnyIncorporation.Presence","VInflExponence","VNounIncorporation.Presence","VPhonCoherence.Presence","VAgrAllPre.Presence","VAgrAnyPre.Presence","VProsCoherence.Presence","VAgrRoles","VInflMax.n","VSynCoherence.Presence","VInflMax.binned3","VIncorporationVorN.Presence","VIncorporationV.Presence"
7,TRUE,,"Aktionsart,Applicative,Causative,Deixis,Illocution,Quantificational,Reflexive,Semistem,Spatial,TAM,Tense","event-specs,number,other,pragmatic,TAM+,valence",14,10,"medium","high",16,12,"high",TRUE,"distributive",FALSE,TRUE,TRUE,TRUE,TRUE,"<any>,A-default,B-default,T-default",30,TRUE,"high",FALSE,FALSE
1108,,,"Aktionsart,Applicative,Aspect,Deixis,Number,Quantificational,TAM","number,pragmatic,TAM+,valence",14,10,"medium","high",15,11,"high",TRUE,"distributive",TRUE,,TRUE,TRUE,,"A-default,B-default,core,U-default",29,,"high",TRUE,TRUE
382,,,"Aspect,Mood,MSE,Number,Polarity,Quantificational,Reflexive_and_Reciprocal,Status,TAM","number,operators,TAM+,valence",12,,,"high",12,,"medium",FALSE,"separative",,,FALSE,FALSE,,"A-default,U-default",24,,"high",,
577,,TRUE,"Aktionsart,Aspect,Evidential,Mood,Number,Quantificational,Tense","evidential,number,TAM+",12,8,"medium","high",20,11,"high",TRUE,"distributive",TRUE,TRUE,TRUE,TRUE,TRUE,"A-default,B-default,POSS-default,U-default",32,TRUE,"high",TRUE,FALSE
458,TRUE,,"Aktionsart,Deixis,Illocution,Mood,Number,Polarity,Status,TAM,Valence","number,operators,pragmatic,TAM+,valence",13,9,"low","high",9,5,"medium",TRUE,"distributive",FALSE,,TRUE,TRUE,TRUE,"A-default,B-default,POSS-default,U-default",22,TRUE,"medium",FALSE,FALSE
2172,,,"Aspect,Causative,Evidential,Illocution,Polarity,Referential,TAM,Voice","evidential,operators,pragmatic,TAM+,valence",10,8,"low","high",6,4,"low",FALSE,"distributive",,,FALSE,FALSE,,"A-default,U-default",16,,"medium",,
384,,FALSE,"Number,Status,Voice","number,TAM+,valence",7,3,"low","medium",5,3,"low",TRUE,"cumulative",TRUE,TRUE,FALSE,TRUE,TRUE,"A-default,AFF,S-default,U-default",12,TRUE,"medium",TRUE,FALSE
975,TRUE,FALSE,"Aktionsart,Applicative,Connective,Number,Reflexive,TA,Tense,Valence","inter-clausal,number,TAM+,valence",14,10,"high","high",19,16,"high",FALSE,"distributive",,,FALSE,TRUE,,"A-default,B-default,POSS-default,U-default",33,,"high",,
505,,,"Aspect,Connective,Quantificational,Switch_reference,Tense,Voice","inter-clausal,number,TAM+,valence",9,,,"medium",6,,"low",FALSE,"cumulative",,TRUE,FALSE,TRUE,TRUE,"A-default,B-default,U-default",15,TRUE,"medium",,
693,FALSE,,"Aspect,Gender,Tense","classification,TAM+",6,3,"low","medium",7,4,"medium",FALSE,"distributive",,FALSE,TRUE,TRUE,,"A-default,B-default,U-default",13,,"medium",,
675,TRUE,,"Causative,Deixis,Evidential,Illocution,Modality,Polarity,RECIP,Reflexive,Tense,Version","evidential,operators,pragmatic,TAM+,valence",13,10,"medium","high",15,12,"high",TRUE,"distributive",TRUE,,TRUE,TRUE,,"A-default,B-default,U-default",28,,"high",TRUE,FALSE
2412,TRUE,,"Causative,Connective,Deixis,Illocution,Mood,Polarity,Quotative,Status,Switch_reference,Voice","evidential,inter-clausal,operators,pragmatic,TAM+,valence",13,10,"medium","high",15,12,"high",FALSE,"distributive",,FALSE,TRUE,TRUE,,"A-default,G-default,U-default",28,,"high",,
727,,,,,,,,,,,,FALSE,,,,FALSE,TRUE,,"A-default,B-default,U-default",,,,,
17,TRUE,FALSE,"Aspect,MSE,Tense","TAM+",6,3,"low","medium",6,3,"low",FALSE,"separative",,,FALSE,TRUE,,"A-default,B-default,U-default",12,,"medium",,
2984,TRUE,,"Aspect,Illocution,Mood,Polarity,Status,TAM,Tense","operators,TAM+",10,7,"medium","high",11,8,"medium",FALSE,"distributive",,,FALSE,TRUE,,"A-default,B-default,U-default",21,,"medium",,
86,TRUE,FALSE,"Number,Person,TAM,Version,Voice","number,person,TAM+,valence",8,5,,"medium",7,,"medium",FALSE,"cumulative",,TRUE,FALSE,TRUE,TRUE,"A-default,B-default,U-default",15,TRUE,"medium",,
426,TRUE,FALSE,"Applicative,Aspect,Evidential,Motion,MSE,Quantificational,Reflexive_and_Reciprocal,Voice","event-specs,evidential,number,TAM+,valence",13,10,"medium","high",13,10,"medium",FALSE,"separative",,,FALSE,TRUE,,"A-default,B-default,U-default",26,,"high",,
354,TRUE,FALSE,"Aktionsart,Polarity,Quantificational,TAM,Voice","number,operators,TAM+,valence",8,5,,"medium",11,,"medium",TRUE,"cumulative",TRUE,,TRUE,TRUE,FALSE,"A-default,O-adp,U-default",19,TRUE,"medium",TRUE,FALSE
