"LID","VAgrA.Pre.Presence","VAgrP.Pre.Presence","VAgrPOSS.Pre.Presence"
1,,FALSE,
7,FALSE,FALSE,
9,FALSE,FALSE,
10,FALSE,FALSE,
12,FALSE,FALSE,
14,FALSE,FALSE,
17,FALSE,FALSE,
20,FALSE,FALSE,
21,FALSE,,
22,FALSE,FALSE,
25,FALSE,,
26,FALSE,FALSE,
27,FALSE,FALSE,
28,FALSE,,
32,FALSE,FALSE,
34,FALSE,FALSE,
35,FALSE,FALSE,
40,FALSE,FALSE,
43,,FALSE,
44,FALSE,,
47,FALSE,FALSE,
48,FALSE,,
49,,FALSE,
50,FALSE,FALSE,
51,FALSE,,
55,FALSE,FALSE,
56,FALSE,FALSE,
59,FALSE,FALSE,
61,FALSE,FALSE,
63,FALSE,FALSE,
69,FALSE,,
74,FALSE,,
77,FALSE,,
78,FALSE,,
79,FALSE,FALSE,
80,FALSE,FALSE,
81,FALSE,,
82,FALSE,FALSE,
86,FALSE,FALSE,
87,FALSE,,
89,FALSE,FALSE,
91,FALSE,FALSE,
93,FALSE,FALSE,
98,FALSE,FALSE,
100,FALSE,,
101,FALSE,,
103,FALSE,FALSE,
104,FALSE,FALSE,
106,FALSE,,
107,FALSE,,
110,FALSE,,
112,TRUE,FALSE,
113,FALSE,FALSE,
114,,FALSE,
118,FALSE,,
119,FALSE,FALSE,
123,FALSE,FALSE,
125,TRUE,TRUE,
129,FALSE,FALSE,
130,FALSE,,
132,FALSE,FALSE,
134,FALSE,FALSE,
135,FALSE,FALSE,
136,FALSE,,
139,FALSE,,
141,FALSE,,
145,FALSE,FALSE,
147,FALSE,FALSE,
149,FALSE,FALSE,
150,FALSE,FALSE,
152,FALSE,FALSE,
154,FALSE,FALSE,
155,FALSE,FALSE,
156,FALSE,FALSE,
159,FALSE,FALSE,
165,FALSE,FALSE,
167,FALSE,FALSE,
168,FALSE,,
173,FALSE,FALSE,
176,FALSE,FALSE,
177,FALSE,FALSE,
178,FALSE,FALSE,
180,FALSE,FALSE,
181,FALSE,FALSE,
186,FALSE,,
191,FALSE,FALSE,
192,FALSE,,
193,FALSE,,
196,FALSE,FALSE,
199,,FALSE,
200,FALSE,FALSE,
201,FALSE,,
202,FALSE,FALSE,
205,FALSE,FALSE,
206,FALSE,,
208,FALSE,FALSE,
210,FALSE,FALSE,
212,FALSE,FALSE,
221,FALSE,,
299,FALSE,FALSE,
318,FALSE,FALSE,
324,FALSE,,
325,FALSE,FALSE,
326,FALSE,,
329,FALSE,FALSE,
332,FALSE,FALSE,
340,FALSE,,
343,FALSE,FALSE,
352,FALSE,FALSE,
354,FALSE,FALSE,
355,FALSE,,
356,FALSE,FALSE,
357,FALSE,FALSE,
365,FALSE,,
367,FALSE,,
370,FALSE,FALSE,
375,FALSE,,
378,FALSE,FALSE,
382,FALSE,FALSE,
383,,FALSE,
384,FALSE,FALSE,
386,FALSE,FALSE,
387,FALSE,,
388,FALSE,FALSE,
389,FALSE,,
390,FALSE,FALSE,
392,FALSE,,
393,FALSE,FALSE,
395,FALSE,FALSE,
400,FALSE,FALSE,
401,FALSE,FALSE,
402,FALSE,FALSE,
406,FALSE,FALSE,
408,FALSE,FALSE,
409,FALSE,,
411,FALSE,FALSE,
412,FALSE,FALSE,
413,,FALSE,
414,FALSE,,
420,FALSE,FALSE,
421,,FALSE,
423,FALSE,,
426,FALSE,FALSE,
428,FALSE,FALSE,
429,FALSE,FALSE,
433,,FALSE,
435,FALSE,,
438,FALSE,,
