"LID","VAgrA.Position","VAgrP.Position","VAgrPOSS.Position"
1,,"prae",
7,"prae","prae",
9,"prae","post",
10,"prae","prae",
12,"prae","prae",
14,"post","post",
17,"post (in)","prae",
20,"post","post",
21,"prae/post",,
22,"prae","post",
25,"post",,
26,"post","post",
27,"post","prae",
28,"post",,
32,"post","prae",
34,"prae","post",
35,"post","prae",
40,"post","prae",
43,,"prae",
44,"post",,
47,"prae","post",
48,"prae",,
49,,"prae",
50,"prae","post",
51,"prae",,
55,"prae","prae",
56,"prae","post",
59,"prae/post","prae/post",
61,"post","prae",
63,"prae","prae",
69,"post",,
74,"post",,
77,"prae",,
78,"post",,
79,"prae/post","prae",
80,"prae","post",
81,"prae/in/post",,
82,"prae","prae",
86,"prae/post","prae",
87,"post",,
89,"prae","prae",
91,"post","post",
93,"prae","prae",
98,"prae","post",
100,"post",,
101,"prae",,
103,"post","prae",
104,"post","post",
106,"prae",,
107,"post",,
110,"post",,
112,"prae/post/in/circum","post",
113,"prae","post",
114,,"prae",
118,"prae",,
119,"post","post",
123,"prae","prae",
125,"prae/circum","prae/circum",
129,"prae","prae/post",
130,"post",,
132,"prae","prae",
134,"prae","prae",
135,"prae/in/post","prae",
136,"post",,
139,"post",,
141,"prae",,
145,"post","prae",
147,"prae","prae",
147,"post",,
149,"post","post",
150,"prae","post",
152,"post","post",
154,"prae","prae",
155,"post","in/prae",
156,"in/prae","in/prae",
159,"prae","post",
165,"prae","prae",
167,"prae","prae",
168,"post",,
173,"prae","prae",
176,"post","post",
177,"prae","post",
178,"prae","post",
178,"post",,
180,"prae","post",
181,"prae","prae",
186,"post",,
191,"post","post",
192,"post",,
193,"post",,
196,"prae","post",
199,,"post",
200,"post","post",
201,"post",,
202,"prae","prae",
205,"post","post",
206,"post",,
208,"prae","prae",
210,"post","post",
212,"post","post",
221,"post",,
299,"prae","post",
318,"prae","prae",
324,"post",,
325,"post","prae",
326,"post",,
329,"prae","post",
332,"prae","prae",
340,"post",,
343,"prae","prae",
352,"post","post",
354,"prae","prae",
355,"post/prae (simul)",,
356,"post","post",
357,"post","post",
365,"post",,
367,"post",,
370,"post","prae",
370,,"post",
375,"post",,
378,"prae","prae",
382,"post","prae/post",
383,,"post",
384,"prae","post",
386,"post","prae",
387,"post",,
388,"prae","prae",
389,"in/prae",,
390,"prae","prae",
390,,"post",
392,"post",,
393,"post","prae",
393,,"post",
395,"prae","in",
400,"prae","prae",
401,"prae","prae",
402,"prae","post",
404,"Wackernagel","Wackernagel",
406,"prae","prae",
408,"post","post",
409,"post",,
411,"prae","prae",
412,"post","post",
413,,"prae/in/post",
414,"prae","Wackernagel",
420,"prae","prae",
421,,"prae",
423,"post",,
426,"post","prae",
428,"post","post",
429,"post","prae",
433,,"prae",
435,"post",,
438,"prae",,
454,"prae","prae",
456,"post","post",
458,"prae","prae","prae"
460,"prae","prae",
461,"prae","prae",
464,"post","prae",
465,"simul","prae",
469,"post","post",
481,"prae/post","prae/post",
491,"post",,
492,"prae/circum","prae/circum",
495,"prae",,
498,"prae","post",
499,"prae","prae/post",
499,,"post",
502,"post",,
505,"post","post (in)",
505,,"prae",
511,"post","post",
512,"prae","post",
514,"post","post",
515,"prae","post",
518,"post",,
525,"post","prae",
527,"post",,
530,,"prae/in",
533,"post",,
535,"post",,
540,"prae",,
545,"prae",,
549,"post",,
550,"prae","prae",
551,"prae","in",
553,"prae","prae",
553,,"post",
558,"post (prae)","post",
564,,"in",
569,"post","prae (post)",
571,"prae/post","prae",
576,"post","post",
577,"prae","prae","prae"
581,"prae","prae",
582,"prae","post",
583,"prae/post","post",
608,"post",,
612,"post","post",
619,"prae","prae",
632,"post","post",
633,"post","post",
634,"post",,
635,"Wackernagel","post","post"
641,"post",,
642,"post","post",
644,"prae",,
645,"prae",,
646,"Wackernagel",,
648,"Wackernagel","prae",
654,"prae","post",
655,"prae","prae",
656,"post",,
658,"prae","prae",
668,"prae/post","prae/post",
669,"post","prae",
675,"prae","prae",
678,"post","prae (post)",
679,"post",,
680,"post","post",
681,"post","post",
683,"post","prae (post)",
686,"post (in)","post",
687,"post","post",
692,"prae","prae",
693,"prae","prae",
699,"post",,
700,"post",,
725,"post","prae (post)",
726,"post","prae",
727,"post","prae",
780,"post","post",
790,"post",,
885,"prae (post)","post",
917,,"in/prae",
942,,"prae",
1067,"post",,
1108,"prae","prae",
1140,"prae","prae",
1363,"prae","post",
1385,"post","post",
1531,,"prae",
1542,,"prae",
1623,"post","post",
1807,,"prae",
1816,,"in/prae",
1840,,"prae",
1890,"post",,
1954,"post","prae",
2024,"post","prae",
2050,"prae/post","prae/post",
2120,"post","post",
2172,"post","post",
2330,"post",,
2360,"prae/post","prae/post",
2388,,"in/prae",
2393,"post","post",
2412,"prae","prae",
2447,"post",,
2471,"post",,
2508,"prae",,
2513,"prae",,
2514,"prae","prae",
2564,"post","post",
2572,,"prae",
2577,,"in",
2672,"post","post",
2779,"prae (post)","post",
2831,"post",,
2832,"post",,
2833,"post",,
2854,"post",,
2855,"post",,
2856,"post",,
2900,"post",,
2949,"prae","prae",
2951,"prae","prae",
2984,"post","post",
2984,,"prae",
3101,"post","post",
3143,"post",,
3229,"post","prae (post)",
3240,"prae","post",
