"LID","VAgrA.Position.binned5","VAgrP.Position.binned5","VAgrPOSS.Position.binned5"
1,,"prae",
7,"prae","prae",
9,"prae","post",
10,"prae","prae",
12,"prae","prae",
14,"post","post",
17,"post","prae",
18,"post","post",
20,"post","post",
21,"split",,
22,"prae","post",
25,"post",,
26,"post","post",
27,"post","prae",
28,"post",,
32,"post","prae",
34,"prae","post",
35,"split","split",
40,"post","prae",
43,,"prae",
44,"post",,
47,"prae","post",
48,"prae",,
49,,"prae",
50,"prae","post",
51,"prae",,
55,"prae","prae",
56,"prae","post",
59,"split","split",
61,"post","prae",
63,"prae","prae",
68,"prae","prae",
69,"post",,
74,"post",,
77,"prae",,
78,"post",,
79,"split","prae",
80,"prae","post",
81,"split",,
82,"prae","prae",
86,"split","prae",
87,"post",,
89,"prae","prae",
91,"post","post",
93,"prae","prae",
98,"prae","post",
100,"post",,
101,"prae",,
103,"post","prae",
104,"post","post",
106,"prae",,
107,"post",,
110,"post",,
112,"split","post",
113,"prae","post",
114,,"prae",
118,"prae",,
119,"post","post",
123,"prae","prae",
125,"split","split",
129,"prae","split",
130,"post",,
132,"prae","prae",
134,"prae","prae",
135,"split","prae",
136,"post",,
139,"post",,
141,"prae",,
145,"post","prae",
147,"prae","prae",
147,"post",,
149,"post","post",
150,"prae","post",
152,"post","post",
154,"prae","split",
155,"post","split",
156,"split","split",
159,"prae","post",
165,"prae","prae",
167,"prae","prae",
168,"post",,
169,"post",,
173,"prae","prae",
176,"post","post",
177,"prae","post",
178,"prae","post",
178,"post",,
180,"prae","post",
181,"prae","prae",
186,"post",,
191,"post","post",
192,"post",,
193,"post",,
196,"prae","post",
199,,"post",
200,"post","post",
201,"post",,
202,"prae","prae",
205,"post","post",
206,"post",,
208,"prae","prae",
210,"post","post",
212,"post","post",
221,"post",,
223,"post",,
299,"prae","post",
318,"prae","prae",
324,"post",,
325,"post","post",
326,"post",,
329,"prae","post",
332,"prae","prae",
340,"post",,
343,"prae","prae",
352,"post","post",
354,"prae","prae",
355,"split",,
356,"post","post",
357,"post","post",
365,"post",,
367,"post",,
368,"prae","post",
370,"post","prae",
370,,"post",
375,"post",,
378,"prae","prae",
382,"post","split",
383,,"post",
384,"prae","post",
386,"post","prae",
387,"post",,
388,"prae","prae",
389,"split",,
390,"prae","prae",
390,,"post",
392,"post",,
393,"post","prae",
393,,"post",
395,"prae","in",
400,"prae","prae",
401,"prae","prae",
402,"prae","post",
406,"prae","prae",
408,"post","post",
409,"post",,
411,"prae","prae",
412,"post","post",
413,,"split",
414,"prae",,
420,"prae","prae",
421,,"prae",
423,"post",,
426,"post","prae",
428,"post","post",
429,"post","prae",
433,,"prae",
435,"post",,
438,"prae",,
454,"prae","prae",
456,"post","post",
458,"prae","prae","prae"
460,"prae","prae",
461,"prae","prae",
463,"post",,
464,"post","prae",
465,"simul","prae",
468,"post",,
469,"post","post",
481,"split","split",
491,"post",,
492,"split","split",
495,"prae",,
498,"prae","post",
499,"prae","split",
499,,"post",
502,"post",,
505,"post","post",
505,,"prae",
511,"post","post",
512,"prae","post",
514,"post","post",
515,"prae","post",
518,"post",,
525,"post","prae",
527,"post",,
530,,"split",
533,"post",,
535,"post",,
540,"prae",,
545,"prae",,
549,"post",,
550,"prae","prae",
551,"prae","in",
553,"prae","prae",
553,,"post",
558,"post","post",
564,,"in",
569,"post","prae",
571,"split","prae",
576,"post","post",
577,"prae","prae","prae"
581,"prae","prae",
582,"prae","post",
583,"split","post",
608,"post",,
612,"post","post",
619,"prae","prae",
