"LID","VAgrA.Post.Presence","VAgrP.Post.Presence","VAgrPOSS.Post.Presence"
1,,FALSE,
7,FALSE,FALSE,
9,FALSE,TRUE,
10,FALSE,FALSE,
12,FALSE,FALSE,
14,TRUE,TRUE,
17,TRUE,FALSE,
18,TRUE,TRUE,
20,TRUE,TRUE,
21,TRUE,,
22,FALSE,TRUE,
25,TRUE,,
26,TRUE,TRUE,
27,TRUE,FALSE,
28,TRUE,,
32,TRUE,FALSE,
34,FALSE,TRUE,
35,TRUE,TRUE,
40,TRUE,FALSE,
43,,FALSE,
44,TRUE,,
47,FALSE,TRUE,
48,FALSE,,
49,,FALSE,
50,FALSE,TRUE,
51,FALSE,,
55,FALSE,FALSE,
56,FALSE,TRUE,
59,TRUE,TRUE,
61,TRUE,FALSE,
63,FALSE,FALSE,
68,FALSE,FALSE,
69,TRUE,,
74,TRUE,,
77,FALSE,,
78,TRUE,,
79,TRUE,FALSE,
80,FALSE,TRUE,
81,TRUE,,
82,FALSE,FALSE,
86,TRUE,FALSE,
87,TRUE,,
89,FALSE,FALSE,
91,TRUE,TRUE,
93,FALSE,FALSE,
98,FALSE,TRUE,
100,TRUE,,
101,FALSE,,
103,TRUE,FALSE,
104,TRUE,TRUE,
106,FALSE,,
107,TRUE,,
110,TRUE,,
112,TRUE,TRUE,
113,FALSE,TRUE,
114,,FALSE,
118,FALSE,,
119,TRUE,TRUE,
123,FALSE,FALSE,
125,FALSE,FALSE,
129,FALSE,TRUE,
130,TRUE,,
132,FALSE,FALSE,
134,FALSE,FALSE,
135,TRUE,FALSE,
136,TRUE,,
139,TRUE,,
141,FALSE,,
145,TRUE,FALSE,
147,FALSE,FALSE,
147,TRUE,,
149,TRUE,TRUE,
150,FALSE,TRUE,
152,TRUE,TRUE,
154,FALSE,TRUE,
155,TRUE,FALSE,
156,FALSE,FALSE,
159,FALSE,TRUE,
165,FALSE,FALSE,
167,FALSE,FALSE,
168,TRUE,,
169,TRUE,,
173,FALSE,FALSE,
176,TRUE,TRUE,
177,FALSE,TRUE,
178,FALSE,TRUE,
178,TRUE,,
180,FALSE,TRUE,
181,FALSE,FALSE,
186,TRUE,,
191,TRUE,TRUE,
192,TRUE,,
193,TRUE,,
196,FALSE,TRUE,
199,,TRUE,
200,TRUE,TRUE,
201,TRUE,,
202,FALSE,FALSE,
205,TRUE,TRUE,
206,TRUE,,
208,FALSE,FALSE,
210,TRUE,TRUE,
212,TRUE,TRUE,
221,TRUE,,
223,TRUE,,
299,FALSE,TRUE,
318,FALSE,FALSE,
324,TRUE,,
325,TRUE,TRUE,
326,TRUE,,
329,FALSE,TRUE,
332,FALSE,FALSE,
340,TRUE,,
343,FALSE,FALSE,
352,TRUE,TRUE,
354,FALSE,FALSE,
355,TRUE,,
356,TRUE,TRUE,
357,TRUE,TRUE,
365,TRUE,,
367,TRUE,,
368,FALSE,TRUE,
370,TRUE,FALSE,
370,,TRUE,
375,TRUE,,
378,FALSE,FALSE,
382,TRUE,TRUE,
383,,TRUE,
384,FALSE,TRUE,
386,TRUE,FALSE,
387,TRUE,,
388,FALSE,FALSE,
389,FALSE,,
390,FALSE,FALSE,
390,,TRUE,
392,TRUE,,
393,TRUE,FALSE,
393,,TRUE,
395,FALSE,,
400,FALSE,FALSE,
401,FALSE,FALSE,
402,FALSE,TRUE,
406,FALSE,FALSE,
408,TRUE,TRUE,
409,TRUE,,
411,FALSE,FALSE,
412,TRUE,TRUE,
413,,TRUE,
414,FALSE,,
