"LID","VAgrA.Pre.Presence","VAgrP.Pre.Presence","VAgrPOSS.Pre.Presence"
1,,TRUE,
7,TRUE,TRUE,
9,TRUE,FALSE,
10,TRUE,TRUE,
12,TRUE,TRUE,
14,FALSE,FALSE,
17,FALSE,TRUE,
18,FALSE,FALSE,
20,FALSE,FALSE,
21,TRUE,,
22,TRUE,FALSE,
25,FALSE,,
26,FALSE,FALSE,
27,FALSE,TRUE,
28,FALSE,,
32,FALSE,TRUE,
34,TRUE,FALSE,
35,TRUE,TRUE,
40,FALSE,TRUE,
43,,TRUE,
44,FALSE,,
47,TRUE,FALSE,
48,TRUE,,
49,,TRUE,
50,TRUE,FALSE,
51,TRUE,,
55,TRUE,TRUE,
56,TRUE,FALSE,
59,TRUE,TRUE,
61,FALSE,TRUE,
63,TRUE,TRUE,
68,TRUE,TRUE,
69,FALSE,,
74,FALSE,,
77,TRUE,,
78,FALSE,,
79,TRUE,TRUE,
80,TRUE,FALSE,
81,TRUE,,
82,TRUE,TRUE,
86,TRUE,TRUE,
87,FALSE,,
89,TRUE,TRUE,
91,FALSE,FALSE,
93,TRUE,TRUE,
98,TRUE,FALSE,
100,FALSE,,
101,TRUE,,
103,FALSE,TRUE,
104,FALSE,FALSE,
106,TRUE,,
107,FALSE,,
110,FALSE,,
112,TRUE,FALSE,
113,TRUE,FALSE,
114,,TRUE,
118,TRUE,,
119,FALSE,FALSE,
123,TRUE,TRUE,
125,TRUE,TRUE,
129,TRUE,TRUE,
130,FALSE,,
132,TRUE,TRUE,
134,TRUE,TRUE,
135,TRUE,TRUE,
136,FALSE,,
139,FALSE,,
141,TRUE,,
145,FALSE,TRUE,
147,TRUE,TRUE,
147,FALSE,,
149,FALSE,FALSE,
150,TRUE,FALSE,
152,FALSE,FALSE,
154,TRUE,TRUE,
155,FALSE,TRUE,
156,TRUE,TRUE,
159,TRUE,FALSE,
165,TRUE,TRUE,
167,TRUE,TRUE,
168,FALSE,,
169,FALSE,,
173,TRUE,TRUE,
176,FALSE,FALSE,
177,TRUE,FALSE,
178,TRUE,FALSE,
178,FALSE,,
180,TRUE,FALSE,
181,TRUE,TRUE,
186,FALSE,,
191,FALSE,FALSE,
192,FALSE,,
193,FALSE,,
196,TRUE,FALSE,
199,,FALSE,
200,FALSE,FALSE,
201,FALSE,,
202,TRUE,TRUE,
205,FALSE,FALSE,
206,FALSE,,
208,TRUE,TRUE,
210,FALSE,FALSE,
212,FALSE,FALSE,
221,FALSE,,
223,FALSE,,
299,TRUE,FALSE,
318,TRUE,TRUE,
324,FALSE,,
325,FALSE,FALSE,
326,FALSE,,
329,TRUE,FALSE,
332,TRUE,TRUE,
340,FALSE,,
343,TRUE,TRUE,
352,FALSE,FALSE,
354,TRUE,TRUE,
355,TRUE,,
356,FALSE,FALSE,
357,FALSE,FALSE,
365,FALSE,,
367,FALSE,,
368,TRUE,FALSE,
370,FALSE,TRUE,
370,,FALSE,
375,FALSE,,
378,TRUE,TRUE,
382,FALSE,TRUE,
383,,FALSE,
384,TRUE,FALSE,
386,FALSE,TRUE,
387,FALSE,,
388,TRUE,TRUE,
389,TRUE,,
390,TRUE,TRUE,
390,,FALSE,
392,FALSE,,
