"LID","VInflAktionsart.Pre.Presence","VInflApplicative.Pre.Presence","VInflAspect.Pre.Presence","VInflCausative.Pre.Presence","VInflClassifier.Pre.Presence","VInflConnective.Pre.Presence","VInflConstruct.Pre.Presence","VInflControl.Pre.Presence","VInflDeixis.Pre.Presence","VInflVoice.Pre.Presence","VInflFocus.Pre.Presence","VInflPosterior.Pre.Presence","VInflGender.Pre.Presence","VInflIllocution.Pre.Presence","VInflMA.Pre.Presence","VInflMN.Pre.Presence","VInflModality.Pre.Presence","VInflMood.Pre.Presence","VInflMotion.Pre.Presence","VInflMSE.Pre.Presence","VInflNominalizer.Pre.Presence","VInflNumber.Pre.Presence","VInflPerson.Pre.Presence","VInflPolarity.Pre.Presence","VInflPotentialis.Pre.Presence","VInflQuantificational.Pre.Presence","VInflReflexive_and_Reciprocal.Pre.Presence","VInflRECIP.Pre.Presence","VInflReferential.Pre.Presence","VInflReflexive.Pre.Presence","VInflRepetition.Pre.Presence","VInflReversative.Pre.Presence","VInflSemistem.Pre.Presence","VInflSpatial.Pre.Presence","VInflStatus.Pre.Presence","VInflSwitch_reference.Pre.Presence","VInflTense_and_Evidential.Pre.Presence","VInflTA.Pre.Presence","VInflTAM.Pre.Presence","VInflTense.Pre.Presence","VInflTM.Pre.Presence","VInflValence.Pre.Presence","VInflVersion.Pre.Presence"
1,,,,FALSE,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,
7,FALSE,FALSE,,FALSE,,,,,FALSE,,,,,FALSE,,,,,,,,,,,,FALSE,,,,FALSE,,,FALSE,FALSE,,,,,FALSE,FALSE,,,
10,FALSE,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,
14,FALSE,,FALSE,,,,,,FALSE,,,,,FALSE,,,,FALSE,,,,,,,,,,,,,,,,,FALSE,,,,,FALSE,,,
17,,,FALSE,,,,,,,FALSE,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,FALSE,,,
20,,,FALSE,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,FALSE,,,,
21,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,
27,,,FALSE,,,,,,,,,FALSE,,,,,,,,,,,,FALSE,,FALSE,,,,,,,,,,,,FALSE,,,,,
34,,,,,,,,,,FALSE,,,,,,,,,,,,,,FALSE,,,,,,FALSE,,,,,,,,,,,,,
35,FALSE,,,,,FALSE,,,,FALSE,,,,,,,,FALSE,,,,,,TRUE,,,,,,,,,FALSE,,,,,,FALSE,,,FALSE,
43,,,,,,,,,,,,,,,,,,FALSE,,,,FALSE,,,,,,,,,,,,,,,,,,,,,
44,,,,,,,,,,FALSE,FALSE,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
51,,,FALSE,FALSE,,,,,FALSE,,,,,FALSE,,,,FALSE,,,,FALSE,,,,,,,,,,,,,TRUE,,,,,FALSE,,,
55,FALSE,,,,,,,,,,,,,,,,,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,FALSE,,,
56,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,
63,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,
64,,,,,,,,,,FALSE,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,FALSE,,
66,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,,FALSE,,,,
69,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,,,,,,,,,TRUE,,,,
