"LID","VInflAktionsart.Position","VInflApplicative.Position","VInflAspect.Position","VInflCausative.Position","VInflClassifier.Position","VInflConnective.Position","VInflConstruct.Position","VInflControl.Position","VInflDeixis.Position","VInflVoice.Position","VInflFocus.Position","VInflPosterior.Position","VInflGender.Position","VInflIllocution.Position","VInflMA.Position","VInflMN.Position","VInflModality.Position","VInflMood.Position","VInflMotion.Position","VInflMSE.Position","VInflNominalizer.Position","VInflNumber.Position","VInflPerson.Position","VInflPolarity.Position","VInflPotentialis.Position","VInflQuantificational.Position","VInflReflexive_and_Reciprocal.Position","VInflRECIP.Position","VInflReferential.Position","VInflReflexive.Position","VInflRepetition.Position","VInflReversative.Position","VInflSemistem.Position","VInflSpatial.Position","VInflStatus.Position","VInflSwitch_reference.Position","VInflTense_and_Evidential.Position","VInflTA.Position","VInflTAM.Position","VInflTense.Position","VInflTM.Position","VInflValence.Position","VInflVersion.Position"
1,,,,"prae","prae",,"prae",,,,,,,,,,,,,,,,,,,,,,,"prae",,,,,,,,,,"post",,,
7,"post","prae",,"prae",,,,,"prae",,,,,"post",,,,,,,,,,,,"post",,,,"prae",,,"prae","post",,,,,"post","prae/post",,,
10,"post",,,,,,,,,,,,,,,,,,,,,"prae",,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,"post",,,,,,,,,,,,,,,,,,,,,
14,"post",,"post",,,,,,"prae",,,,,"prae",,,,"post",,,,,,,,,,,,,,,,,"post",,,,,"prae",,,
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"post",,,
17,,,"prae",,,,,,,,,,,,,,,,,"prae/post",,,,,,,,,,,,,,,,,,,,"prae/post",,,
18,"post",,,"post",,,,,,"post","post",,,,,,,,,,,,,,,"post",,,,,,,,,,,,,"post",,,,
20,,,"in",,,,,,,,,,,,,,,,,,,,,"post",,,,,,,,,,,,,,,"post",,,,
20,,,"post",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,"in",,,,,,,,,,,,"prae",,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"prae",,,,,,,,
25,,,,,,,,,,"post",,,,,,,,,,,,,,"prae",,,,,,,,,,,,,,,,,"post",,
27,,,"post",,,,,,,,,"post",,,,,,,,,,,,"post",,"post",,,,,,,,,,,,"post",,,,,
34,,,,,,,,,,"in/prae",,,,,,,,,,,,,,"prae",,,,,,"in",,,,,,,,,,,,,
35,"post",,,,,"post",,,,"prae",,,,,,,,"prae/post",,,,,,"circum",,,,,,,,,"prae",,,,,,"post",,,"post",
43,,,,,,,,,,,,,,,,,,"post",,,,"prae",,,,,,,,,,,,,,,,"Wackernagel",,,,,
44,,,,,,,,,,"post","post",,,,,,"post",,,,,,,,,,,,,,,,,,,,,,"post",,,"post",
51,,,"post","post",,,,,"post",,,,,"prae",,,,"post",,,,"post",,,,,,,,,,,,,"circum",,,,,"post",,,
51,,,,,,,,,,,,,,"post",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,"prae",,,,,,,,,,,,,,,,,,,,,"prae",,"prae",,,,,,,,,,,,,,,,"prae",,,
56,,,"post",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"prae/post",,,,
63,,,,,,,,,,,,,,,,,,,,,,,,,,"prae/in/post",,,,,,,,,,,,,,,,,
64,,,,,,,,,,"post",,,,,,,,,,,,"post",,,,,,,,,,,,,,,,,,,"post",,
66,,,,"post",,,,,,,,,,,,,,,,,,,,,,"prae","post",,,,,,,,,,,,"post",,,,
68,,,,,,,,,"post",,,,,,,,,,,,,,,,,,"prae",,,,,,"prae",,,,,,,"post",,,
