"LID","VInflAktionsart.Position.binned4","VInflApplicative.Position.binned4","VInflAspect.Position.binned4","VInflCausative.Position.binned4","VInflClassifier.Position.binned4","VInflConnective.Position.binned4","VInflConstruct.Position.binned4","VInflControl.Position.binned4","VInflDeixis.Position.binned4","VInflVoice.Position.binned4","VInflFocus.Position.binned4","VInflPosterior.Position.binned4","VInflGender.Position.binned4","VInflIllocution.Position.binned4","VInflMA.Position.binned4","VInflMN.Position.binned4","VInflModality.Position.binned4","VInflMood.Position.binned4","VInflMotion.Position.binned4","VInflMSE.Position.binned4","VInflNominalizer.Position.binned4","VInflNumber.Position.binned4","VInflPerson.Position.binned4","VInflPolarity.Position.binned4","VInflPotentialis.Position.binned4","VInflQuantificational.Position.binned4","VInflReflexive_and_Reciprocal.Position.binned4","VInflRECIP.Position.binned4","VInflReferential.Position.binned4","VInflReflexive.Position.binned4","VInflRepetition.Position.binned4","VInflReversative.Position.binned4","VInflSemistem.Position.binned4","VInflSpatial.Position.binned4","VInflStatus.Position.binned4","VInflSwitch_reference.Position.binned4","VInflTense_and_Evidential.Position.binned4","VInflTA.Position.binned4","VInflTAM.Position.binned4","VInflTense.Position.binned4","VInflTM.Position.binned4","VInflValence.Position.binned4","VInflVersion.Position.binned4"
1,,,,"prae","prae",,"prae",,,,,,,,,,,,,,,,,,,,,,,"prae",,,,,,,,,,"post",,,
7,"post","prae",,"prae",,,,,"prae",,,,,"post",,,,,,,,,,,,"post",,,,"prae",,,"prae","post",,,,,"post","split",,,
10,"post",,,,,,,,,,,,,,,,,,,,,"prae",,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,"post",,,,,,,,,,,,,,,,,,,,,
14,"post",,"post",,,,,,"prae",,,,,"prae",,,,"post",,,,,,,,,,,,,,,,,"post",,,,,"prae",,,
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"post",,,
17,,,"prae",,,,,,,"post",,,,,,,,"prae",,,,,,,,,,,,,,,,,,,,,,"post",,,
20,,,"in/simul",,,,,,,,,,,,,,,,,,,,,"post",,,,,,,,,,,,,,,"post",,,,
20,,,"post",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,"in/simul",,,,,,,,,,,,"prae",,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"prae",,,,,,,,
