"LID","VInflAktionsart.Pre.Presence","VInflApplicative.Pre.Presence","VInflAspect.Pre.Presence","VInflCausative.Pre.Presence","VInflClassifier.Pre.Presence","VInflConnective.Pre.Presence","VInflConstruct.Pre.Presence","VInflControl.Pre.Presence","VInflDeixis.Pre.Presence","VInflVoice.Pre.Presence","VInflFocus.Pre.Presence","VInflPosterior.Pre.Presence","VInflGender.Pre.Presence","VInflIllocution.Pre.Presence","VInflMA.Pre.Presence","VInflMN.Pre.Presence","VInflModality.Pre.Presence","VInflMood.Pre.Presence","VInflMotion.Pre.Presence","VInflMSE.Pre.Presence","VInflNominalizer.Pre.Presence","VInflNumber.Pre.Presence","VInflPerson.Pre.Presence","VInflPolarity.Pre.Presence","VInflPotentialis.Pre.Presence","VInflQuantificational.Pre.Presence","VInflReflexive_and_Reciprocal.Pre.Presence","VInflRECIP.Pre.Presence","VInflReferential.Pre.Presence","VInflReflexive.Pre.Presence","VInflRepetition.Pre.Presence","VInflReversative.Pre.Presence","VInflSemistem.Pre.Presence","VInflSpatial.Pre.Presence","VInflStatus.Pre.Presence","VInflSwitch_reference.Pre.Presence","VInflTense_and_Evidential.Pre.Presence","VInflTA.Pre.Presence","VInflTAM.Pre.Presence","VInflTense.Pre.Presence","VInflTM.Pre.Presence","VInflValence.Pre.Presence","VInflVersion.Pre.Presence"
1,,,,TRUE,TRUE,,TRUE,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,FALSE,,,
7,FALSE,TRUE,,TRUE,,,,,TRUE,,,,,FALSE,,,,,,,,,,,,FALSE,,,,TRUE,,,TRUE,FALSE,,,,,FALSE,TRUE,,,
10,FALSE,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,
14,FALSE,,FALSE,,,,,,TRUE,,,,,TRUE,,,,FALSE,,,,,,,,,,,,,,,,,FALSE,,,,,TRUE,,,
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,
17,,,TRUE,,,,,,,FALSE,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,FALSE,,,
20,,,FALSE,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,FALSE,,,,
21,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,
27,,,FALSE,,,,,,,,,FALSE,,,,,,,,,,,,FALSE,,FALSE,,,,,,,,,,,,FALSE,,,,,
34,,,,,,,,,,TRUE,,,,,,,,,,,,,,TRUE,,,,,,FALSE,,,,,,,,,,,,,
35,FALSE,,,,,FALSE,,,,TRUE,,,,,,,,TRUE,,,,,,TRUE,,,,,,,,,TRUE,,,,,,FALSE,,,FALSE,
43,,,,,,,,,,,,,,,,,,FALSE,,,,TRUE,,,,,,,,,,,,,,,,,,,,,
44,,,,,,,,,,FALSE,FALSE,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,FALSE,,,FALSE,
51,,,FALSE,FALSE,,,,,FALSE,,,,,TRUE,,,,FALSE,,,,FALSE,,,,,,,,,,,,,TRUE,,,,,FALSE,,,
51,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,TRUE,,,,,,,,,,,,,,,,,,,,,TRUE,,TRUE,,,,,,,,,,,,,,,,TRUE,,,
56,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,
63,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,
64,,,,,,,,,,FALSE,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,FALSE,,
66,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,,,,,,,,,,,,FALSE,,,,
69,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,FALSE,,,,,,,,,,,,,FALSE,,,,
71,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,
72,FALSE,,FALSE,,,,,,,,,FALSE,,,FALSE,,,,,,,,,,,TRUE,FALSE,,,,,,,,,,,,FALSE,,,,
74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,
78,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,
79,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,
82,,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,TRUE,,
84,,,,FALSE,,,,,,,,,,FALSE,,,,,,,,,,,,FALSE,,,,,,,,,,,,FALSE,,,,,
86,,,,,,,,,,FALSE,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,,,,,,FALSE,,,,TRUE
87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,
91,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,TRUE,,,
93,,TRUE,TRUE,,,FALSE,,,TRUE,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,FALSE,TRUE,,,
95,FALSE,,FALSE,,TRUE,,,,,,,,,,,,,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,
101,,,FALSE,,,,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,FALSE,,,
103,,,TRUE,,,,,,,,,,,,,,,FALSE,,,,,,TRUE,,,,,,,,,,,,,,,,FALSE,,,
103,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,,,FALSE,,,,,,,FALSE,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,,,,,,,FALSE,,,,
106,,,,,,,,,,FALSE,,,,,,,,,,,,FALSE,,TRUE,,,,,,,,,,,,,,,TRUE,,,,
107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,FALSE,,,,
110,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,FALSE,,,
113,TRUE,,TRUE,,,,,,TRUE,,,,,,,,,TRUE,,,,,,TRUE,,,,,,,,,,,,,,,,TRUE,,,
113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,
114,,,,FALSE,,TRUE,,,TRUE,FALSE,,,,,,,,,,FALSE,,,,FALSE,,FALSE,,,,,,,,,,,,,FALSE,,,,
119,,,FALSE,FALSE,,,,,,,,,,,,,,,FALSE,,,,,FALSE,,FALSE,,,,,,,,,,,,,,FALSE,,,
123,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,TRUE,,,,,,,,,,,,TRUE,,,,
123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,
125,FALSE,,,,,,,,,,,,,,,,,,,,,FALSE,,,,FALSE,,,,,FALSE,,,,,,,,,FALSE,,,
129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,
134,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,TRUE,,,,TRUE,,,,,,,,,TRUE,,,,,,,,
136,,,FALSE,,,,,,,,,,,,,,,FALSE,,,,,,FALSE,,,,,,,,,,,,FALSE,,,,FALSE,,,
139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,
145,,,FALSE,,,,,,TRUE,,,,TRUE,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,FALSE,,,
147,,,,,,,,,,TRUE,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,FALSE,,,
152,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,,,,,FALSE,,,
155,FALSE,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,,FALSE,,,
168,,,FALSE,,,,,,,,,,,,,,,FALSE,,,,,,FALSE,,,FALSE,,,,,,,,,,,,,FALSE,,,
176,,,,,,,,,,FALSE,,,,,,,,,,,FALSE,,,FALSE,,FALSE,,,,,,,,,,,,,FALSE,,,,
177,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,,TRUE,,,,
178,,FALSE,,,,,,,,,,,,,,,,,,,,FALSE,,,,TRUE,,,,,,,,,TRUE,,,,,,FALSE,,
178,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,FALSE,,,,
180,,FALSE,FALSE,FALSE,,,,,,FALSE,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,FALSE,,,
181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,,,,FALSE,TRUE,,,
188,,,,FALSE,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,,,
191,,,,,,,,,,,,,,,,,,,,,,FALSE,,FALSE,,,,,,FALSE,,,,,,,,,FALSE,,,,
192,,FALSE,,FALSE,,,,,,TRUE,,,,,,,FALSE,FALSE,,,,,,,,FALSE,,,,,,,,,FALSE,,,,,,,,
193,,,FALSE,,,,,,,,,,,,,,FALSE,,FALSE,,,,,FALSE,,,FALSE,,,,FALSE,,,,,FALSE,,FALSE,,,,,
