"LID","VInflCatAndAgrIn.n","VInflCatAndAgrPost.n","VInflCatAndAgrPrae.n","VInflCatAndAgrSimul.n","VInflCatAndAgrSplit.n"
1,0,1,5,0,0
7,0,5,8,0,1
10,0,2,5,0,0
12,0,1,2,0,0
14,0,9,3,0,0
17,0,4,4,0,0
20,1,9,0,0,0
21,1,0,1,0,1
22,0,1,2,0,0
25,0,1,0,0,0
26,0,2,0,0,0
27,0,7,4,0,0
28,0,1,0,0,0
32,0,1,1,0,0
34,1,1,2,0,1
35,0,5,3,1,1
40,0,1,1,0,0
43,0,1,2,0,0
44,0,6,0,0,0
47,0,1,1,0,0
48,0,0,1,0,0
50,0,1,1,0,0
51,0,8,3,1,0
55,0,1,6,0,0
56,0,2,1,0,1
59,0,0,0,0,2
61,0,1,1,0,0
63,0,0,2,0,1
69,0,4,0,0,1
72,0,6,1,0,0
74,0,2,0,0,0
77,0,0,1,0,0
78,0,3,0,0,0
79,0,0,3,0,1
80,0,2,1,0,0
82,0,1,4,0,0
86,0,4,3,0,1
87,0,1,0,0,1
89,0,0,2,0,0
91,0,3,1,0,0
93,0,3,6,0,0
98,0,1,2,0,0
100,0,2,0,0,0
101,0,2,3,0,0
103,0,4,4,0,0
104,0,8,0,0,0
106,0,2,3,0,0
107,0,3,0,0,0
110,0,3,0,0,0
112,0,1,0,0,1
113,0,3,8,0,0
114,2,5,4,0,0
116,0,0,0,0,0
118,0,0,1,0,0
119,0,9,0,0,0
123,0,1,7,0,0
125,1,4,0,0,2
129,0,0,1,0,2
130,0,1,0,0,0
132,0,0,3,0,0
134,0,2,5,0,0
135,0,0,2,0,1
136,0,6,0,0,0
139,0,2,0,0,0
141,0,0,1,0,0
145,1,3,3,0,0
147,0,5,4,0,0
149,0,2,0,0,0
150,0,1,1,0,0
152,1,4,0,0,0
154,0,0,2,0,0
155,1,2,0,0,2
156,0,0,0,0,2
159,0,1,1,0,0
167,0,0,2,0,0
168,0,7,0,0,0
173,0,0,2,0,0
176,0,9,0,0,0
177,0,2,3,0,0
178,0,10,6,0,2
180,0,7,1,0,0
181,0,1,4,0,0
186,0,1,0,0,0
191,0,6,0,0,0
192,1,5,0,0,2
193,0,9,0,0,0
196,0,6,3,0,0
197,0,1,0,0,0
199,0,3,0,0,0
200,0,8,0,0,0
201,0,4,0,0,0
202,0,2,4,0,1
205,0,3,0,0,0
206,0,5,0,0,1
208,0,4,9,0,0
210,0,2,0,0,0
212,0,7,0,0,0
221,0,5,0,0,0
299,0,1,1,0,0
318,0,1,3,0,0
324,0,1,0,0,0
325,1,2,2,0,0
326,0,6,1,0,0
332,0,0,2,0,0
340,0,3,0,0,1
348,0,0,0,0,0
352,0,8,0,0,0
354,0,0,2,0,0
355,0,0,0,0,1
356,0,7,0,0,0
357,1,3,4,0,0
361,0,0,0,0,0
365,0,4,0,0,0
367,0,5,0,0,0
370,0,5,1,0,0
375,0,1,0,0,0
378,0,0,3,0,0
382,0,8,1,0,2
383,1,6,0,0,0
384,0,1,2,0,0
386,0,3,1,0,0
387,0,5,0,0,0
388,0,1,5,0,0
389,0,2,1,0,2
390,0,6,5,0,0
392,0,7,1,0,0
393,0,4,1,0,0
395,1,1,1,0,0
399,0,4,0,0,0
400,1,4,4,0,0
401,0,4,3,0,0
402,0,6,1,0,0
404,0,0,0,0,0
406,0,8,3,0,0
408,0,7,0,0,0
409,0,3,0,0,0
411,0,4,10,0,0
413,0,3,1,0,1
414,0,0,1,0,0
420,0,4,5,0,0
421,0,0,5,0,0
423,0,5,3,0,0
426,0,8,6,0,1
428,0,3,3,0,0
429,0,5,4,0,0
433,0,7,1,0,0
435,0,3,0,0,0
454,0,0,2,0,0
456,0,3,0,0,0
458,0,3,9,0,0
459,0,0,0,0,0
460,0,1,5,0,0
461,0,2,8,0,0
464,0,3,2,0,0
465,0,0,1,1,0
469,0,8,0,0,0
481,0,4,2,0,3
491,0,1,3,0,0
492,0,0,0,0,2
493,0,0,0,0,0
495,0,2,2,0,0
498,0,6,9,0,0
499,0,2,2,0,1
502,0,1,0,0,0
503,0,0,0,0,0
505,0,2,1,0,0
511,0,5,0,0,0
512,0,1,1,0,0
514,0,8,0,0,0
515,0,5,3,0,0
518,0,1,0,0,0
525,0,1,2,0,0
527,0,6,0,0,0
530,1,4,0,0,1
533,0,7,0,0,0
535,0,1,0,0,0
540,0,1,2,1,0
545,0,2,5,0,0
549,0,2,0,0,0
550,0,0,2,0,0
551,1,1,2,0,0
553,0,1,2,0,0
558,0,4,1,0,0
564,2,0,0,0,0
567,0,5,0,0,0
569,0,1,2,0,0
571,0,0,6,0,2
576,0,2,0,0,0
577,0,0,4,0,0
581,0,3,5,0,0
582,0,5,1,0,0
583,2,1,0,0,1
608,0,2,0,0,0
612,0,7,0,0,0
619,0,3,3,0,0
620,0,3,1,0,0
632,0,5,0,0,0
633,0,8,0,0,0
634,0,1,0,0,0
635,1,5,0,0,0
641,0,6,0,0,0
642,1,6,2,1,0
645,0,0,1,0,0
646,1,2,0,0,0
648,0,2,1,0,0
654,0,2,3,0,0
655,0,2,7,0,0
658,0,1,4,0,0
668,0,1,1,0,3
669,0,2,1,0,0
674,0,0,0,0,0
675,0,3,10,0,0
678,0,1,2,0,5
679,0,3,0,0,0
680,0,5,0,0,0
681,0,5,0,0,0
683,0,1,2,0,3
686,0,4,0,0,0
687,0,7,0,0,0
692,0,4,6,0,0
693,0,3,3,0,0
699,0,1,0,0,1
700,0,3,0,0,0
722,0,0,0,0,0
725,0,2,3,0,0
780,0,9,1,0,0
790,0,2,0,0,0
885,0,9,3,0,0
917,0,1,1,0,1
942,1,3,1,0,0
1067,0,3,0,0,0
1108,0,3,12,0,0
1140,0,4,3,0,0
1363,0,7,4,0,0
1364,1,4,0,0,0
1385,0,7,0,0,0
1531,0,4,2,0,0
1542,0,3,1,0,0
1623,1,6,0,0,0
1807,1,4,1,0,0
1816,1,1,1,0,1
1840,0,3,1,0,0
1890,0,2,0,0,0
1954,0,6,2,0,1
2024,0,2,4,0,2
2050,0,2,3,0,2
2120,0,2,0,0,0
2172,1,7,0,0,0
2330,0,3,0,0,1
2360,0,4,0,0,4
2388,1,2,1,0,1
2393,0,4,0,1,0
2412,0,2,9,0,0
2447,0,2,0,0,1
2471,0,2,0,0,1
2508,0,4,1,0,0
2513,0,8,1,1,0
2514,1,6,4,0,1
2564,0,12,1,0,0
2572,1,4,1,0,0
2577,3,1,1,0,0
2672,0,6,0,0,0
2726,0,0,0,0,0
2779,0,1,1,0,0
2831,0,5,1,0,1
2832,1,3,0,0,0
2833,0,1,0,0,1
2854,0,3,0,0,0
2855,0,3,0,0,0
2856,0,2,0,0,2
2900,0,4,0,0,0
2949,0,5,7,0,1
2951,0,3,6,0,0
2984,0,9,1,0,0
3101,0,2,2,0,2
3143,0,8,0,0,0
3229,0,1,2,0,5
3240,0,10,4,0,0
