"LID","VInflClassification.Pre.Presence","VInflEvidential.Pre.Presence","VInflInter_clausal.Pre.Presence","VInflNP_related.Pre.Presence","VInflNumber.Pre.Presence","VInflOperators.Pre.Presence","VInflPerson.Pre.Presence","VInflPragmatic.Pre.Presence","VInflRole.Pre.Presence","VInflTAM.Pre.Presence","VInflValence.Pre.Presence"
1,FALSE,,,FALSE,,,,,,FALSE,FALSE
7,,,,,FALSE,,,FALSE,,FALSE,FALSE
10,,,,,FALSE,,,,,,
10,,,,,,,,,,FALSE,
14,,,,,,,,FALSE,,FALSE,
17,,,,,,,,,,FALSE,
18,,FALSE,,,FALSE,,,FALSE,,FALSE,FALSE
20,,,,,,FALSE,,,,FALSE,
21,,,,,,,,,,FALSE,FALSE
22,,,,,,,,,,FALSE,
25,,,,,,FALSE,,,,FALSE,FALSE
27,,,,,FALSE,FALSE,,,,FALSE,
34,,,,,,FALSE,,,,,FALSE
35,,,FALSE,,,TRUE,,,,FALSE,FALSE
43,,,,,FALSE,,,,,,
43,,,,,,,,,,FALSE,
44,,,,,,,,FALSE,,FALSE,FALSE
51,,FALSE,,,FALSE,,,FALSE,,FALSE,FALSE
51,,,,,,,,,,TRUE,
55,,,,,FALSE,FALSE,,FALSE,,FALSE,
56,,,,,,,,,,FALSE,
63,,,,,FALSE,,,,,,
64,,,,,FALSE,,,,,FALSE,FALSE
66,,,,,FALSE,,,,,FALSE,FALSE
68,,,,,,,,FALSE,,FALSE,FALSE
69,,,,,FALSE,FALSE,,,,TRUE,
69,,,,,,,,,,FALSE,
71,,,,,,,,,,FALSE,FALSE
72,,,,,FALSE,,,,,FALSE,FALSE
74,,,,,,,,,,FALSE,
78,,,,,,,,,,FALSE,FALSE
79,,,,,,FALSE,,,,FALSE,
81,,,,,,TRUE,,,,FALSE,
82,,,,,,,,FALSE,,FALSE,
84,,,,,FALSE,,,,,FALSE,FALSE
86,,,,,FALSE,,FALSE,,,FALSE,FALSE
87,,,,,,,,,,FALSE,
91,,,,,,FALSE,,,,FALSE,
93,,,FALSE,,,,,FALSE,,FALSE,FALSE
95,FALSE,,,,FALSE,FALSE,,,,FALSE,
100,,,,,,,,,,FALSE,
101,,,,,FALSE,,FALSE,,,FALSE,
103,,,,,,FALSE,,,,FALSE,
104,,FALSE,,FALSE,FALSE,,,,,FALSE,FALSE
106,,,,,FALSE,FALSE,,,,FALSE,FALSE
107,,,,,,,,FALSE,,FALSE,FALSE
110,,,,,,,,,,FALSE,
113,,,,,,FALSE,,FALSE,,FALSE,
114,,,FALSE,,FALSE,FALSE,,FALSE,,FALSE,FALSE
119,,FALSE,,,FALSE,FALSE,,,,FALSE,FALSE
123,,,,,FALSE,,,,,FALSE,FALSE
125,,,,,FALSE,,,,,FALSE,
129,,,,,,,,,,FALSE,
134,,,,,FALSE,,,,,FALSE,
136,,,FALSE,,,FALSE,,,,FALSE,
139,,,,,,,,,,FALSE,FALSE
145,,FALSE,,,,FALSE,,FALSE,FALSE,FALSE,FALSE
147,,,,,,FALSE,,,,FALSE,FALSE
152,,,,,FALSE,,,,,FALSE,
154,,FALSE,,FALSE,,FALSE,,,,FALSE,FALSE
155,,,,,,FALSE,,,,FALSE,
168,,FALSE,,,,FALSE,,,,FALSE,FALSE
169,,,,,,,,FALSE,,FALSE,
171,,,,,,,,,,FALSE,
176,,FALSE,,FALSE,FALSE,FALSE,,FALSE,,FALSE,FALSE
177,,,,,,FALSE,,,,FALSE,
178,,,,,FALSE,,,,,FALSE,FALSE
179,,,,,FALSE,,,,,FALSE,
180,,,,,FALSE,,,,,FALSE,FALSE
181,,,,,,,,,,FALSE,
188,,,,,,,,,,FALSE,FALSE
191,,,,,FALSE,FALSE,,,,FALSE,FALSE
192,,,,,FALSE,,,,,FALSE,FALSE
193,,,FALSE,,,FALSE,,,,FALSE,FALSE
196,,,,,FALSE,,,,,FALSE,FALSE
197,,,,,,,,,,FALSE,
199,,,,,,,,,,,FALSE
200,FALSE,FALSE,,,,FALSE,,,,FALSE,FALSE
201,,,,,,FALSE,,,,FALSE,
202,,,FALSE,,FALSE,FALSE,,,,FALSE,
205,,,,,,,,FALSE,,FALSE,FALSE
206,,,,,,FALSE,,FALSE,,FALSE,FALSE
208,,,,,FALSE,,,,,FALSE,FALSE
212,,,,,FALSE,,,FALSE,,FALSE,FALSE
221,,FALSE,,,FALSE,FALSE,,,,FALSE,
223,,,,,,FALSE,,FALSE,,FALSE,
225,,,,,,FALSE,,FALSE,,FALSE,FALSE
318,,,,,,FALSE,,,,FALSE,
325,,,,,,FALSE,,,,FALSE,FALSE
326,,,,,,FALSE,,FALSE,,FALSE,
340,,,,,,FALSE,,,,FALSE,FALSE
352,,,FALSE,,,FALSE,,,,FALSE,FALSE
356,,,,,,,,,,FALSE,FALSE
357,,,,,FALSE,,,FALSE,,FALSE,FALSE
365,,,,,,,,,,FALSE,
367,,,,,,,,,,FALSE,
368,,,,FALSE,,,,FALSE,,FALSE,
370,,,,,,FALSE,,,,FALSE,
378,,,,,,,,,,FALSE,
382,,,,,TRUE,FALSE,,,,FALSE,FALSE
382,,,,,FALSE,,,,,,
383,,,,,FALSE,FALSE,,,,FALSE,FALSE
383,,,,,,,,FALSE,,,
385,,,,,FALSE,FALSE,,FALSE,,FALSE,
386,,,,,,FALSE,,,,FALSE,
387,,,,,,FALSE,,,,FALSE,FALSE
388,,,,,,,,,,FALSE,
389,,,,,,FALSE,,,,FALSE,FALSE
390,,,,,FALSE,,,FALSE,,FALSE,FALSE
392,,,,,FALSE,,,,,FALSE,FALSE
393,,,,,FALSE,,,,,FALSE,
395,,,,,,,,,,FALSE,
399,,,,,FALSE,FALSE,,,,FALSE,FALSE
400,,,,,,,,,,FALSE,FALSE
401,,,,,FALSE,,,,,FALSE,FALSE
402,,,FALSE,,,,,,,FALSE,FALSE
406,,FALSE,,,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE
408,,,,,,,,,,FALSE,FALSE
409,,FALSE,,,FALSE,,,,,,
411,,,,,FALSE,,,FALSE,,FALSE,FALSE
413,,,,,,,,FALSE,,FALSE,
418,,,,,,,,,,FALSE,FALSE
419,,,,,FALSE,,,FALSE,,FALSE,
420,,,,,FALSE,,,FALSE,,FALSE,FALSE
421,,,,,,FALSE,,,,FALSE,
423,,,,,FALSE,FALSE,,FALSE,,FALSE,FALSE
426,,FALSE,,,FALSE,,,,,FALSE,FALSE
428,,,,,FALSE,FALSE,,,,FALSE,
429,,,,,,FALSE,,,,FALSE,FALSE
433,,,,,FALSE,FALSE,,FALSE,,FALSE,FALSE
434,,,,,,FALSE,,,,FALSE,
435,,,,,,,,,,FALSE,FALSE
456,,,,,,FALSE,,,,FALSE,FALSE
458,,,,,FALSE,FALSE,,FALSE,,FALSE,FALSE
460,,,,,,,,,,FALSE,
461,,,,,FALSE,FALSE,,,,FALSE,FALSE
463,,,,,,FALSE,,,,FALSE,
464,,,,,,,,,,FALSE,FALSE
468,,,,,,FALSE,,,,FALSE,FALSE
469,,,,,FALSE,FALSE,,,,FALSE,
481,,,,,FALSE,,,FALSE,,FALSE,FALSE
491,,,,,,,,FALSE,,FALSE,FALSE
495,,,,,,,,,,FALSE,FALSE
498,,,,,FALSE,FALSE,,FALSE,,FALSE,FALSE
499,,,,,,,,FALSE,,FALSE,
501,,,,,,FALSE,,,,FALSE,
511,,,,,,,,,,FALSE,FALSE
514,,,,,FALSE,FALSE,,,,FALSE,FALSE
515,,,,,,FALSE,,,,FALSE,
526,,,,,FALSE,FALSE,,FALSE,,FALSE,
527,,,,,FALSE,,,,,FALSE,FALSE
528,,,,,FALSE,FALSE,,,,FALSE,
530,,,,,FALSE,FALSE,FALSE,,,FALSE,
533,,,,,,FALSE,,,,FALSE,
540,,,,,,TRUE,,,,FALSE,
545,,,,,,FALSE,,FALSE,,FALSE,
549,,,,,,FALSE,,,,FALSE,FALSE
551,,,,,,,,,,FALSE,
552,,,,,,TRUE,,,,FALSE,
558,,,,,,FALSE,,,,FALSE,
567,,FALSE,,,FALSE,FALSE,,,,FALSE,
568,,,,,FALSE,,,,,FALSE,
569,,,,,,,,,,FALSE,
571,,,,,,FALSE,,,,FALSE,
580,,,,,,,,FALSE,,FALSE,FALSE
581,,,,,,,,,,FALSE,FALSE
582,,,,,,,,FALSE,,FALSE,FALSE
583,,,,,,,,,,FALSE,FALSE
608,,,,,,,,,,FALSE,FALSE
612,,,,,FALSE,FALSE,,,,FALSE,FALSE
619,,,,,,,,,,FALSE,FALSE
620,,,,,,,,FALSE,,FALSE,FALSE
626,,,,,,FALSE,,,,FALSE,
628,,FALSE,,,,FALSE,,,,FALSE,FALSE
629,,,,,,FALSE,,,,FALSE,
632,,,,,,,,,,FALSE,
633,,,,,,,,,,FALSE,FALSE
635,,,,,FALSE,,,,,FALSE,FALSE
641,,,,,,FALSE,,,,FALSE,FALSE
642,,,,,,TRUE,,,,FALSE,FALSE
643,,,,,FALSE,TRUE,,,,FALSE,
646,,,,,FALSE,FALSE,,,,FALSE,
648,,,,,,FALSE,,,,FALSE,
654,,,,FALSE,,,,,,FALSE,
655,,,,,FALSE,,,FALSE,,FALSE,FALSE
656,,,FALSE,,,TRUE,,,,FALSE,
658,,,,,,,,,,FALSE,FALSE
662,,,,,,,,,,FALSE,FALSE
663,,FALSE,,,,FALSE,,FALSE,,FALSE,FALSE
664,,,,,,FALSE,,,,FALSE,
667,,,,FALSE,,FALSE,,,,FALSE,
668,,,,,,,,,,FALSE,
669,,,,,,,,,,FALSE,
672,,,,,,FALSE,,,,FALSE,
674,,,,,,FALSE,,,,FALSE,
675,,FALSE,,,,FALSE,,FALSE,,FALSE,FALSE
677,,,,,,,,,,FALSE,FALSE
678,,,,,,FALSE,,,,FALSE,
679,,,,,,,,,,FALSE,FALSE
680,,,,,,,,FALSE,,FALSE,FALSE
681,,,,,,,,FALSE,,FALSE,FALSE
683,,,,,,,,,,FALSE,FALSE
685,,,,,FALSE,,,,,FALSE,FALSE
686,,,,,FALSE,,,,,FALSE,
687,,,,,,,,,,FALSE,FALSE
