"LID","VInflClassification.Position","VInflEvidential.Position","VInflInter_clausal.Position","VInflNP_related.Position","VInflNumber.Position","VInflOperators.Position","VInflPerson.Position","VInflPragmatic.Position","VInflRole.Position","VInflTAM.Position","VInflValence.Position"
1,"prae",,,"prae",,,,,,"post","prae"
7,,,,,"post",,,"prae",,"post","prae"
7,,,,,,,,,,"prae/post",
10,,,,,"prae",,,,,,
10,,,,,"post",,,,,"post",
14,,,,,,,,"prae",,"prae",
14,,,,,,,,,,"post",
17,,,,,,,,,,"prae/post",
17,,,,,,,,,,"prae",
18,,"post",,,"post",,,"post",,"post","post"
20,,,,,,"post",,,,"in",
20,,,,,,,,,,"post",
21,,,,,,,,,,"in","prae"
22,,,,,,,,,,"prae",
25,,,,,,"prae",,,,"post","post"
27,,,,,"post","post",,,,"post",
34,,,,,,"prae",,,,,"in/prae"
34,,,,,,,,,,,"in"
35,,,"post",,,"circum",,,,"post","prae"
35,,,,,,,,,,"prae/post","post"
43,,,,,"prae",,,,,"Wackernagel",
43,,,,,,,,,,"post",
44,,,,,,,,"post",,"post","post"
51,,"post",,,"post",,,"post",,"prae","post"
51,,,,,,,,,,"circum",
51,,,,,,,,,,"post",
55,,,,,"prae","prae",,"post",,"prae",
56,,,,,,,,,,"prae/post",
56,,,,,,,,,,"post",
63,,,,,"prae/in/post",,,,,,
64,,,,,"post",,,,,"post","post"
66,,,,,"prae",,,,,"post","post"
68,,,,,,,,"post",,"post","prae"
69,,,,,"post","post",,,,"post/circum",
69,,,,,,,,,,"post",
71,,,,,,,,,,"post","post"
72,,,,,"prae",,,,,"post","post"
74,,,,,,,,,,"post (in)",
78,,,,,,,,,,"post","post"
79,,,,,,"prae",,,,"post",
81,,,,,,"circum",,,,"prae/in/post",
81,,,,,,,,,,"post",
82,,,,,,,,"prae",,"prae",
82,,,,,,,,,,"post",
84,,,,,"post",,,,,"post","post"
86,,,,,"post",,"post",,,"post","prae"
86,,,,,,,,,,,"post"
87,,,,,,,,,,"post (in)",
91,,,,,,"post",,,,"prae",
93,,,"post",,,,,"prae",,"prae","prae"
93,,,,,,,,,,"post","post"
95,"prae",,,,"post","post",,,,"post",
100,,,,,,,,,,"post",
101,,,,,"prae",,"prae",,,"post",
103,,,,,,"prae",,,,"prae",
103,,,,,,,,,,"post",
104,,"post",,"post","post",,,,,"post","post"
106,,,,,"post","prae",,,,"prae","post"
107,,,,,,,,"post",,"post","post"
110,,,,,,,,,,"post (in)",
113,,,,,,"prae",,"prae",,"prae",
113,,,,,,,,,,"post",
114,,,"prae",,"in","post",,"prae",,"post","post"
114,,,,,,,,,,"in",
119,,"post",,,"post","post",,,,"post","post"
123,,,,,"prae",,,,,"prae","prae"
123,,,,,,,,,,"post",
125,,,,,"post",,,,,"post",
129,,,,,,,,,,"in/prae",
134,,,,,"prae",,,,,"prae",
134,,,,,,,,,,"post",
136,,,"post",,,"post",,,,"post",
139,,,,,,,,,,"post","post"
145,,"post",,,,"in",,"prae","post","in","post"
145,,,,,,,,,,"post",
147,,,,,,"post",,,,"post","prae"
152,,,,,"in",,,,,"post",
154,,"post",,"in",,"post",,,,"post","prae"
154,,,,,,,,,,,"post"
155,,,,,,"in/prae",,,,"in",
155,,,,,,,,,,"post",
168,,"post",,,,"post",,,,"post","post"
169,,,,,,,,"post",,"post",
171,,,,,,,,,,"post",
171,,,,,,,,,,"prae",
176,,"post",,"post","post","post",,"post",,"post","post"
177,,,,,,"post (prae)",,,,"prae",
178,,,,,"post",,,,,"post","post"
178,,,,,"in/prae",,,,,"prae","prae"
179,,,,,"post",,,,,"post",
180,,,,,"post",,,,,"post","post"
181,,,,,,,,,,"prae",
181,,,,,,,,,,"post",
188,,,,,,,,,,"post","post"
191,,,,,"post","post",,,,"post","post"
192,,,,,"in/post",,,,,"in","prae/post"
192,,,,,,,,,,"post","post"
193,,,"post",,,"post",,,,"post","post"
196,,,,,"post",,,,,"prae","post"
196,,,,,,,,,,"post",
197,,,,,,,,,,"post",
199,,,,,,,,,,,"post"
200,"post","post",,,,"post",,,,"post","post"
201,,,,,,"post",,,,"post",
202,,,"post",,"prae/post","post",,,,"prae",
205,,,,,,,,"post",,"post","post"
206,,,,,,"prae/post",,"post",,"post","post"
208,,,,,"prae",,,,,"post","prae"
208,,,,,"post",,,,,,
212,,,,,"post",,,"post",,"post","post"
221,,"post",,,"post","post",,,,"post",
223,,,,,,"post",,"post",,"post",
223,,,,,,,,,,"prae",
225,,,,,,"prae",,"post",,"post","post"
318,,,,,,"prae",,,,"post",
325,,,,,,"prae",,,,"post","in/post"
325,,,,,,,,,,"prae",
326,,,,,,"post",,"prae",,"post",
340,,,,,,"prae",,,,"prae/post","post"
340,,,,,,,,,,"post",
352,,,"post",,,"post",,,,"post","post"
356,,,,,,,,,,"post","post"
357,,,,,"in",,,"prae",,"prae","post"
365,,,,,,,,,,"post",
