"LID","VInflClassification.Position.binned5","VInflEvidential.Position.binned5","VInflInter_clausal.Position.binned5","VInflNP_related.Position.binned5","VInflNumber.Position.binned5","VInflOperators.Position.binned5","VInflPerson.Position.binned5","VInflPragmatic.Position.binned5","VInflPragmatics.Position.binned5","VInflRole.Position.binned5","VInflTAM.Position.binned5","VInflValence.Position.binned5"
1,"prae",,,"prae",,,,,,,"post","prae"
7,,,,,"post",,,"prae",,,"post","prae"
7,,,,,,,,,,,"split",
10,,,,,"prae",,,,,,,
10,,,,,"post",,,,,,"post",
14,,,,,,,,"prae",,,"prae",
14,,,,,,,,,,,"post",
17,,"post",,,,,,,,,"post","post"
17,,,,,,,,,,,"prae",
20,,,,,,"post",,,,,"in",
20,,,,,,,,,,,"post",
21,,,,,,,,,,,"in","prae"
22,,,,,,,,,,,"prae",
27,,,,,"post","post",,,,,"post",
34,,,,,,"prae",,,,,,"split"
34,,,,,,,,,,,,"in"
35,,,"post",,,"simul",,,,,"post","prae"
35,,,,,,,,,,,"split","post"
43,,,,,"prae",,,,,,,
43,,,,,,,,,,,"post",
44,,,,,,,,"post",,,"post","post"
51,,"post",,,"post",,,"post",,,"prae","post"
51,,,,,,,,,,,"simul",
51,,,,,,,,,,,"post",
55,,,,,"prae","prae",,"post",,,"prae",
56,,,,,,,,,,,"split",
56,,,,,,,,,,,"post",
63,,,,,"split",,,,,,,
64,,,,,"post",,,,,,"post","post"
66,,,,,"prae",,,,,,"post","post"
69,,,,,"post","post",,,,,"split",
69,,,,,,,,,,,"post",
71,,,,,,,,,,,"post","post"
72,,,,,"prae",,,,,,"post","post"
74,,,,,,,,,,,"post",
78,,,,,,,,,,,"post","post"
79,,,,,,,,,,,,"prae"
82,,,,,,,,"prae",,,"prae",
82,,,,,,,,,,,"post",
84,,,,,"post",,,,,,"post","post"
86,,,,,"post",,"post",,,,"post","prae"
86,,,,,,,,,,,,"post"
87,,,,,,,,,,,"split",
91,,,,,,"post",,,,,"prae",
93,,,"post",,,,,"prae",,,"prae","prae"
93,,,,,,,,,,,"post","post"
95,"prae",,,,"post","post",,,,,"post",
100,,,,,,,,,,,"post",
101,,,,,"prae",,"prae",,,,"post",
103,,,,,,"prae",,,,,"prae",
103,,,,,,,,,,,"post",
104,,"post",,"post","post",,,,,,"post","post"
106,,,,,"post","prae",,,,,"prae","post"
107,,,,,,,,,"post",,"post",
110,,,,,,,,,,,"post",
113,,,,,,"prae",,"prae",,,"prae",
113,,,,,,,,,,,"post",
114,,,"prae",,"in","post",,"prae",,,"post","post"
114,,,,,,,,,,,"in",
119,,"post",,,"post","post",,,,,"post","post"
123,,,,,"prae",,,,,,"prae","prae"
123,,,,,,,,,,,"post",
125,,,,,"post",,,,,,"post",
129,,,,,,,,,,,"split",
134,,,,,"prae",,,,,,"prae",
134,,,,,,,,,,,"post",
136,,,"post",,,"post",,,,,"post",
139,,,,,,,,,,,"post",
145,"prae",,,,,,"post","prae",,,"in",
145,,,,,,,,,,,"post",
147,,,,,,"post",,,,,"post","prae"
152,,,,,"in",,,,,,"post",
155,,,,,,"split",,,,,"in",
155,,,,,,,,,,,"post",
168,,"post",,,,"post",,,,,"post","post"
176,,"post",,"post","post","post",,"post",,,"post","post"
177,,,,,,"post",,,,,"prae",
178,,,,,"post",,,,,,"post","post"
178,,,,,"split",,,,,,"prae","prae"
179,,,,,"post",,,,,,"post",
180,,,,,"post",,,,,,"post","post"
181,,,,,,,,,,,"prae",
181,,,,,,,,,,,"post",
188,,,,,,,,,,,"post","post"
191,,,,,"post","post",,,,,"post","post"
192,,,,,"split",,,,,,"in","split"
192,,,,,,,,,,,"post","post"
193,,,"post",,,"post",,,,,"post","post"
196,,,,,"post",,,,,,"prae","post"
196,,,,,,,,,,,"post",
197,,,,,,,,,,,"post",
199,,,,,,,,,,,,"post"
200,"post","post",,,,"post",,,,,"post","post"
201,,,,,,"post",,,,,"post",
202,,,"post",,"split","post",,,,,"prae",
205,,,,,,,,,,,"post",
206,,,,,,"split",,"post",,,"post","post"
208,,,,,"prae",,,,,,"post","prae"
208,,,,,"post",,,,,,,
212,,,,,"post",,,"post",,,"post","post"
221,,"post",,,"post","post",,,,,"post",
318,,,,,,"prae",,,,,"post",
325,,,,,,,,,,,"prae","in"
325,,,,,,,,,,,"post",
326,,,,,,"post",,"prae",,,"post",
340,,,,,,,,,,,"split","post"
340,,,,,,,,,,,"post",
352,,,"post",,,"post",,,,,"post","post"
356,,,,,,,,,,,"post","post"
357,,,,,"in",,,"prae",,,"prae","post"
365,,,,,,,,,,,"post",
367,,,,,,,,,,,"post",
370,,,,,,"post",,,,,"post",
378,,,,,,,,,,,"prae",
382,,,,,"split","post",,,,,"post","prae"
382,,,,,"post",,,,,,,
383,,,,,"in","post",,,,,"post","post"
383,,,,,,,,"post",,,,
385,,,,,"split","post",,"post",,,"post",
385,,,,,,,,,,,"split",
