"LID","VInflClassification.Post.Presence","VInflEvidential.Post.Presence","VInflInter_clausal.Post.Presence","VInflNP_related.Post.Presence","VInflNumber.Post.Presence","VInflOperators.Post.Presence","VInflPerson.Post.Presence","VInflPragmatic.Post.Presence","VInflRole.Post.Presence","VInflTAM.Post.Presence","VInflValence.Post.Presence"
1,FALSE,,,FALSE,,,,,,TRUE,FALSE
7,,,,,TRUE,,,FALSE,,TRUE,FALSE
10,,,,,FALSE,,,,,,
10,,,,,TRUE,,,,,TRUE,
14,,,,,,,,FALSE,,FALSE,
14,,,,,,,,,,TRUE,
17,,,,,,,,,,TRUE,
17,,,,,,,,,,FALSE,
18,,TRUE,,,TRUE,,,TRUE,,TRUE,TRUE
20,,,,,,TRUE,,,,,
20,,,,,,,,,,TRUE,
21,,,,,,,,,,,FALSE
22,,,,,,,,,,FALSE,
25,,,,,,FALSE,,,,TRUE,TRUE
27,,,,,TRUE,TRUE,,,,TRUE,
34,,,,,,FALSE,,,,,FALSE
35,,,TRUE,,,FALSE,,,,TRUE,FALSE
35,,,,,,,,,,,TRUE
43,,,,,FALSE,,,,,,
43,,,,,,,,,,TRUE,
44,,,,,,,,TRUE,,TRUE,TRUE
51,,TRUE,,,TRUE,,,TRUE,,FALSE,TRUE
51,,,,,,,,,,TRUE,
55,,,,,FALSE,FALSE,,TRUE,,FALSE,
56,,,,,,,,,,TRUE,
63,,,,,TRUE,,,,,,
64,,,,,TRUE,,,,,TRUE,TRUE
66,,,,,FALSE,,,,,TRUE,TRUE
68,,,,,,,,TRUE,,TRUE,FALSE
69,,,,,TRUE,TRUE,,,,TRUE,
71,,,,,,,,,,TRUE,TRUE
72,,,,,FALSE,,,,,TRUE,TRUE
74,,,,,,,,,,TRUE,
78,,,,,,,,,,TRUE,TRUE
79,,,,,,FALSE,,,,TRUE,
81,,,,,,FALSE,,,,TRUE,
82,,,,,,,,FALSE,,FALSE,
82,,,,,,,,,,TRUE,
84,,,,,TRUE,,,,,TRUE,TRUE
86,,,,,TRUE,,TRUE,,,TRUE,FALSE
86,,,,,,,,,,,TRUE
87,,,,,,,,,,TRUE,
91,,,,,,TRUE,,,,FALSE,
93,,,TRUE,,,,,FALSE,,FALSE,FALSE
93,,,,,,,,,,TRUE,TRUE
95,FALSE,,,,TRUE,TRUE,,,,TRUE,
100,,,,,,,,,,TRUE,
101,,,,,FALSE,,FALSE,,,TRUE,
103,,,,,,FALSE,,,,FALSE,
103,,,,,,,,,,TRUE,
104,,TRUE,,TRUE,TRUE,,,,,TRUE,TRUE
106,,,,,TRUE,FALSE,,,,FALSE,TRUE
107,,,,,,,,TRUE,,TRUE,TRUE
110,,,,,,,,,,TRUE,
113,,,,,,FALSE,,FALSE,,FALSE,
113,,,,,,,,,,TRUE,
114,,,FALSE,,,TRUE,,FALSE,,TRUE,TRUE
119,,TRUE,,,TRUE,TRUE,,,,TRUE,TRUE
123,,,,,FALSE,,,,,FALSE,FALSE
123,,,,,,,,,,TRUE,
125,,,,,TRUE,,,,,TRUE,
129,,,,,,,,,,FALSE,
134,,,,,FALSE,,,,,FALSE,
134,,,,,,,,,,TRUE,
136,,,TRUE,,,TRUE,,,,TRUE,
139,,,,,,,,,,TRUE,TRUE
145,,TRUE,,,,,,FALSE,TRUE,,TRUE
145,,,,,,,,,,TRUE,
147,,,,,,TRUE,,,,TRUE,FALSE
152,,,,,,,,,,TRUE,
154,,TRUE,,,,TRUE,,,,TRUE,FALSE
154,,,,,,,,,,,TRUE
155,,,,,,FALSE,,,,,
155,,,,,,,,,,TRUE,
168,,TRUE,,,,TRUE,,,,TRUE,TRUE
169,,,,,,,,TRUE,,TRUE,
171,,,,,,,,,,TRUE,
171,,,,,,,,,,FALSE,
176,,TRUE,,TRUE,TRUE,TRUE,,TRUE,,TRUE,TRUE
177,,,,,,TRUE,,,,FALSE,
178,,,,,TRUE,,,,,TRUE,TRUE
178,,,,,FALSE,,,,,FALSE,FALSE
179,,,,,TRUE,,,,,TRUE,
180,,,,,TRUE,,,,,TRUE,TRUE
181,,,,,,,,,,FALSE,
181,,,,,,,,,,TRUE,
188,,,,,,,,,,TRUE,TRUE
191,,,,,TRUE,TRUE,,,,TRUE,TRUE
192,,,,,TRUE,,,,,,TRUE
192,,,,,,,,,,TRUE,
193,,,TRUE,,,TRUE,,,,TRUE,TRUE
196,,,,,TRUE,,,,,FALSE,TRUE
196,,,,,,,,,,TRUE,
197,,,,,,,,,,TRUE,
199,,,,,,,,,,,TRUE
200,TRUE,TRUE,,,,TRUE,,,,TRUE,TRUE
201,,,,,,TRUE,,,,TRUE,
202,,,TRUE,,TRUE,TRUE,,,,FALSE,
205,,,,,,,,TRUE,,TRUE,TRUE
206,,,,,,TRUE,,TRUE,,TRUE,TRUE
208,,,,,FALSE,,,,,TRUE,FALSE
208,,,,,TRUE,,,,,,
212,,,,,TRUE,,,TRUE,,TRUE,TRUE
221,,TRUE,,,TRUE,TRUE,,,,TRUE,
223,,,,,,TRUE,,TRUE,,TRUE,
223,,,,,,,,,,FALSE,
225,,,,,,FALSE,,TRUE,,TRUE,TRUE
318,,,,,,FALSE,,,,TRUE,
325,,,,,,FALSE,,,,TRUE,TRUE
325,,,,,,,,,,FALSE,
326,,,,,,TRUE,,FALSE,,TRUE,
340,,,,,,FALSE,,,,TRUE,TRUE
352,,,TRUE,,,TRUE,,,,TRUE,TRUE
356,,,,,,,,,,TRUE,TRUE
357,,,,,,,,FALSE,,FALSE,TRUE
365,,,,,,,,,,TRUE,
367,,,,,,,,,,TRUE,
368,,,,TRUE,,,,TRUE,,FALSE,
370,,,,,,TRUE,,,,TRUE,
378,,,,,,,,,,FALSE,
382,,,,,TRUE,TRUE,,,,TRUE,FALSE
383,,,,,,TRUE,,,,TRUE,TRUE
383,,,,,,,,TRUE,,,
385,,,,,TRUE,TRUE,,TRUE,,TRUE,
386,,,,,,TRUE,,,,TRUE,
387,,,,,,TRUE,,,,TRUE,TRUE
388,,,,,,,,,,FALSE,
388,,,,,,,,,,TRUE,
389,,,,,,FALSE,,,,TRUE,TRUE
390,,,,,TRUE,,,FALSE,,FALSE,TRUE
390,,,,,,,,TRUE,,TRUE,
392,,,,,TRUE,,,,,TRUE,FALSE
392,,,,,,,,,,,TRUE
393,,,,,TRUE,,,,,TRUE,
395,,,,,,,,,,TRUE,
399,,,,,TRUE,TRUE,,,,TRUE,TRUE
400,,,,,,,,,,,TRUE
400,,,,,,,,,,TRUE,FALSE
401,,,,,TRUE,,,,,FALSE,TRUE
401,,,,,,,,,,TRUE,
402,,,TRUE,,,,,,,TRUE,TRUE
406,,TRUE,,,FALSE,TRUE,TRUE,TRUE,,TRUE,TRUE
408,,,,,,,,,,TRUE,TRUE
409,,TRUE,,,TRUE,,,,,,
411,,,,,TRUE,,,FALSE,,FALSE,TRUE
411,,,,,,,,,,TRUE,FALSE
413,,,,,,,,FALSE,,TRUE,
418,,,,,,,,,,TRUE,TRUE
419,,,,,,,,FALSE,,TRUE,
419,,,,,FALSE,,,TRUE,,,
420,,,,,TRUE,,,FALSE,,TRUE,FALSE
421,,,,,,FALSE,,,,FALSE,
423,,,,,TRUE,FALSE,,TRUE,,FALSE,FALSE
423,,,,,,,,,,TRUE,
426,,TRUE,,,TRUE,,,,,TRUE,FALSE
426,,,,,,,,,,,TRUE
428,,,,,TRUE,FALSE,,,,FALSE,
429,,,,,,TRUE,,,,TRUE,TRUE
429,,,,,,,,,,,FALSE
433,,,,,TRUE,TRUE,,TRUE,,TRUE,TRUE
434,,,,,,FALSE,,,,TRUE,
435,,,,,,,,,,TRUE,TRUE
456,,,,,,FALSE,,,,TRUE,TRUE
456,,,,,,,,,,FALSE,
458,,,,,TRUE,FALSE,,FALSE,,FALSE,FALSE
458,,,,,,,,,,TRUE,
460,,,,,,,,,,FALSE,
460,,,,,,,,,,TRUE,
461,,,,,FALSE,FALSE,,,,FALSE,FALSE
