"LID","VInflClassification.Presence","VInflEvidential.Presence","VInflInter_clausal.Presence","VInflNP_related.Presence","VInflNumber.Presence","VInflOperators.Presence","VInflPerson.Presence","VInflPragmatic.Presence","VInflPragmatics.Presence","VInflRole.Presence","VInflTAM.Presence","VInflValence.Presence"
1,TRUE,,,TRUE,,,,,,,TRUE,TRUE
7,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
10,,,,,TRUE,TRUE,,,,,TRUE,
12,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
14,,,,,,,,TRUE,,,TRUE,
17,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
20,,,,,,TRUE,,,,,TRUE,
21,,,,,,,,,,,TRUE,TRUE
22,,,,,,,,,,,TRUE,
25,,,,,,,,,,,TRUE,TRUE
26,,,,,,,,,,,TRUE,
27,,,,,TRUE,TRUE,,,,,TRUE,
28,,,,,TRUE,,,TRUE,,,TRUE,TRUE
32,,,,,,,,,,,TRUE,
34,,,,,,TRUE,,,,,,TRUE
35,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
40,,,TRUE,,TRUE,TRUE,,,,,TRUE,TRUE
43,,,,,TRUE,,,,,,TRUE,
44,,,,,,,,TRUE,,,TRUE,TRUE
47,,,,,,,,,,,TRUE,
48,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
50,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
51,,TRUE,,,TRUE,,,TRUE,,,TRUE,TRUE
55,,,,,TRUE,TRUE,,TRUE,,,TRUE,
56,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
59,,,TRUE,,,,,TRUE,,,TRUE,TRUE
61,,,TRUE,,,,,,,,TRUE,
63,,,,,TRUE,,,,,,TRUE,
64,,,,,TRUE,,,,,,TRUE,TRUE
66,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
69,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
71,,,,,,,,,,,TRUE,TRUE
72,,,,,TRUE,,,,,,TRUE,TRUE
74,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
77,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
78,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
79,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
80,,,,,,,,,,,TRUE,
82,,,,,,,,TRUE,,,TRUE,
84,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
86,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
