"LID","IndividualPredicateMeaning","PredicateSemanticMalchukovClass","ValClassLabel","ValClassDescription","ValClassDiscourseFreq","ValClassID","ValClassSize","PredicateSemanticClass"
535,"feel_thirsty","Malch_sensation","SDAT","‘be thirsty’, ‘feel like laughing’, ‘to have fever’, ‘to have a headache’, ‘to be arrogant’,  ‘to feel fear’, ‘to feel irritation’, ‘to feel surprise’, feel angry, feel shy (Amritavalli 2004)","infrequent",14,"medium (<20 verbs)","sensation"
535,"feel_like_laughing","Malch_emotion","SDAT","‘be thirsty’, ‘feel like laughing’, ‘to have fever’, ‘to have a headache’, ‘to be arrogant’,  ‘to feel fear’, ‘to feel irritation’, ‘to feel surprise’, feel angry, feel shy (Amritavalli 2004)","infrequent",14,"medium (<20 verbs)","emotion"
535,"have_fever","Malch_sensation","SDAT","‘be thirsty’, ‘feel like laughing’, ‘to have fever’, ‘to have a headache’, ‘to be arrogant’,  ‘to feel fear’, ‘to feel irritation’, ‘to feel surprise’, feel angry, feel shy (Amritavalli 2004)","infrequent",14,"medium (<20 verbs)","sensation"
535,"have_a_headache","Malch_sensation","SDAT","‘be thirsty’, ‘feel like laughing’, ‘to have fever’, ‘to have a headache’, ‘to be arrogant’,  ‘to feel fear’, ‘to feel irritation’, ‘to feel surprise’, feel angry, feel shy (Amritavalli 2004)","infrequent",14,"medium (<20 verbs)","diseases_and_bodily_states"
535,"feel_fear","Malch_emotion","SDAT","‘be thirsty’, ‘feel like laughing’, ‘to have fever’, ‘to have a headache’, ‘to be arrogant’,  ‘to feel fear’, ‘to feel irritation’, ‘to feel surprise’, feel angry, feel shy (Amritavalli 2004)","infrequent",14,"medium (<20 verbs)","emotion"
535,"be_surprised","Malch_emotion","SDAT","‘be thirsty’, ‘feel like laughing’, ‘to have fever’, ‘to have a headache’, ‘to be arrogant’,  ‘to feel fear’, ‘to feel irritation’, ‘to feel surprise’, feel angry, feel shy (Amritavalli 2004)","infrequent",14,"medium (<20 verbs)","emotion"
535,"feel_ashamed_(of)","Malch_emotion","SDAT","‘be thirsty’, ‘feel like laughing’, ‘to have fever’, ‘to have a headache’, ‘to be arrogant’,  ‘to feel fear’, ‘to feel irritation’, ‘to feel surprise’, feel angry, feel shy (Amritavalli 2004)","infrequent",14,"medium (<20 verbs)","emotion"
535,"feel_irritated","Malch_emotion","SDAT","‘be thirsty’, ‘feel like laughing’, ‘to have fever’, ‘to have a headache’, ‘to be arrogant’,  ‘to feel fear’, ‘to feel irritation’, ‘to feel surprise’, feel angry, feel shy (Amritavalli 2004)","infrequent",14,"medium (<20 verbs)","emotion"
535,"be_angry_(with)","Malch_emotion","SDAT","‘be thirsty’, ‘feel like laughing’, ‘to have fever’, ‘to have a headache’, ‘to be arrogant’,  ‘to feel fear’, ‘to feel irritation’, ‘to feel surprise’, feel angry, feel shy (Amritavalli 2004)","infrequent",14,"medium (<20 verbs)","emotion"
387,"love","Malch_emotion","PDAT","‘like’, ‘be able’",,11,,"emotion"
387,"be_able","Malch_other","PDAT","‘like’, ‘be able’",,11,,"ability"
387,"be_known","Malch_other","ADAT","ceratin adjectival predicates, like ‘known, equal, necessary’",,15,,"quality"
387,"be_equal","Malch_other","ADAT","ceratin adjectival predicates, like ‘known, equal, necessary’",,15,,"quality"
387,"be_necessary","Malch_other","ADAT","ceratin adjectival predicates, like ‘known, equal, necessary’",,15,,"necessity"
99,"bring","Malch_other","ANOM","tr. predicates never taking ERG  (formed of ānā ‘come’ and jānā ‘go’): lānā ‘to bring’, bhūlnā ‘to forget’. 
Explanations: lānā < le ānā ‘take-come’; bhūlnā typically used with v2 jānā ‘go’ (Montaut 2004: 180f)","infrequent",18,"very small (<5 verbs)","send_carry_bring_take"
99,"forget","Malch_perception_cognition","ANOM","tr. predicates never taking ERG  (formed of ānā ‘come’ and jānā ‘go’): lānā ‘to bring’, bhūlnā ‘to forget’. 
Explanations: lānā < le ānā ‘take-come’; bhūlnā typically used with v2 jānā ‘go’ (Montaut 2004: 180f)","infrequent",18,"very small (<5 verbs)","cognition"
99,"sneeze","Malch_other","SERG/NOM","corresponds to agreement pred class #877
predicates with ERG/NOM-Sintr/Atr depending on ‘conscious choice’ or volitionality (alternation possible only in perfective): intr. verbs: bhõk ‘bark’, jhãk ‘peep, look into/through’, khãs ‘cough’, chĩk ‘sneeze’, muskara ‘smile’, thuk ‘spit’, mut ‘urinate’, hag ‘defecate’, nɑha ‘bathe’, ro ‘cry’, hãs ‘laugh’, so ‘sleep’ (Butt 2001: 127)","infrequent",19,"medium (<20 verbs)","bodily_emission"
99,"cough","Malch_other","SERG/NOM","corresponds to agreement pred class #877
predicates with ERG/NOM-Sintr/Atr depending on ‘conscious choice’ or volitionality (alternation possible only in perfective): intr. verbs: bhõk ‘bark’, jhãk ‘peep, look into/through’, khãs ‘cough’, chĩk ‘sneeze’, muskara ‘smile’, thuk ‘spit’, mut ‘urinate’, hag ‘defecate’, nɑha ‘bathe’, ro ‘cry’, hãs ‘laugh’, so ‘sleep’ (Butt 2001: 127)","infrequent",19,"medium (<20 verbs)","bodily_emission"
99,"bark","Malch_other","SERG/NOM","corresponds to agreement pred class #877
predicates with ERG/NOM-Sintr/Atr depending on ‘conscious choice’ or volitionality (alternation possible only in perfective): intr. verbs: bhõk ‘bark’, jhãk ‘peep, look into/through’, khãs ‘cough’, chĩk ‘sneeze’, muskara ‘smile’, thuk ‘spit’, mut ‘urinate’, hag ‘defecate’, nɑha ‘bathe’, ro ‘cry’, hãs ‘laugh’, so ‘sleep’ (Butt 2001: 127)","infrequent",19,"medium (<20 verbs)","sound_emission"
99,"urinate","Malch_other","SERG/NOM","corresponds to agreement pred class #877
predicates with ERG/NOM-Sintr/Atr depending on ‘conscious choice’ or volitionality (alternation possible only in perfective): intr. verbs: bhõk ‘bark’, jhãk ‘peep, look into/through’, khãs ‘cough’, chĩk ‘sneeze’, muskara ‘smile’, thuk ‘spit’, mut ‘urinate’, hag ‘defecate’, nɑha ‘bathe’, ro ‘cry’, hãs ‘laugh’, so ‘sleep’ (Butt 2001: 127)","infrequent",19,"medium (<20 verbs)","bodily_emission"
99,"defecate","Malch_other","SERG/NOM","corresponds to agreement pred class #877
predicates with ERG/NOM-Sintr/Atr depending on ‘conscious choice’ or volitionality (alternation possible only in perfective): intr. verbs: bhõk ‘bark’, jhãk ‘peep, look into/through’, khãs ‘cough’, chĩk ‘sneeze’, muskara ‘smile’, thuk ‘spit’, mut ‘urinate’, hag ‘defecate’, nɑha ‘bathe’, ro ‘cry’, hãs ‘laugh’, so ‘sleep’ (Butt 2001: 127)","infrequent",19,"medium (<20 verbs)","bodily_emission"
