"LID","ValClassesWithVerbsOfType.ability.Presence","ValClassesWithVerbsOfType.achieve.Presence","ValClassesWithVerbsOfType.activity.Presence","ValClassesWithVerbsOfType.appearance_disappearance.Presence","ValClassesWithVerbsOfType.aspectual.Presence","ValClassesWithVerbsOfType.assuming_position.Presence","ValClassesWithVerbsOfType.attempt.Presence","ValClassesWithVerbsOfType.bodily_emission.Presence","ValClassesWithVerbsOfType.caused_motion.Presence","ValClassesWithVerbsOfType.change_of_possession.Presence","ValClassesWithVerbsOfType.change_of_state.Presence","ValClassesWithVerbsOfType.cognition.Presence","ValClassesWithVerbsOfType.combine_attach.Presence","ValClassesWithVerbsOfType.communication.Presence","ValClassesWithVerbsOfType.creation_transformation.Presence","ValClassesWithVerbsOfType.desideration.Presence","ValClassesWithVerbsOfType.destroy.Presence","ValClassesWithVerbsOfType.diseases_and_bodily_states.Presence","ValClassesWithVerbsOfType.emotion.Presence","ValClassesWithVerbsOfType.existence.Presence","ValClassesWithVerbsOfType.fail.Presence","ValClassesWithVerbsOfType.fight.Presence","ValClassesWithVerbsOfType.grooming.Presence","ValClassesWithVerbsOfType.happening.Presence","ValClassesWithVerbsOfType.help.Presence","ValClassesWithVerbsOfType.hide.Presence","ValClassesWithVerbsOfType.hit.Presence","ValClassesWithVerbsOfType.hold_keep.Presence","ValClassesWithVerbsOfType.hurt.Presence","ValClassesWithVerbsOfType.influence_cause.Presence","ValClassesWithVerbsOfType.ingestion.Presence","ValClassesWithVerbsOfType.judge.Presence","ValClassesWithVerbsOfType.kill.Presence","ValClassesWithVerbsOfType.lose.Presence","ValClassesWithVerbsOfType.laugh_wink.Presence","ValClassesWithVerbsOfType.M_contact.Presence","ValClassesWithVerbsOfType.M_effective_action.Presence","ValClassesWithVerbsOfType.M_emotion.Presence","ValClassesWithVerbsOfType.M_motion.Presence","ValClassesWithVerbsOfType.M_other.Presence","ValClassesWithVerbsOfType.M_perception_cognition.Presence","ValClassesWithVerbsOfType.M_pursuit.Presence","ValClassesWithVerbsOfType.M_sensation.Presence","ValClassesWithVerbsOfType.measure.Presence","ValClassesWithVerbsOfType.modality.Presence","ValClassesWithVerbsOfType.motion.Presence","ValClassesWithVerbsOfType.name.Presence","ValClassesWithVerbsOfType.necessity.Presence","ValClassesWithVerbsOfType.obligation.Presence","ValClassesWithVerbsOfType.perception.Presence","ValClassesWithVerbsOfType.persuit.Presence","ValClassesWithVerbsOfType.possession.Presence","ValClassesWithVerbsOfType.push_pull.Presence","ValClassesWithVerbsOfType.put_pour_spray_load_fill.Presence","ValClassesWithVerbsOfType.quality.Presence","ValClassesWithVerbsOfType.remove_wipe_clear.Presence","ValClassesWithVerbsOfType.scent_emission.Presence","ValClassesWithVerbsOfType.seem.Presence","ValClassesWithVerbsOfType.send_carry_bring_take.Presence","ValClassesWithVerbsOfType.sensation.Presence","ValClassesWithVerbsOfType.separate_disassemble.Presence","ValClassesWithVerbsOfType.sleep.Presence","ValClassesWithVerbsOfType.social_interaction.Presence","ValClassesWithVerbsOfType.sound_emission.Presence","ValClassesWithVerbsOfType.spatial_position.Presence","ValClassesWithVerbsOfType.spread_apply.Presence","ValClassesWithVerbsOfType.touch.Presence","ValClassesWithVerbsOfType.use.Presence"
9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
14,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
17,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
20,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
21,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
28,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
32,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
35,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
39,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
45,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
