"LID","CohesionPatternLoc","MphmTypesInCohDomain.prop","MphmTypesInCohPrefixDomain.prop","MphmTypesInCohPrefixDomain.prop.binned3","MphmTypesInCohSuffixDomain.prop","MphmTypesInCohSuffixDomain.prop.binned3","MphmTypesInCohStemDomain.prop","MphmTypesInCohStemDomain.prop.binned3","MphmTypesInCohDomain","MphmTypesInCohDomain.binned77","CoherentEncliticBoundary.Presence","CoherentEnclEnclBoundary.Presence","CohPatternOutputOrigin","MphmTypesInCohDomain.multistem.Presence","CohesionPattern.binned18","CohesionPattern.binned12","CohesionPattern.binned4","CoherentPrefixBoundary.Presence","CoherentPrefixPrefixBoundary.Presence","CoherentPrefixStemBoundary.Presence","CoherentProclBoundary.Presence","CoherentProclPrefixBoundary.Presence","CoherentProclProcliticBoundary.Presence","CoherentProclStemBoundary.Presence","CohesionPatternDataSourceType","MphmTypesInCohDomain.n","MphmTypesInCohPrefixDomain.n","MphmTypesInCohSuffixDomain.n","CoherentStemBoundary.Presence","CoherentStemEnclBoundary.Presence","CoherentStemEndoclBoundary.Presence","CoherentStemInfixBoundary.Presence","CoherentStemSuffixBoundary.Presence","CohesionPattern.stress.Presence","CohPatternStructurePreserving.Presence","CoherentSuffixBoundary.Presence","CoherentSuffixEnclBoundary.Presence","CoherentSuffixSuffixBoundary.Presence","survey_status","CohesionPatternType"
468,"spans",0.25,0.5,"low",0.333333333333333,"low",1,"low","stem",2,FALSE,FALSE,"#ANY#",FALSE,"constraint","constraint","segmental",FALSE,FALSE,FALSE,,,,,"not applicable",1,1,1,TRUE,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"pword exhaustive","P Domain"
47,"Min Domain",0.2,0.333333333333333,"low",0.333333333333333,"low",1,"low","stem",2,FALSE,FALSE,"#ANY#",FALSE,"size_related","size_related","size_related",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"not applicable",1,1,1,TRUE,FALSE,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"pword exhaustive (double-checked)","P Domain"
206,"left edge",0.5,1,"medium",0.333333333333333,"low",1,"low","stem ± prefix",4,FALSE,FALSE,"Lexical",FALSE,"constraint","constraint","segmental",FALSE,TRUE,TRUE,,,,,"Grammar Explicit",2,2,1,TRUE,FALSE,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"pword exhaustive (double-checked)","P Domain"
664,"spans",0.666666666666667,0.5,"low",1,"medium",1,"low","stem ± suffix",3,,,"Lexical",FALSE,"tone","tone","suprasegmental",FALSE,FALSE,FALSE,,,,,"Grammar Explicit",2,1,2,TRUE,,,,TRUE,FALSE,TRUE,FALSE,,TRUE,"pword exhaustive","P Domain"
723,"medial",0.5,0.5,"low",0.666666666666667,"low",1,"low","stem + suffix",3,FALSE,FALSE,"#ANY#",FALSE,"constraint","constraint","segmental",FALSE,FALSE,FALSE,,,,,"Grammar Explicit",2,1,2,FALSE,FALSE,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"pword exhaustive (double-checked)","P Domain"
2944,"right edge",0.5,0.333333333333333,"low",0.666666666666667,"low",0.5,"low","stem + suffix",3,,,"Non-Lexical",FALSE,"weakening","process","segmental",FALSE,FALSE,FALSE,,,,,"Grammar Explicit",2,1,2,FALSE,,,,TRUE,FALSE,FALSE,FALSE,,FALSE,"pword","P Domain"
77,"left edge",0.25,0.333333333333333,"low",0.5,"low",1,"low","stem",2,,,"Not lexical: borrowing",FALSE,"constraint","constraint","segmental",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Grammar Explicit",1,1,1,TRUE,,,,FALSE,FALSE,FALSE,FALSE,,FALSE,"pword exhaustive (double-checked)","P Domain"
225,"spans",0.5,0.5,"low",0.666666666666667,"low",1,"low","stem + suffix",3,FALSE,FALSE,"Lexical",FALSE,"tone","tone","suprasegmental",FALSE,FALSE,FALSE,,,,,"Grammar Explicit",2,1,2,FALSE,FALSE,,,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,"pword exhaustive (double-checked)","P Domain"
723,"medial",0.5,0.5,"low",0.666666666666667,"low",1,"low","stem + suffix",3,FALSE,FALSE,"#ANY#",FALSE,"constraint","constraint","segmental",FALSE,FALSE,FALSE,,,,,"Grammar Explicit",2,1,2,FALSE,FALSE,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"pword exhaustive (double-checked)","P Domain"
77,"spans",0.5,0.333333333333333,"low",1,"medium",8,"high","root ± suffix",3,,,"#ANY#",FALSE,"size_related","size_related","size_related",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Grammar Explicit",2,1,2,TRUE,,,,TRUE,FALSE,FALSE,FALSE,,FALSE,"pword exhaustive (double-checked)","P Domain"
723,"medial",0.5,0.5,"low",0.666666666666667,"low",1,"low","stem + suffix",3,FALSE,FALSE,"#ANY#",FALSE,"constraint","constraint","segmental",FALSE,FALSE,FALSE,,,,,"Grammar Explicit",2,1,2,FALSE,FALSE,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"pword exhaustive (double-checked)","P Domain"
723,"medial",0.5,1,"medium",0.666666666666667,"low",2,"low","stem + stem",22,,FALSE,"Lexical",TRUE,"weakening","process","segmental",FALSE,FALSE,FALSE,,,,,"Grammar Explicit",2,2,2,FALSE,FALSE,,,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,"pword exhaustive (double-checked)","P Domain"
