ID,Parameter_ID,Name,Description
1,4,None,No possessive marking
2,4,"Alienable D, inalienable D","Alienable D, inalienable D"
3,4,"Alienable appositive classificatory possessive noun, inalienable H","Alienable appositive classificatory possessive noun, inalienable H"
4,4,"Alienable H, inalienable H","Alienable H, inalienable H"
5,4,"Alienable D+H, inalienable H","Alienable D+H, inalienable H"
6,4,"Alienable D, inalienable H","Alienable D, inalienable H"
7,4,"Alienables split, inalienables H","Alienables split, inalienables H"
8,4,"Alienable Ø, inalienable H","Alienable Ø, inalienable H"
9,4,"Alienable D, inalienable Ø","Alienable D, inalienable Ø"
10,4,"Alienable D, inalienable split","Alienable D, inalienable split"
11,4,"Alienable split, inalienable Ø","Alienable split, inalienable Ø"
12,4,"Alienable D, inalienable D+H","Alienable D, inalienable D+H"
13,4,"Alienable split, inalienable split","Alienable split, inalienable split"
14,4,"Alienable via verbal linker, inalienable H","Alienable via verbal linker, inalienable H"
15,4,"Alienable H, inalienable Ø","Alienable H, inalienable Ø"
16,4,"Alienable Ø, inalienable Ø","Alienable Ø, inalienable Ø"
17,4,"Alienable D+H, inalienable D+H","Alienable D+H, inalienable D+H"
18,4,Other,Other type of marking
19,6,classificatory,Opaque posessive classification
20,6,semantic,Possesive classification based on semantic opposition
21,20,AO,AO
22,20,OA,OA
23,20,mixed,mixed
24,26,AOV,AOV
25,26,OAV,OAV
26,26,AVO,AVO
27,26,OVA,OVA
28,26,VAO,VAO
29,26,VOA,VOA
30,26,xxV,xxV
31,26,xVx,xVx
32,26,Vxx,Vxx
33,26,free,free
34,26,V-2,V-2
35,26,SV,SV
36,26,VS,VS
37,26,mixed,mixed
38,27,dep-head,dep-head
39,27,head-dep,head-dep
40,27,variable,variable
41,28,AO,AO
42,28,OA,OA
43,29,dep-head,dep-head
44,29,head-dep,head-dep
45,29,variable,variable
46,30,dep-head,dep-head
47,30,head-dep,head-dep
48,30,variable,variable
49,31,V=1,V=1
50,31,V=2,V=2
51,31,V=3,V=3
52,31,free,free
53,36,AOV,AOV
54,36,OAV,OAV
55,36,AVO,AVO
56,36,OVA,OVA
57,36,VAO,VAO
58,36,VOA,VOA
59,36,xxV,xxV
60,36,xVx,xVx
61,36,Vxx,Vxx
62,36,free,free
63,36,V-2,V-2
64,36,SV,SV
65,36,VS,VS
66,36,mixed,mixed
67,37,dep-head,dep-head
68,37,head-dep,head-dep
69,37,variable,variable
70,38,AO,AO
71,38,OA,OA
72,39,dep-head,dep-head
73,39,head-dep,head-dep
74,39,variable,variable
75,40,dep-head,dep-head
76,40,head-dep,head-dep
77,40,variable,variable
78,41,V=1,V=1
79,41,V=2,V=2
80,41,V=3,V=3
81,41,free,free
82,50,no i/e,no clusivity distinction
83,50,plain i/e type,there is clusivity distinction
84,50,excl as person type,clusivity is a person category
85,50,min/aug type,clusivity is present with a minimal/augmented number system
86,58,2,two distinct genders
87,58,3,three distinct genders
88,58,4,four distinct genders
89,58,more,more than four distinct genders
90,113,low,lowest 33% percentile
91,113,medium,middle 33% percentile
92,113,high,top 33% percentile
93,114,low,lowest 33% percentile
94,114,medium,middle 33% percentile
95,114,high,top 33% percentile
96,115,low,lowest 33% percentile
97,115,medium,middle 33% percentile
98,115,high,top 33% percentile
99,116,low,lowest 33% percentile
100,116,medium,middle 33% percentile
101,116,high,top 33% percentile
102,117,low,lowest 33% percentile
103,117,medium,middle 33% percentile
104,117,high,top 33% percentile
105,118,low,lowest 33% percentile
106,118,medium,middle 33% percentile
107,118,high,top 33% percentile
108,143,formative,"Marker of a category that cannot occur as an independent part of speech unit in the syntax, but instead grammatically requires some host."
109,143,PoSWd,"A syntactic unit that has its own part of speech (PoS) category. Depending on the diversity of grammatical words (g-word) in a language (see “word_type” database), this may or may not coincide with the g-word defined as ‘terminal node’. If g- word domains differ, “PoSWd” as used here refers to the one domain that has a PoS label attached to it. What counts is the syntactic behavior, e.g. if an element behaves like a verb but is defective morphologically, it still has the PoS label ‘verb’ (see for example Quileute negation ‘é’, which behaves like a verb syntactically even thought its inflectional paradigm is defective)."
110,144,formative,"Marker of a category that cannot occur as an independent part of speech unit in the syntax, but instead grammatically requires some host."
111,144,PoSWd,"A syntactic unit that has its own part of speech (PoS) category. Depending on the diversity of grammatical words (g-word) in a language (see “word_type” database), this may or may not coincide with the g-word defined as ‘terminal node’. If g- word domains differ, “PoSWd” as used here refers to the one domain that has a PoS label attached to it. What counts is the syntactic behavior, e.g. if an element behaves like a verb but is defective morphologically, it still has the PoS label ‘verb’ (see for example Quileute negation ‘é’, which behaves like a verb syntactically even thought its inflectional paradigm is defective)."
112,145,formative,"Marker of a category that cannot occur as an independent part of speech unit in the syntax, but instead grammatically requires some host."
113,145,PoSWd,"A syntactic unit that has its own part of speech (PoS) category. Depending on the diversity of grammatical words (g-word) in a language (see “word_type” database), this may or may not coincide with the g-word defined as ‘terminal node’. If g- word domains differ, “PoSWd” as used here refers to the one domain that has a PoS label attached to it. What counts is the syntactic behavior, e.g. if an element behaves like a verb but is defective morphologically, it still has the PoS label ‘verb’ (see for example Quileute negation ‘é’, which behaves like a verb syntactically even thought its inflectional paradigm is defective)."
114,146,formative,"Marker of a category that cannot occur as an independent part of speech unit in the syntax, but instead grammatically requires some host."
115,151,restricted,"Is restricted to a specific type of host. When descriptions are silent about the range of hosts that a marker can combine with, but analyze the marker as an “affix”, we assume it is restricted."
116,151,semi-restricted,"Can occur with some, but not all host elements (so, NOT a ‘phrasal affix’, but rather simply a ‘particle’-like formative that has some degree of selectional restrictions). Allows at least two distinct hosts (in terms of their parts of speech categories)"
117,152,restricted,"Is restricted to a specific type of host. When descriptions are silent about the range of hosts that a marker can combine with, but analyze the marker as an “affix”, we assume it is restricted."
118,152,semi-restricted,"Can occur with some, but not all host elements (so, NOT a ‘phrasal affix’, but rather simply a ‘particle’-like formative that has some degree of selectional restrictions). Allows at least two distinct hosts (in terms of their parts of speech categories)"
119,153,restricted,"Is restricted to a specific type of host. When descriptions are silent about the range of hosts that a marker can combine with, but analyze the marker as an “affix”, we assume it is restricted."
120,153,semi-restricted,"Can occur with some, but not all host elements (so, NOT a ‘phrasal affix’, but rather simply a ‘particle’-like formative that has some degree of selectional restrictions). Allows at least two distinct hosts (in terms of their parts of speech categories)"
121,153,unrestricted,occurs with anything (e.g. Turkish mi)
122,154,restricted,"Is restricted to a specific type of host. When descriptions are silent about the range of hosts that a marker can combine with, but analyze the marker as an “affix”, we assume it is restricted."
123,154,semi-restricted,"Can occur with some, but not all host elements (so, NOT a ‘phrasal affix’, but rather simply a ‘particle’-like formative that has some degree of selectional restrictions). Allows at least two distinct hosts (in terms of their parts of speech categories)"
124,155,isolating,"The formative is a free phonological word. If it is, it is likely to be written as a separate word, though this is not always true: non-isolating formatives like clitics are often written as separate words, and isolating formatives are written with hyphens or clitic boundary markers. Therefore you will need to look at prosodic factors such as word stress."
