ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Source,LanguageAlternativeNames,Stock,StockAlternativeName,MacroQuasiStock,QuasiStock,MajorBranch,SubBranch,SubSubBranch,LowestSubBranch,Genesis,LocalRegion,IsNearProtoHomeland,Modality,Subsistence,OriginContinent,Continent,Area,Macrocontinent
199,Nama,,-25.5,18,nama1264,naq,322; 2186; 2387; 2792; 2793; 2889; 13110,"Nama, Khoekhoe",Kwadi-Khoe,,,,Khoekhoe,,,,,,,,,Africa,Africa,S Africa,Africa
148,!Kung,,-19.67,18,kung1261,knw,146; 13758,"!Xu, !Kung, !Hu, !Khung, !Ku, !Kung, !Xu, !Xun, !Xung, Ekoka-!Xû, Kung, Qxü, Kung-Ekoka",Ju,Northern Khoisan,,,,,,,,,true,,,Africa,Africa,S Africa,Africa
94,Hadza,,-3.75,35.17,hadz1240,hts,5736,Hadza,Hadza,,,,,,,,,,true,,hg,Africa,Africa,S Africa,Africa
347,Sandawe,,-5,35,sand1273,sad,5615; 179; 180; 5825,Sandawe,Sandawe,,,,,,,,,,true,,hg,Africa,Africa,S Africa,Africa
151,Kwadi,,-16,12,kwad1244,kwz,,"Kwadi, Cuepe, Curoca",Kwadi-Khoe,,,,Kwadi,,,,,,,,,Africa,Africa,S Africa,Africa
323,Orig,,13,31,tega1236,ras,77,"Tegali, Orig, Rashad (Kom, Ngakom, Kome)",Kordofanian,,Niger-Kordofanian,,,,,,,,true,,,Africa,Africa,African Savannah,Africa
75,Ewe,,6.33,0.42,ewee1241,ewe,5908; 359; 6703; 3129; 5570; 3837; 5729; 5390; 5788; 123; 5878; 5940; 5921; 3126; 6039; 2444; 2914; 13788; 5920; 2807; 5876; 5917; 5425,Ewe,Kwa,,Niger-Kordofanian,Niger-Congo,Gbe,,,,,,true,,not hg,Africa,Africa,African Savannah,Africa
172,Mandinka,,15,-15.67,mand1436,mnk,13841; 6767; 13716; 73; 6709; 5881; 6248,Mandinka,Mande,,Niger-Kordofanian,Macro-Niger-Congo,West Mande,,,,,,,,,Africa,Africa,African Savannah,Africa
80,Fula,,13,-9,adam1253,fub,5904; 106; 6715; 5691; 5612; 5557; 6660,Fula,North Atlantic,,Niger-Kordofanian,Macro-Niger-Congo,,,"Peul-Serer, Peul-Sereer",Fula,,,true,,not hg,Africa,Africa,African Savannah,Africa
305,Ijo,,4.55,5.4,izon1238,ijc,211; 132,"Ijo, Izon",Ijoid,,Niger-Kordofanian,Macro-Niger-Congo,,,,,,,true,,,Africa,Africa,African Savannah,Africa
85,Gbeya,,5,15,gbay1287,gbp,107,"Gbeya, Gbeya Bossangoa, Gbaya-Bossangoa, Gbaya Bossangoa",Adamawa-Ubangi,,Niger-Kordofanian,Niger-Congo,,,,,,,,,,Africa,Africa,African Savannah,Africa
165,Luganda,,0.5,32.17,gand1255,lug,2772; 421; 98; 5712; 5823; 5593; 5807; 5798; 5549; 2492; 2433; 5801; 6938; 5547; 5095; 5875; 5572; 5096,Luganda,Benue-Congo,,Niger-Kordofanian,Niger-Congo,Bantoid,Bantu (narrow),,,,,,,not hg,Africa,Africa,S Africa,Africa
123,Kanuri,,12,13,kanu1279,kau,13361; 145; 122,Kanuri,Saharan,,,,,,,,,,true,,not hg,Africa,Africa,African Savannah,Africa
81,Fur,,13.5,25,furr1244,fvr,67; 5786; 355,"Fur, For",Fur,,,,,,,,,,true,,,Africa,Africa,African Savannah,Africa
111,Ik,,3.75,34.17,ikkk1242,ikx,3155,Ik,Kuliak,,,,,,,,,,true,,not hg,Africa,Africa,S Africa,Africa
207,Nera,,15.08,37.58,nara1262,nrb,2483,"Nara, Nera",Nera,,Core Nilo-Saharan,Eastern Sudanic,,,,,,,true,,,Africa,Africa,Greater Abyssinia,Africa
69,Nubian (Dongolese),,19,30.5,nubi1251,dgl,178,"Nubian, Dongolese",Nubian,,Core Nilo-Saharan,Eastern Sudanic,,,,,,,true,,,Africa,Africa,N Africa,Africa
