LID,Glottocode,Language,NPPossessionLocusDistribution,NPHasPossessiveClassification,NPPossessiveClassificationType,NPHasBoundNouns,NPBoundNounsCount,NPHasAlienableClasses,NPAlienableClassesCount,NPHasInalienableClasses,NPInalienableClassesCount,NPHasPossessiveClasses,NPHasMultiplePossessiveClasses,NPPossessiveClassesCount
114,ingu1240,Ingush,None,FALSE,,FALSE,0,FALSE,0,FALSE,0,FALSE,FALSE,0
74,stan1293,English,None,FALSE,,FALSE,0,FALSE,0,FALSE,0,FALSE,FALSE,0
340,russ1263,Russian,,FALSE,,FALSE,0,FALSE,0,FALSE,0,FALSE,FALSE,0
40,buru1296,Burushaski,"Alienable D, inalienable H",TRUE,classificatory,TRUE,4,TRUE,1,TRUE,4,TRUE,TRUE,4
75,ewee1241,Ewe,,TRUE,classificatory,FALSE,0,TRUE,1,TRUE,2,TRUE,TRUE,2
80,adam1253,Fula,"Alienables split, inalienables H",TRUE,classificatory,FALSE,0,TRUE,1,TRUE,1,TRUE,TRUE,2
85,gbay1287,Gbeya,"Alienable D, inalienable H",TRUE,classificatory,,,TRUE,1,TRUE,1,TRUE,TRUE,2
7,abkh1244,Abkhaz,None,FALSE,,FALSE,0,FALSE,0,FALSE,0,FALSE,FALSE,0
25,nucl1235,Armenian (Eastern),None,FALSE,,FALSE,0,FALSE,0,FALSE,0,FALSE,FALSE,0
86,nucl1302,Georgian,None,FALSE,,FALSE,0,FALSE,0,FALSE,0,FALSE,FALSE,0
79,stan1290,French (colloquial),None,FALSE,,FALSE,0,FALSE,0,FALSE,0,FALSE,FALSE,0
107,hung1274,Hungarian,None,FALSE,,FALSE,0,FALSE,0,FALSE,0,FALSE,FALSE,0
6,ambu1247,Ambulas,,,,,,,,,,,,
14,alam1246,Alamblak,,TRUE,,FALSE,0,,,,,TRUE,FALSE,1
20,amel1241,Amele,"Alienable D, inalienable H",TRUE,classificatory,FALSE,0,TRUE,1,TRUE,31,TRUE,TRUE,32
22,anem1249,Anêm,,TRUE,classificatory,FALSE,0,TRUE,1,TRUE,20,TRUE,TRUE,20
24,bumb1241,Arapesh,,,,,,,,,,,,
26,casu1237,Asmat,"Alienable Ø, inalienable H",TRUE,classificatory,TRUE,1,TRUE,1,TRUE,1,TRUE,TRUE,2
28,awtu1239,Awtuw,None,FALSE,,FALSE,0,FALSE,0,FALSE,0,FALSE,FALSE,0
31,nucl1630,Barai,None,FALSE,,FALSE,0,FALSE,0,FALSE,0,FALSE,FALSE,0
33,bauz1241,Bauzi,None,FALSE,,FALSE,0,FALSE,0,FALSE,0,FALSE,FALSE,0
