LID,Glottocode,Language,HasClusivity,ClusivityType,HasClusivityAsPerson,HasClusivityWithMinimalNumberSystem
148,kung1261,!Kung,FALSE,no i/e,FALSE,FALSE
65,dizi1235,Dizi,FALSE,no i/e,FALSE,FALSE
75,ewee1241,Ewe,FALSE,no i/e,FALSE,FALSE
85,gbay1287,Gbeya,FALSE,no i/e,FALSE,FALSE
111,ikkk1242,Ik,TRUE,plain i/e type,FALSE,FALSE
163,lugb1240,Logbara,FALSE,no i/e,FALSE,FALSE
165,gand1255,Luganda,FALSE,no i/e,FALSE,FALSE
167,masa1300,Maa,FALSE,no i/e,FALSE,FALSE
199,nama1264,Nama,TRUE,excl as person type,TRUE,FALSE
324,east2652,Oromo,FALSE,no i/e,FALSE,FALSE
347,sand1273,Sandawe,FALSE,no i/e,FALSE,FALSE
421,yoru1245,Yoruba,FALSE,no i/e,FALSE,FALSE
21,amha1245,Amharic,FALSE,no i/e,FALSE,FALSE
23,stan1318,Arabic,FALSE,no i/e,FALSE,FALSE
34,beja1238,Beja,FALSE,no i/e,FALSE,FALSE
431,berb1260,Berber,FALSE,no i/e,FALSE,FALSE
80,adam1253,Fula,TRUE,excl as person type,TRUE,FALSE
81,furr1244,Fur,FALSE,no i/e,FALSE,FALSE
91,gumu1244,Gumuz,TRUE,plain i/e type,FALSE,FALSE
98,haus1257,Hausa,FALSE,no i/e,FALSE,FALSE
373,tera1251,Tera,FALSE,no i/e,FALSE,
123,kanu1279,Kanuri,FALSE,no i/e,FALSE,FALSE
147,kuna1268,Kunama,TRUE,excl as person type,TRUE,FALSE
172,mand1436,Mandinka,FALSE,no i/e,FALSE,FALSE
207,nara1262,Nera,FALSE,no i/e,FALSE,FALSE
323,tega1236,Orig,FALSE,no i/e,FALSE,FALSE
443,koyr1240,Songhai (Koyra Chiini),FALSE,no i/e,FALSE,FALSE
15,akka1240,Akkadian,FALSE,no i/e,FALSE,FALSE
73,elam1244,Elamite,FALSE,no i/e,FALSE,FALSE
100,hitt1242,Hittite,FALSE,no i/e,FALSE,
108,hurr1240,Hurrian,FALSE,no i/e,FALSE,FALSE
360,sume1241,Sumerian,FALSE,no i/e,FALSE,FALSE
7,abkh1244,Abkhaz,FALSE,no i/e,FALSE,FALSE
25,nucl1235,Armenian (Eastern),FALSE,no i/e,FALSE,FALSE
49,chec1245,Chechen,TRUE,plain i/e type,FALSE,FALSE
86,nucl1302,Georgian,FALSE,no i/e,FALSE,FALSE
162,lezg1247,Lezgi,FALSE,no i/e,FALSE,FALSE
325,osse1243,Ossetic,FALSE,no i/e,FALSE,FALSE
17,tosk1239,Albanian,FALSE,no i/e,FALSE,FALSE
32,basq1248,Basque,FALSE,no i/e,FALSE,FALSE
57,chuv1255,Chuvash,FALSE,no i/e,FALSE,FALSE
74,stan1293,English,FALSE,no i/e,FALSE,FALSE
79,stan1290,French (colloquial),FALSE,no i/e,FALSE,FALSE
107,hung1274,Hungarian,FALSE,no i/e,FALSE,FALSE
435,iris1253,Irish,FALSE,no i/e,FALSE,FALSE
340,russ1263,Russian,FALSE,no i/e,FALSE,FALSE
139,komi1268,Komi (Zyrian),FALSE,no i/e,FALSE,FALSE
40,buru1296,Burushaski,FALSE,no i/e,FALSE,FALSE
188,halh1238,Mongolian (Khalkha),TRUE,plain i/e type,FALSE,FALSE
387,tuvi1240,Tuva,FALSE,no i/e,FALSE,FALSE
396,waig1243,Waigali,FALSE,no i/e,FALSE,FALSE
205,nene1249,Nenets (Tundra),FALSE,no i/e,FALSE,FALSE
434,west2414,Gurung,TRUE,plain i/e type,,
142,kota1263,Kota,TRUE,excl as person type,TRUE,FALSE
197,naha1261,Nahali,FALSE,no i/e,FALSE,FALSE
12,ainu1240,Ainu,TRUE,plain i/e type,FALSE,FALSE
56,chuk1273,Chukchi,FALSE,no i/e,FALSE,FALSE
433,gily1242,Nivkh,TRUE,min/aug type,TRUE,TRUE
118,nucl1643,Japanese,FALSE,no i/e,FALSE,FALSE
116,itel1242,Itelmen,FALSE,no i/e,FALSE,FALSE
129,kett1243,Ket,FALSE,no i/e,FALSE,FALSE
141,kore1280,Korean,FALSE,no i/e,FALSE,FALSE
201,nana1257,Nanai,FALSE,no i/e,FALSE,FALSE
203,nauk1242,Naukan,FALSE,no i/e,FALSE,FALSE
423,nort2745,Yukagir (Tundra),FALSE,no i/e,FALSE,FALSE
9,achi1257,Acehnese,TRUE,plain i/e type,FALSE,FALSE
171,mand1415,Mandarin,FALSE,no i/e,FALSE,FALSE
182,caom1238,Cao Miao,FALSE,no i/e,FALSE,FALSE
327,paiw1248,Paiwan,TRUE,plain i/e type,FALSE,FALSE
362,taga1270,Tagalog,TRUE,min/aug type,TRUE,TRUE
371,temi1246,Temiar,TRUE,plain i/e type,FALSE,FALSE
374,thai1261,Thai,FALSE,no i/e,FALSE,FALSE
39,buru1303,Buru,TRUE,plain i/e type,FALSE,FALSE
146,kuii1253,Kui (Indonesia),TRUE,plain i/e type,FALSE,FALSE
364,kula1280,Tanglapui,FALSE,no i/e,FALSE,FALSE
343,sahu1245,Sahu,TRUE,plain i/e type,FALSE,FALSE
6,ambu1247,Ambulas,FALSE,no i/e,FALSE,FALSE
20,amel1241,Amele,FALSE,no i/e,FALSE,FALSE
22,anem1249,Anêm,TRUE,plain i/e type,FALSE,FALSE
24,bumb1241,Arapesh,FALSE,no i/e,FALSE,FALSE
31,nucl1630,Barai,FALSE,no i/e,FALSE,FALSE
36,beri1254,Berik,FALSE,no i/e,FALSE,FALSE
126,kate1253,Kâte,TRUE,plain i/e type,FALSE,FALSE
438,maib1239,Maybrat,TRUE,plain i/e type,FALSE,FALSE
350,nucl1632,Sentani,TRUE,plain i/e type,FALSE,FALSE
358,suen1241,Suena,TRUE,excl as person type,TRUE,FALSE
368,tawa1275,Tawala,TRUE,plain i/e type,,
369,tehi1237,Tehit,TRUE,plain i/e type,FALSE,FALSE
393,usan1239,Usan,FALSE,no i/e,FALSE,FALSE
395,vani1248,Vanimo,TRUE,plain i/e type,FALSE,FALSE
407,wask1241,Waskia,FALSE,no i/e,FALSE,FALSE
26,casu1237,Asmat,FALSE,no i/e,FALSE,FALSE
33,bauz1241,Bauzi,FALSE,no i/e,FALSE,FALSE
109,iauu1242,Iau,FALSE,no i/e,FALSE,FALSE
131,kima1246,Kimaama,FALSE,no i/e,FALSE,FALSE
133,kiri1256,Kirikiri,FALSE,no i/e,FALSE,FALSE
211,ngka1235,Ngkalmpw Knwme,FALSE,no i/e,FALSE,FALSE
14,alam1246,Alamblak,FALSE,no i/e,FALSE,FALSE
28,awtu1239,Awtuw,FALSE,no i/e,FALSE,FALSE
38,kuni1265,Boazi,FALSE,no i/e,FALSE,FALSE
103,yaga1260,Hua,FALSE,no i/e,FALSE,FALSE
130,west2599,Kewa,FALSE,no i/e,FALSE,FALSE
136,kobo1249,Kobon,FALSE,no i/e,FALSE,FALSE
138,komb1274,Kombai,FALSE,no i/e,FALSE,FALSE
345,salt1242,Salt-Yui,FALSE,no i/e,FALSE,FALSE
367,tauy1241,Tauya,FALSE,no i/e,FALSE,FALSE
370,tele1256,Telefol,FALSE,no i/e,FALSE,FALSE
403,wari1266,Waris,TRUE,plain i/e type,,
415,nini1235,retire_Yali,FALSE,no i/e,FALSE,FALSE
419,yess1239,Yessan-Mayo,FALSE,no i/e,FALSE,FALSE
420,yima1243,Yimas,FALSE,no i/e,FALSE,FALSE
93,gunw1252,Gunwinggu,TRUE,min/aug type,TRUE,TRUE
170,mull1237,Malak-Malak,TRUE,min/aug type,TRUE,TRUE
178,mari1424,Marrithiyel,TRUE,min/aug type,TRUE,TRUE
181,maun1240,Mawng,TRUE,plain i/e type,FALSE,FALSE
196,murr1258,Murrinh-patha,TRUE,plain i/e type,FALSE,FALSE
198,naka1260,Nakkara,TRUE,min/aug type,TRUE,TRUE
318,nung1290,Nunggubuyu,TRUE,plain i/e type,FALSE,FALSE
378,tiwi1244,Tiwi,TRUE,min/aug type,TRUE,TRUE
390,ngar1284,Ungarinjin,TRUE,plain i/e type,FALSE,FALSE
391,urad1238,Uradhi,TRUE,min/aug type,TRUE,TRUE
405,wand1263,Warndarang,TRUE,plain i/e type,FALSE,FALSE
424,gang1267,Yukulta,TRUE,plain i/e type,FALSE,FALSE
68,djin1251,Djingili,TRUE,plain i/e type,FALSE,FALSE
71,dyir1250,Dyirbal,FALSE,no i/e,FALSE,FALSE
84,gara1269,Garrwa,TRUE,plain i/e type,FALSE,FALSE
149,goon1238,Kuniyanti,TRUE,plain i/e type,FALSE,FALSE
173,mang1381,Mangarayi,TRUE,plain i/e type,FALSE,FALSE
179,mart1255,Martuthunira,TRUE,excl as person type,TRUE,FALSE
210,wang1291,Ngiyambaa,FALSE,no i/e,FALSE,FALSE
319,nyig1240,Nyigina,TRUE,plain i/e type,FALSE,FALSE
408,west2443,Wemba Wemba,TRUE,plain i/e type,FALSE,FALSE
416,yank1247,Yankunytjara,FALSE,no i/e,FALSE,FALSE
48,cham1312,Chamorro,TRUE,plain i/e type,FALSE,FALSE
70,dehu1237,Drehu,TRUE,plain i/e type,,
140,rapo1238,Konua,TRUE,excl as person type,TRUE,FALSE
