LID,Glottocode,Language,HasGender,GenderCount,GenderCountBinned4
71,dyir1250,Dyirbal,TRUE,4,more
692,nucl1327,Limilngan,TRUE,4,more
668,yecu1235,Totonac (Misantla),FALSE,,
580,yidi1250,Yidiny,FALSE,,
64,dier1241,Diyari,FALSE,,
355,soma1255,Somali,TRUE,2,2
571,cent2194,Tamazight (Ayt Ndhir),TRUE,2,2
1519,bora1271,Oromo (Boraana),TRUE,2,2
167,masa1300,Maa,TRUE,2,2
98,haus1257,Hausa,TRUE,2,2
40,buru1296,Burushaski,TRUE,4,more
386,tuni1252,Tunica,TRUE,2,2
411,wasc1239,Wishram,TRUE,5,more
132,kiow1266,Kiowa,FALSE,,
87,stan1295,German,TRUE,3,3
114,ingu1240,Ingush,TRUE,5,more
343,sahu1245,Sahu,,3,3
340,russ1263,Russian,TRUE,3,3
608,mari1278,Mari,FALSE,,
188,halh1238,Mongolian (Khalkha),FALSE,,
78,finn1318,Finnish,FALSE,,
423,nort2745,Yukagir (Tundra),FALSE,,
191,siwa1245,Motuna,TRUE,5,more
22,anem1249,Anêm,TRUE,2,2
438,maib1239,Maybrat,,2,2
325,osse1243,Ossetic,FALSE,,
348,sanu1240,Sanuma,FALSE,,
388,tzut1248,Tzutujil,FALSE,,
318,nung1290,Nunggubuyu,TRUE,6,more
7,abkh1244,Abkhaz,FALSE,,
32,basq1248,Basque,FALSE,,
14,alam1246,Alamblak,TRUE,,
149,goon1238,Kuniyanti,FALSE,,
2536,tami1289,Tamil,TRUE,4,more
69,nubi1251,Nubian (Dongolese),FALSE,,
378,tiwi1244,Tiwi,TRUE,2,2
173,mang1381,Mangarayi,TRUE,3,3
80,adam1253,Fula,TRUE,20,more
199,nama1264,Nama,TRUE,3,3
402,ware1253,Warembori,FALSE,,
686,daha1245,Dahalo,FALSE,,
2779,yele1255,Yelî Dnye,FALSE,,
21,amha1245,Amharic,TRUE,2,2
499,buki1249,Bukiyip,TRUE,18,more
395,vani1248,Vanimo,TRUE,2,2
332,pipi1250,Pipil,FALSE,,
200,sout2994,Nambikwara,FALSE,,
409,wint1259,Wintu,FALSE,,
365,pure1242,Tarascan,FALSE,,
10,west2632,Acoma,FALSE,,
642,egyp1253,Arabic (Egyptian),TRUE,2,2
390,ngar1284,Ungarinjin,TRUE,5,more
148,kung1261,!Kung,TRUE,5,more
420,yima1243,Yimas,TRUE,11,more
461,onei1249,Oneida,TRUE,4,more
129,kett1243,Ket,TRUE,3,3
2960,avar1256,Avar (Chadakolob),TRUE,3,3
895,andi1255,Andi,TRUE,5,more
2962,akhv1239,Akhvakh (Northern),TRUE,3,3
1149,cham1309,Chamalal,TRUE,5,more
2572,tind1238,Tindi,TRUE,3,3
1531,ghod1238,Godoberi,TRUE,3,3
1807,kara1474,Karata,TRUE,3,3
