Category,Macrocategory,Definition
Person,person,"1st, 2nd, 3rd person (and sometimes others), i.e. noun or pronoun referents defined as speaker/hearer/neither."
Number,number,"Singular, plural, sometimes others.  Other than in role agreement."
Role,role,"Grammatical role or relation, including pivots"
TAM,TAM+,"Tense, aspect, and mood"
Honorificity,pragmatic,Categories used to differentiate status of individuals:  the referent of a form marked as honorific is higher in status than the other(s) in the discourse.
Aspect,TAM+,"Grammatical aspect, sensitive to lexical Aktionsart and implicated in syntax; categories such as perfective and imperfective."
Polarity,operators,Negative vs. Affirmative
Nominalizer,NP-related,Derives a syntactic noun form from a verb; turns a clause into a phrase that can function as argument or possessor.
Tense,TAM+,The traditional category of time reference (absolute or relative) in verbs.
Connective,inter-clausal,"Marker of clause connection, including chaining markers, complementizers, markers of subordination or relative (unless it is a nominalizer, in which case code as Nominalizer). Includes converbs of all types, chaining (narrative, sequencing) and subordinating (adverbial).  Forms called “subjunctive” or “conjunctive” are likely to belong here."
Causative,valence,Adds an agent to the valence.
Voice,valence,"Assignment of role to an NP with a certain marker or status (nominative, absolutive, etc.) with a reduction in syntactic transitivity. This includes passives, antipassives, diathetic reflexives, middles etc."
Version,valence,"Category that registers the presence of an indirect object, goal, or applicative object and responds to its person (typically distinguishing 1st/2nd vs. 3rd person).  Term and concept from Kartvelian languages."
Semistem,other,The more wordlike or noun-like element of a bipartite stem that interacts with the inflectional system.
Gender,classification,Agreement category involving noun classification.  Usually covert on nouns; overt on agreeing word(s).  Unless otherwise specified this is lexical gender of nouns.
Quantificational,number,"Multiple argument or multiple action, variously or fluidly. Pluractionals, distributive, ‘each’, ‘all’, ‘some’, ‘once’, ‘always’, ‘repeatedly’ etc. Subsumes both argument and event quantification"
MAN,TAM+,Mood-Aspect-Negation (term from Heath 1999 [Koyra Chiini]).
TA,TAM+,Tense-aspect
Applicative,valence,Adds another object to the valence.
Illocution,TAM+,"Interrogative, Declarative, Imperative etc."
MTN,TAM+,"Mood, tense, and negation"
Direction,role,"Direct/inverse marking, indicating conformity vs. non-conformity to a hierarchy (person, referentiality), whether using equipollent direct and inverse markers (e.g. Cree) or only an inverse marker (e.g. Chukchi)."
Reflexive,valence,"Reflexives unless they serve purely diathetic purposes (passives, antipassives)"
Focus,pragmatic,"intensifiers, focus, emphatics etc."
Valence,valence,"Transitivity markers. Does not include diathetical markers whose primary function is to change valence. Valence markers as defined here are generally used on ALL transitive or ALL intransitive verbs, whether derived or not (Example; Algonquian, Austronesian transitivity markers).  But note that obviation is covered under Referential."
Evidential,evidential,"Evidentials, miratives, evaluatives, etc."
PossClass,NP-related,"Possessive declension class, i.e. declension class based on possessum=head"
Construct,NP-related,The formative does not express any category but rather indicates the use of a certain construction or the presence of a certain syntactic configuration. Examples: Arabic or Slave construct state marking
PossSem,NP-related,Possession semantics (e.g. marking that the head is alienable or drinkable or whatever) -- not to be used if the marking is due to possessive declension class differences!
Sex,classification,"Natural gender.  Sex of referent (e.g. in English pronouns).  For gender classification of nouns, code as gender (even if gender is predictable from sex, as it usually is for animates)."
Referential,pragmatic,"Values like definite, indefinite, specific, nonspecific, generic, obviative, proximative, remote, etc.NB: “Referential” is exponent of CASE only if the referential value cannot be separated from the syntactic role that the CASE marker codes. That is, with Tagalog ANG, for example, you cannot have the syntactic role that ANG codes without at the same time having specific NP reference. This is different from DOM (and DSM) in Turkish or Hindi or Spanish because not marking the object by the ACC does not make it an object any less. Unmarked O’s in DOM systems are O’s. But not using ANG because the NP doesn’t have specific reference, changes the syntactic role the NP is in."
Switch_reference,inter-clausal,Grammatical category tracking successive clauses in a discourse for whether the subject (or other pivot) is referentially identical to vs. different from that of the adjacent clause.
Status,TAM+,Realis vs. irrealis; certainty
TE,TAM+,Tense and evidentiality together
Aktionsart,TAM+,"Situation aspect, or lexical aspect."
Potentialis,TAM+,Potential mood category.
Classifier,classification,"Formative that classifies any argument, regardless of the type of classification (e.g. shape, body part) or whether the classifier itself is incorporated or just its semantics is specified.  If numeral classifiers are incorporated into the verb, include that here regardless of whether the classified noun is also incorporated with it."
Mood,TAM+,"General term for mood categories such as indicative, conditional, subjunctive, imperative, etc."
Reflexive_and_Reciprocal,valence,"Reflexive and/or reciprocal, for languages in which these two are non-distinct or in complementary distribution."
RECIP,valence,Reciprocal
MSE,TAM+,Mood or Status or Evidential or any combination of these
AN Focus,valence,DO NOT USE.  Use 72 instead.  (Was:  Western Austronesian-style focus marking.)
Scope,operators,The category serves to indicate or constrain the scope of some other morpheme (e.g negation).
Modality,TAM+,"Possibility, probability, etc.; also desiderative, intention."
Deixis,pragmatic,"Any grammatical category distinguishing direction toward vs. from speaker, or similar; also up (from speaker), down (from speaker). Common terms: cislocative, translocative."
