PoS,ProjectionType,SyntacticDomain,SemanticDomain,ClausalDomain,Definition
V,terminal,verbal,verb-like,predicate,lexical verb
N,terminal,nominal,noun-like,argument,"lexical noun, nominalized verb -- whether possessed or non-possessed (all)"
AdvP,phrasal,,other,,"Adverb Phrases, including all sorts of ‘preverbs’ and predicative modifiers."
Adj,terminal,,other,argument,adjective
Pro,terminal,nominal,non-SAP,argument,Pronouns. This refers to free pronouns that head NPs; it does not refer to pronominal indexes.
Adp,terminal,,other,,Adposition
Art,terminal,,other,argument,Article
,terminal,any,general,,"no restriction as to what kind of stem or terminal node can host the formative. This is one notion of clitic; do not confuse with phrasal affixes,which are or not restricted to a specific XP"
2_or_3Pro,terminal,nominal,SAP,argument,2nd or 3rd person pronoun
3Pro,terminal,nominal,non-SAP,argument,3rd person pronoun
3sgPro,terminal,nominal,non-SAP,argument,3rd person singular pronoun
n11.d.,,,,,no data
N_or_Pro,terminal,nominal,noun-like,argument,"noun or pronoun (including nominalized verbs, participles, etc. ). If a language or construction only includes root nouns, this needs to be mentioned. NOT including Adjectives (if this is at all distinct PoS)"
1_2Pro_or_N,terminal,nominal,SAP,argument,"1st or 2nd person, or noun."
,,,,,not applicable
N-inal,terminal,nominal,noun-like,argument,inalienably possessed noun
N-alien,terminal,nominal,noun-like,argument,"alienably possessed noun, i.e. one taking alienable possession (see sem_class_def for alienability)"
N-hum,terminal,nominal,noun-like,argument,human noun
Nv,terminal,nominal,verb-like,predicate,nominalized verb
DEM,terminal,,non-SAP,argument,demonstrative
Num,terminal,,other,argument,numeral
N-proper,terminal,nominal,noun-like,argument,proper noun
Possessor,phrasal,nominal,noun-like,argument,any possessor NP
Possessum,terminal,nominal,noun-like,argument,the head of a possessive NP
SAP,terminal,nominal,SAP,argument,"Speech act participant, i.e. 1st or 2nd person.  (Using SAP allows non-SAP to be used for 3rd person pronouns and nouns"
1PERS,terminal,nominal,SAP,argument,1st person only
N-proper&kin,terminal,nominal,noun-like,argument,proper nouns and kin nouns
Body_part,terminal,nominal,noun-like,argument,body parts and similar parts
N-anim,terminal,nominal,noun-like,argument,animate noun
N-kin,terminal,nominal,noun-like,argument,kin terms
1sg,terminal,nominal,SAP,argument,1st person singular
Pro_or_N-hum,terminal,nominal,non-SAP,argument,personal pronoun or human noun
S,phrasal,,other,,Clause
Pro-sg,terminal,nominal,non-SAP,argument,singular pronoun
Pro-pl,terminal,nominal,non-SAP,argument,plural pronoun
VP,phrasal,verbal,verb-like,predicate,"verb phrase (syntactic domain hosting particles or complementing auxiliaries). Includes all sorts of coconstituents (NPs, adverbs, etc.). For a more specific notion of VP, see #48"
V-fin,terminal,verbal,verb-like,predicate,finite verb
V-aux,terminal,verbal,verb-like,predicate,(subset) of auxiliary verbs
PRED,phrasal,verbal,verb-like,predicate,"any element in predicative use (verb, predicate nominal etc.); predicate phrase"
VAdvP,phrasal,verbal,verb-like,predicate,"type of verb phrase defined as Verb plus adverbials, particles, perhaps pronouns -- but excluding NPs"
Quant,terminal,,other,,Quantifiers
non-V,terminal,nominal,general,,any part of speech except verbs
nonSAP,terminal,nominal,non-SAP,argument,noun or third person pronoun (i.e. any third person NP).
PTCP,terminal,nominal,verb-like,predicate,participle
Ord,terminal,,other,argument,Ordinal numeral
Num_above_20,terminal,,other,argument,numeral greater than 20
NP,phrasal,nominal,noun-like,argument,(expandable) NP
XP,phrasal,any,general,,any phrase: the formative attaches to whatever phrase it refers to (typical of focus particles and clitics)
VP-nonfin,phrasal,verbal,verb-like,predicate,"The elements of the VP with all and only the nonfinite parts of the verb, as in German ;-)"
Ord1,terminal,,other,argument,Ordinal numeral greater than 1
not_1sgPro,terminal,nominal,SAP,argument,any noun or pronoun apart from 1sg pronoun
deictic_Pro,terminal,nominal,non-SAP,argument,deictic/demonstrative pronouns
non-PTCP,terminal,nominal,general,predicate,non-participle
sg,terminal,nominal,noun-like,argument,noun or pronoun in singular
N-def,terminal,nominal,noun-like,argument,definite noun
high,terminal,nominal,noun-like,argument,"‘high-indexability’, nouns or pronouns with a higher discourse rank than ‘low-indexability’ (where rank is determined by discourse factors with language-specific weights)"
low,terminal,nominal,noun-like,argument,"‘low-indexability’, nouns or pronouns with a higher discourse rank than ‘low-indexability’ (where rank is determined by discourse factors with language-specific weights)"
N-def_or_Pro,terminal,nominal,noun-like,argument,definite nouns or pronouns
N-indef,terminal,nominal,noun-like,argument,indefinite noun
N-non-hum,terminal,nominal,noun-like,argument,non-human noun
Inf,terminal,verbal,verb-like,predicate,infinitive
CONV,terminal,verbal,verb-like,predicate,converb
1/2Pro,terminal,nominal,SAP,argument,1st and 2nd person pronouns
3Pro_or_N,terminal,nominal,non-SAP,argument,3rd person pronoun or noun
N_or_Pro-pl,terminal,nominal,noun-like,argument,noun or pronoun in plural
PTCP_based,terminal,verbal,verb-like,predicate,participle-based verb form
non-PTCP_based,terminal,nominal,general,predicate,any form apart from participle-based forms
V-non-fin,terminal,verbal,verb-like,predicate,nonfinite: verb form with fewer categories coded than in the main clause
