LID,Glottocode,Language,HasCase,IsCaseCodedForDefaultPredicates,IsCaseCodedForDitransitivePredicates,IsCaseCodedForOtherPredicates,HasAgreement,IsAgreementCodedForDefaultPredicates,IsAgreementCodedForDitransitivePredicates,IsAgreementCodedForOtherPredicates,IsAgreementMarkersCodedForDefaultPredicates,IsAgreementMarkersCodedForDitransitivePredicates,IsAgreementMarkersCodedForOtherPredicates,PersonNumberCategory
35,belh1239,Belhare,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,,,1sg
35,belh1239,Belhare,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,,,1du.excl
35,belh1239,Belhare,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,,,1pl.excl
35,belh1239,Belhare,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,,,1du.incl
35,belh1239,Belhare,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,,,1pl.incl
35,belh1239,Belhare,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,,,3du
35,belh1239,Belhare,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,,,3pl
35,belh1239,Belhare,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,,,3sg
35,belh1239,Belhare,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,,,2du
35,belh1239,Belhare,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,,,2pl
35,belh1239,Belhare,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,,,2sg
9,achi1257,Acehnese,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,1sg
9,achi1257,Acehnese,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,1pl.incl
9,achi1257,Acehnese,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,1pl.excl
9,achi1257,Acehnese,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,2sg
9,achi1257,Acehnese,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,2pl
9,achi1257,Acehnese,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,3sg
9,achi1257,Acehnese,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,3pl
7,abkh1244,Abkhaz,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,,,,,
10,west2632,Acoma,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,,
12,ainu1240,Ainu,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,,TRUE,FALSE,FALSE,1sg
12,ainu1240,Ainu,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,,TRUE,FALSE,FALSE,1pl
12,ainu1240,Ainu,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,,TRUE,FALSE,FALSE,2sg
12,ainu1240,Ainu,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,,TRUE,FALSE,FALSE,2pl
12,ainu1240,Ainu,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,,TRUE,FALSE,FALSE,3sg
12,ainu1240,Ainu,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,,TRUE,FALSE,FALSE,3pl
14,alam1246,Alamblak,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,
15,akka1240,Akkadian,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,
17,tosk1239,Albanian,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,,FALSE,FALSE,,
20,amel1241,Amele,TRUE,TRUE,,,TRUE,TRUE,TRUE,,FALSE,,,
21,amha1245,Amharic,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,FALSE,TRUE,,,1sg
21,amha1245,Amharic,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,FALSE,TRUE,,,2sg
21,amha1245,Amharic,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,FALSE,TRUE,,,2pl
21,amha1245,Amharic,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,FALSE,TRUE,,,3sg-high
