LID,Glottocode,Language,SelectorID,MarkerID,SelectorType,SelectorLabel,ReferentialCondition,CoargumentAtr,CoargumentP,PredicateClassID,MarkerSlot,ClauseRankCondition,CategoryCondition,SyntacticDomainCondition,PolarityCondition,SelectedRoles
7,abkh1244,Abkhaz,2096,4139,agreement (grammatical),S/A/O/T agreement,,,,1,,main,,,,S
7,abkh1244,Abkhaz,2096,4139,agreement (grammatical),S/A/O/T agreement,,,,2,,main,,,,Atr
7,abkh1244,Abkhaz,2096,4139,agreement (grammatical),S/A/O/T agreement,,,,2,,main,,,,P
7,abkh1244,Abkhaz,2096,4139,agreement (grammatical),S/A/O/T agreement,,,,3,,main,,,,Aditr
7,abkh1244,Abkhaz,2096,4139,agreement (grammatical),S/A/O/T agreement,,,,3,,main,,,,T
7,abkh1244,Abkhaz,305,436,case marker or adposition,NOM case,,,,1,,main,,,,S
7,abkh1244,Abkhaz,305,436,case marker or adposition,NOM case,,,,2,,main,,,,Atr
7,abkh1244,Abkhaz,305,436,case marker or adposition,NOM case,,,,2,,main,,,,P
7,abkh1244,Abkhaz,305,436,case marker or adposition,NOM case,,,,3,,main,,,,Aditr
7,abkh1244,Abkhaz,305,436,case marker or adposition,NOM case,,,,3,,main,,,,T
7,abkh1244,Abkhaz,305,436,case marker or adposition,NOM case,,,,3,,main,,,,G
10,west2632,Acoma,311,4140,agreement (grammatical),S/A/P agreement,,,,1,,main,,,,S
10,west2632,Acoma,311,4140,agreement (grammatical),S/A/P agreement,,,,2,,main,,,,Atr
10,west2632,Acoma,311,4140,agreement (grammatical),S/A/P agreement,,,,2,,main,,,,P
10,west2632,Acoma,310,442,case marker or adposition,NOM case,,,,1,,main,,,,S
10,west2632,Acoma,310,442,case marker or adposition,NOM case,,,,2,,main,,,,Atr
10,west2632,Acoma,310,442,case marker or adposition,NOM case,,,,2,,main,,,,P
12,ainu1240,Ainu,313,4141,agreement (grammatical),agreement,,,,1,,main,,,,S
12,ainu1240,Ainu,313,4141,agreement (grammatical),agreement,,,,2,,main,,,,Atr
12,ainu1240,Ainu,313,4141,agreement (grammatical),agreement,,,,2,,main,,,,P
12,ainu1240,Ainu,313,4141,agreement (grammatical),agreement,,,,3,,main,,,,Aditr
12,ainu1240,Ainu,313,4141,agreement (grammatical),agreement,,,,3,,main,,,,G
12,ainu1240,Ainu,2983,3173,agreement (marker),ku- '1s' agreement,1sg,,,1,-2,main,,,,S
12,ainu1240,Ainu,2983,3173,agreement (marker),ku- '1s' agreement,1sg,,3pl,2,-2,main,,,,Atr
12,ainu1240,Ainu,2983,3173,agreement (marker),ku- '1s' agreement,1sg,,3sg,2,-2,main,,,,Atr
12,ainu1240,Ainu,2984,3180,agreement (marker),-as '1pS' agreement,1pl,,,1,1,main,,,,S
12,ainu1240,Ainu,2985,3181,agreement (marker),e- '2s' agreement,2sg,,,1,-2,main,,,,S
12,ainu1240,Ainu,2985,3181,agreement (marker),e- '2s' agreement,2sg,3pl,3pl,2,-2,main,,,,Atr
12,ainu1240,Ainu,2985,3181,agreement (marker),e- '2s' agreement,2sg,3pl,3pl,2,-2,main,,,,P
12,ainu1240,Ainu,2985,3181,agreement (marker),e- '2s' agreement,2sg,3pl,3sg,2,-2,main,,,,Atr
12,ainu1240,Ainu,2985,3181,agreement (marker),e- '2s' agreement,2sg,3pl,3sg,2,-2,main,,,,P
12,ainu1240,Ainu,2985,3181,agreement (marker),e- '2s' agreement,2sg,3pl,,2,-2,main,,,,P
12,ainu1240,Ainu,2985,3181,agreement (marker),e- '2s' agreement,2sg,3sg,3pl,2,-2,main,,,,Atr
12,ainu1240,Ainu,2985,3181,agreement (marker),e- '2s' agreement,2sg,3sg,3pl,2,-2,main,,,,P
12,ainu1240,Ainu,2985,3181,agreement (marker),e- '2s' agreement,2sg,3sg,3sg,2,-2,main,,,,Atr
12,ainu1240,Ainu,2985,3181,agreement (marker),e- '2s' agreement,2sg,3sg,3sg,2,-2,main,,,,P
12,ainu1240,Ainu,2985,3181,agreement (marker),e- '2s' agreement,2sg,3sg,,2,-2,main,,,,P
12,ainu1240,Ainu,2985,3181,agreement (marker),e- '2s' agreement,2sg,,3pl,2,-2,main,,,,Atr
12,ainu1240,Ainu,2985,3181,agreement (marker),e- '2s' agreement,2sg,,3sg,2,-2,main,,,,Atr
12,ainu1240,Ainu,2987,3182,agreement (marker),eci- '2p/2sP' agreement,2pl,,,1,-2,main,,,,S
12,ainu1240,Ainu,2987,3182,agreement (marker),eci- '2p/2sP' agreement,2pl,1pl,1pl,2,-2,main,,,,Atr
12,ainu1240,Ainu,2987,3182,agreement (marker),eci- '2p/2sP' agreement,2pl,1pl,1pl,2,-2,main,,,,P
12,ainu1240,Ainu,2987,3182,agreement (marker),eci- '2p/2sP' agreement,2pl,1pl,1sg,2,-2,main,,,,Atr
12,ainu1240,Ainu,2987,3182,agreement (marker),eci- '2p/2sP' agreement,2pl,1pl,1sg,2,-2,main,,,,P
12,ainu1240,Ainu,2987,3182,agreement (marker),eci- '2p/2sP' agreement,2pl,1pl,3pl,2,-2,main,,,,Atr
12,ainu1240,Ainu,2987,3182,agreement (marker),eci- '2p/2sP' agreement,2pl,1pl,3pl,2,-2,main,,,,P
12,ainu1240,Ainu,2987,3182,agreement (marker),eci- '2p/2sP' agreement,2pl,1pl,3sg,2,-2,main,,,,Atr
12,ainu1240,Ainu,2987,3182,agreement (marker),eci- '2p/2sP' agreement,2pl,1pl,3sg,2,-2,main,,,,P
12,ainu1240,Ainu,2987,3182,agreement (marker),eci- '2p/2sP' agreement,2pl,1sg,1pl,2,-2,main,,,,Atr
12,ainu1240,Ainu,2987,3182,agreement (marker),eci- '2p/2sP' agreement,2pl,1sg,1pl,2,-2,main,,,,P
12,ainu1240,Ainu,2987,3182,agreement (marker),eci- '2p/2sP' agreement,2pl,1sg,1sg,2,-2,main,,,,Atr
12,ainu1240,Ainu,2987,3182,agreement (marker),eci- '2p/2sP' agreement,2pl,1sg,1sg,2,-2,main,,,,P
12,ainu1240,Ainu,2987,3182,agreement (marker),eci- '2p/2sP' agreement,2pl,1sg,3pl,2,-2,main,,,,Atr
12,ainu1240,Ainu,2987,3182,agreement (marker),eci- '2p/2sP' agreement,2pl,1sg,3pl,2,-2,main,,,,P
12,ainu1240,Ainu,2987,3182,agreement (marker),eci- '2p/2sP' agreement,2pl,1sg,3sg,2,-2,main,,,,Atr
12,ainu1240,Ainu,2987,3182,agreement (marker),eci- '2p/2sP' agreement,2pl,1sg,3sg,2,-2,main,,,,P
12,ainu1240,Ainu,2987,3182,agreement (marker),eci- '2p/2sP' agreement,2pl,3pl,1pl,2,-2,main,,,,Atr
12,ainu1240,Ainu,2987,3182,agreement (marker),eci- '2p/2sP' agreement,2pl,3pl,1pl,2,-2,main,,,,P
12,ainu1240,Ainu,2987,3182,agreement (marker),eci- '2p/2sP' agreement,2pl,3pl,1sg,2,-2,main,,,,Atr
12,ainu1240,Ainu,2987,3182,agreement (marker),eci- '2p/2sP' agreement,2pl,3pl,1sg,2,-2,main,,,,P
