LID,Glottocode,Language,SelectorID,SelectorLabel,SelectorType,SelectorTypeBinned,IsSelectorSurveyComplete,MarkerID,SelectedRole,ReferentialCondition,CoargumentRoleCondition,CoargumentReferentialCondition,PredicateClassID,SemanticCondition,SyntacticDomainCondition,ClauseRankCondition,CategoryCondition,DiathesisCondition,PolarityCondition
35,belh1239,Belhare,60,internally headed relativisation,switch-reference (controller),controller,TRUE,,S,,,,1,default,,,,,
35,belh1239,Belhare,60,internally headed relativisation,switch-reference (controller),controller,TRUE,,Atr,high,,,2,default,,,,sympromA,
35,belh1239,Belhare,60,internally headed relativisation,switch-reference (controller),controller,TRUE,,Aditr,high,,,3,default,,,,sympromA,
35,belh1239,Belhare,60,internally headed relativisation,switch-reference (controller),controller,TRUE,,P,high,,,2,default,,,,sympromP,
35,belh1239,Belhare,60,internally headed relativisation,switch-reference (controller),controller,TRUE,,G,high,,,3,default,,,,sympromG,
35,belh1239,Belhare,60,internally headed relativisation,switch-reference (controller),controller,TRUE,,T,high,,,3,default,,,,sympromP,
35,belh1239,Belhare,60,internally headed relativisation,switch-reference (controller),controller,TRUE,,Atr,high,,,635,default,,,,sympromA,
35,belh1239,Belhare,60,internally headed relativisation,switch-reference (controller),controller,TRUE,,P,high,,,635,default,,,,sympromP,
340,russ1263,Russian,104,DAT case,case marker or adposition,case,TRUE,98,G,,,,3,default,,main,,ACT,AFF
340,russ1263,Russian,104,DAT case,case marker or adposition,case,TRUE,98,S,,,,136,default,,main,,ACT,AFF
340,russ1263,Russian,104,DAT case,case marker or adposition,case,TRUE,98,Atr,,,,23,default,,main,,ACT,AFF
340,russ1263,Russian,104,DAT case,case marker or adposition,case,TRUE,98,P,,,,22,default,,main,,ACT,AFF
35,belh1239,Belhare,14,participial relative clause,relativization site,controllee,TRUE,2032,S,,,,1,default,,,,ACT,AFF
35,belh1239,Belhare,14,participial relative clause,relativization site,controllee,TRUE,2032,Atr,,,,2,default,,,,ACT,AFF
35,belh1239,Belhare,14,participial relative clause,relativization site,controllee,TRUE,2032,Aditr,,,,3,default,,,,ACT,AFF
35,belh1239,Belhare,14,participial relative clause,relativization site,controllee,TRUE,2032,Atr,,,,102,default,,,,ACT,AFF
35,belh1239,Belhare,14,participial relative clause,relativization site,controllee,TRUE,2032,Atr,,,,103,default,,,,ACT,AFF
340,russ1263,Russian,105,LOC1 case,case marker or adposition,case,TRUE,99,Atr,,,,36,default,,main,,ACT,AFF
340,russ1263,Russian,105,LOC1 case,case marker or adposition,case,TRUE,99,ADJ,,,,,default,,main,,ACT,AFF
340,russ1263,Russian,105,LOC1 case,case marker or adposition,case,TRUE,99,P,,,,568,default,,main,,ACT,AFF
340,russ1263,Russian,105,LOC1 case,case marker or adposition,case,TRUE,99,S,,,,684,default,,main,,ACT,AFF
340,russ1263,Russian,105,LOC1 case,case marker or adposition,case,TRUE,99,G,,,,691,default,,main,,ACT,AFF
74,stan1293,English,797,,,,FALSE,,,,,,,,,,,,
340,russ1263,Russian,106,S/A agreement,agreement (grammatical),agreement (syntax),TRUE,95,S,,,,1,default,,main,340_PRS,ACT,
340,russ1263,Russian,106,S/A agreement,agreement (grammatical),agreement (syntax),TRUE,95,Atr,,,,2,default,,main,340_PRS,ACT,
340,russ1263,Russian,106,S/A agreement,agreement (grammatical),agreement (syntax),TRUE,95,Aditr,,,,3,default,,main,340_PRS,ACT,
340,russ1263,Russian,106,S/A agreement,agreement (grammatical),agreement (syntax),TRUE,95,S,,,,1,default,,main,340_PST,ACT,
340,russ1263,Russian,106,S/A agreement,agreement (grammatical),agreement (syntax),TRUE,95,Atr,,,,2,default,,main,340_PST,ACT,
340,russ1263,Russian,106,S/A agreement,agreement (grammatical),agreement (syntax),TRUE,95,Aditr,,,,3,default,,main,340_PST,ACT,
340,russ1263,Russian,107,promoting passive,promoting passive/antipassive,diathesis,FALSE,,P,,,,2,default,,main,,n.a.,
340,russ1263,Russian,107,promoting passive,promoting passive/antipassive,diathesis,FALSE,,T,,,,3,default,,main,,n.a.,
340,russ1263,Russian,107,promoting passive,promoting passive/antipassive,diathesis,FALSE,,P,,,,135,default,,main,,n.a.,AFF
340,russ1263,Russian,107,promoting passive,promoting passive/antipassive,diathesis,FALSE,,P,,,,137,default,,main,,n.a.,AFF
340,russ1263,Russian,108,Conjunction reduction (controller),conjunction reduction (controller),controller,FALSE,,S,,,,1,default,,,,ACT,
340,russ1263,Russian,108,Conjunction reduction (controller),conjunction reduction (controller),controller,FALSE,,Atr,,,,2,default,,,,ACT,
340,russ1263,Russian,108,Conjunction reduction (controller),conjunction reduction (controller),controller,FALSE,,Aditr,,,,3,default,,,,ACT,
362,taga1270,Tagalog,95,NOM case,case marker or adposition,case,FALSE,103,S,,,,1,default,,main,,ACT,
362,taga1270,Tagalog,95,NOM case,case marker or adposition,case,FALSE,103,Atr,N-high,,,2,default,,main,,sympromA,
362,taga1270,Tagalog,95,NOM case,case marker or adposition,case,FALSE,103,P,N-high,,,2,default,,main,,sympromP,
362,taga1270,Tagalog,95,NOM case,case marker or adposition,case,FALSE,103,Aditr,N-high,,,3,default,,main,,sympromA,
362,taga1270,Tagalog,95,NOM case,case marker or adposition,case,FALSE,103,G,N-high,,,3,default,,main,,sympromG,
362,taga1270,Tagalog,95,NOM case,case marker or adposition,case,FALSE,103,T,N-high,,,3,default,,main,,sympromP,
362,taga1270,Tagalog,95,NOM case,case marker or adposition,case,FALSE,103,Atr,N-high,,,635,default,,main,,sympromA,
362,taga1270,Tagalog,95,NOM case,case marker or adposition,case,FALSE,103,P,N-high,,,635,default,,main,,sympromP,
362,taga1270,Tagalog,95,NOM case,case marker or adposition,case,FALSE,103,ADJ,N-high,,,,default,,main,,sympromADJ,
362,taga1270,Tagalog,95,NOM case,case marker or adposition,case,FALSE,103,Atr,Pro-high,,,2,default,,main,,sympromA,
362,taga1270,Tagalog,95,NOM case,case marker or adposition,case,FALSE,103,P,Pro-high,,,2,default,,main,,sympromP,
362,taga1270,Tagalog,95,NOM case,case marker or adposition,case,FALSE,103,Aditr,Pro-high,,,3,default,,main,,sympromA,
362,taga1270,Tagalog,95,NOM case,case marker or adposition,case,FALSE,103,G,Pro-high,,,3,default,,main,,sympromG,
362,taga1270,Tagalog,95,NOM case,case marker or adposition,case,FALSE,103,T,Pro-high,,,3,default,,main,,sympromP,
362,taga1270,Tagalog,95,NOM case,case marker or adposition,case,FALSE,103,Atr,Pro-high,,,635,default,,main,,sympromA,
362,taga1270,Tagalog,95,NOM case,case marker or adposition,case,FALSE,103,P,Pro-high,,,635,default,,main,,sympromP,
362,taga1270,Tagalog,95,NOM case,case marker or adposition,case,FALSE,103,ADJ,Pro-high,,,,default,,main,,sympromADJ,
32,basq1248,Basque,1,ERG case,case marker or adposition,case,TRUE,375,Atr,,,,2,default,,main,,ACT,AFF
32,basq1248,Basque,1,ERG case,case marker or adposition,case,TRUE,375,Aditr,,,,3,default,,main,,ACT,AFF
32,basq1248,Basque,1,ERG case,case marker or adposition,case,TRUE,375,S,,,,179,default,,main,,ACT,AFF
32,basq1248,Basque,1,ERG case,case marker or adposition,case,TRUE,375,Atr,,,,180,default,,main,,ACT,AFF
32,basq1248,Basque,1,ERG case,case marker or adposition,case,TRUE,375,Aditr,,,,181,default,,main,,ACT,AFF
32,basq1248,Basque,1,ERG case,case marker or adposition,case,TRUE,375,Aditr,,,,182,default,,main,,ACT,AFF
362,taga1270,Tagalog,668,controllee of non-finite complement,controllee of control/raising construction (shared arg),controllee,TRUE,,S,,,,1,default,,,,,
362,taga1270,Tagalog,668,controllee of non-finite complement,controllee of control/raising construction (shared arg),controllee,TRUE,,Atr,,,,2,default,,,,,
362,taga1270,Tagalog,668,controllee of non-finite complement,controllee of control/raising construction (shared arg),controllee,TRUE,,Aditr,,,,3,default,,,,,
362,taga1270,Tagalog,668,controllee of non-finite complement,controllee of control/raising construction (shared arg),controllee,TRUE,,Atr,,,,635,default,,,,,
362,taga1270,Tagalog,40,relativization site,relativization site,controllee,TRUE,,S,,,,1,default,,main,,,
362,taga1270,Tagalog,40,relativization site,relativization site,controllee,TRUE,,Atr,high,,,2,default,,main,,sympromA,
362,taga1270,Tagalog,40,relativization site,relativization site,controllee,TRUE,,P,high,,,2,default,,main,,sympromP,
362,taga1270,Tagalog,40,relativization site,relativization site,controllee,TRUE,,Aditr,high,,,3,default,,main,,sympromA,
362,taga1270,Tagalog,40,relativization site,relativization site,controllee,TRUE,,G,high,,,3,default,,main,,sympromG,
362,taga1270,Tagalog,40,relativization site,relativization site,controllee,TRUE,,T,high,,,3,default,,main,,sympromP,
362,taga1270,Tagalog,40,relativization site,relativization site,controllee,TRUE,,Atr,high,,,635,default,,main,,sympromA,
362,taga1270,Tagalog,40,relativization site,relativization site,controllee,TRUE,,P,high,,,635,default,,main,,sympromP,
340,russ1263,Russian,2,conjunction reduction (controllee),conj. reduction (controllee) (deleted arg),controllee,TRUE,,S,,,,1,default,,,,ACT,
340,russ1263,Russian,2,conjunction reduction (controllee),conj. reduction (controllee) (deleted arg),controllee,TRUE,,Atr,,,,2,default,,,,ACT,
340,russ1263,Russian,2,conjunction reduction (controllee),conj. reduction (controllee) (deleted arg),controllee,TRUE,,Aditr,,,,3,default,,,,ACT,
199,nama1264,Nama,109,AGR,agreement (grammatical),agreement (syntax),TRUE,313,S,,,,1,default,,main,,ACT,
199,nama1264,Nama,109,AGR,agreement (grammatical),agreement (syntax),TRUE,313,Atr,,,,2,default,,main,,ACT,
199,nama1264,Nama,109,AGR,agreement (grammatical),agreement (syntax),TRUE,313,Aditr,,,,3,default,,main,,ACT,
9,achi1257,Acehnese,145,controllee of control construction (NO GR),controllee of control/raising construction (shared arg),controllee,TRUE,,,,,,,,,,,,
404,warl1254,Warlpiri,1259,,,,FALSE,,,,,,,,,,,,
35,belh1239,Belhare,1260,,,,FALSE,,,,,,,,,,,,
340,russ1263,Russian,5,INS case,case marker or adposition,case,TRUE,1616,P,,,,135,default,,main,,ACT,AFF
340,russ1263,Russian,5,INS case,case marker or adposition,case,TRUE,1616,P,,,,21,default,,main,,ACT,AFF
340,russ1263,Russian,5,INS case,case marker or adposition,case,TRUE,1616,Atr,,,,2,default,,main,,promP & demA,AFF
340,russ1263,Russian,5,INS case,case marker or adposition,case,TRUE,1616,Aditr,,,,3,default,,main,,promP & demA,AFF
340,russ1263,Russian,5,INS case,case marker or adposition,case,TRUE,1616,Atr,,,,135,default,,main,,promP & demA,AFF
340,russ1263,Russian,5,INS case,case marker or adposition,case,TRUE,1616,ADJ,,,,,default,,main,,ACT,AFF
340,russ1263,Russian,5,INS case,case marker or adposition,case,TRUE,1616,T,,,,566,default,,main,,ACT,AFF
110,icel1247,Icelandic,1261,,,,FALSE,,,,,,,,,,,,
455,cent2127,Yup’ik (Central),1262,,,,FALSE,,,,,,,,,,,,
361,swah1253,Swahili,1263,,,,FALSE,,,,,,,,,,,,
99,hind1269,Hindi,97,AGR,agreement (grammatical),agreement (syntax),TRUE,31,S,,,,1,default,,main,,ACT,
99,hind1269,Hindi,97,AGR,agreement (grammatical),agreement (syntax),TRUE,31,Atr,,,,2,default,,main,99_NPTCP,ACT,
99,hind1269,Hindi,97,AGR,agreement (grammatical),agreement (syntax),TRUE,31,Aditr,,,,3,default,,main,99_NPTCP,ACT,
99,hind1269,Hindi,97,AGR,agreement (grammatical),agreement (syntax),TRUE,31,P,,,,2,default,,main,99_PTCP,ACT,
99,hind1269,Hindi,97,AGR,agreement (grammatical),agreement (syntax),TRUE,31,T,,,,3,default,,main,99_PTCP,ACT,
99,hind1269,Hindi,97,AGR,agreement (grammatical),agreement (syntax),TRUE,31,P,,,,878,default,,main,,ACT,
99,hind1269,Hindi,97,AGR,agreement (grammatical),agreement (syntax),TRUE,31,Atr,,,,404,non-volitional,,main,99_PTCP,ACT,
99,hind1269,Hindi,97,AGR,agreement (grammatical),agreement (syntax),TRUE,31,S,,,,877,default,,main,99_NPTCP,ACT,
99,hind1269,Hindi,97,AGR,agreement (grammatical),agreement (syntax),TRUE,31,Atr,,,,880,default,,main,99_NPTCP,ACT,
99,hind1269,Hindi,97,AGR,agreement (grammatical),agreement (syntax),TRUE,31,P,,,,880,default,,main,99_PTCP,ACT,
99,hind1269,Hindi,94,NOM case,case marker or adposition,case,TRUE,28,S,,,,1,default,,main,,ACT,
99,hind1269,Hindi,94,NOM case,case marker or adposition,case,TRUE,28,Atr,,,,2,default,,main,99_NPTCP,ACT,
99,hind1269,Hindi,94,NOM case,case marker or adposition,case,TRUE,28,Aditr,,,,3,default,,main,99_NPTCP,ACT,
99,hind1269,Hindi,94,NOM case,case marker or adposition,case,TRUE,28,P,N-low,,,2,default,,,,ACT,
99,hind1269,Hindi,94,NOM case,case marker or adposition,case,TRUE,28,T,,,,3,default,,,,ACT,
99,hind1269,Hindi,94,NOM case,case marker or adposition,case,TRUE,28,Atr,,,,18,default,,main,,ACT,
99,hind1269,Hindi,94,NOM case,case marker or adposition,case,TRUE,28,P,,,,405,default,,,,ACT,
99,hind1269,Hindi,94,NOM case,case marker or adposition,case,TRUE,28,S,,,,19,non-volitional,,main,99_PTCP,ACT,
