LID,Glottocode,Language,PredicateClassID,PredicateClassLabel,PredicateClassDiscourseFrequency,IndividualPredicateID,IndividualPredicateMeaning,IndividualPredicateSemanticClass,IndividualPredicateMalchukovSemanticClass,PredicateClassDescription
535,nucl1305,Kannada,14,SDAT,infrequent,102,feel_like_laughing,emotion,Malch_emotion,"‘be thirsty’, ‘feel like laughing’, ‘to have fever’, ‘to have a headache’, ‘to be arrogant’,  ‘to feel fear’, ‘to feel irritation’, ‘to feel surprise’, feel angry, feel shy (Amritavalli 2004)"
535,nucl1305,Kannada,14,SDAT,infrequent,103,have_fever,sensation,Malch_sensation,"‘be thirsty’, ‘feel like laughing’, ‘to have fever’, ‘to have a headache’, ‘to be arrogant’,  ‘to feel fear’, ‘to feel irritation’, ‘to feel surprise’, feel angry, feel shy (Amritavalli 2004)"
535,nucl1305,Kannada,14,SDAT,infrequent,104,have_a_headache,diseases_and_bodily_states,Malch_sensation,"‘be thirsty’, ‘feel like laughing’, ‘to have fever’, ‘to have a headache’, ‘to be arrogant’,  ‘to feel fear’, ‘to feel irritation’, ‘to feel surprise’, feel angry, feel shy (Amritavalli 2004)"
535,nucl1305,Kannada,14,SDAT,infrequent,105,feel_fear,emotion,Malch_emotion,"‘be thirsty’, ‘feel like laughing’, ‘to have fever’, ‘to have a headache’, ‘to be arrogant’,  ‘to feel fear’, ‘to feel irritation’, ‘to feel surprise’, feel angry, feel shy (Amritavalli 2004)"
535,nucl1305,Kannada,14,SDAT,infrequent,206,feel_irritated,emotion,Malch_emotion,"‘be thirsty’, ‘feel like laughing’, ‘to have fever’, ‘to have a headache’, ‘to be arrogant’,  ‘to feel fear’, ‘to feel irritation’, ‘to feel surprise’, feel angry, feel shy (Amritavalli 2004)"
535,nucl1305,Kannada,14,SDAT,infrequent,107,be_surprised,emotion,Malch_emotion,"‘be thirsty’, ‘feel like laughing’, ‘to have fever’, ‘to have a headache’, ‘to be arrogant’,  ‘to feel fear’, ‘to feel irritation’, ‘to feel surprise’, feel angry, feel shy (Amritavalli 2004)"
535,nucl1305,Kannada,14,SDAT,infrequent,101,feel_thirsty,sensation,Malch_sensation,"‘be thirsty’, ‘feel like laughing’, ‘to have fever’, ‘to have a headache’, ‘to be arrogant’,  ‘to feel fear’, ‘to feel irritation’, ‘to feel surprise’, feel angry, feel shy (Amritavalli 2004)"
535,nucl1305,Kannada,14,SDAT,infrequent,209,be_angry_(with),emotion,Malch_emotion,"‘be thirsty’, ‘feel like laughing’, ‘to have fever’, ‘to have a headache’, ‘to be arrogant’,  ‘to feel fear’, ‘to feel irritation’, ‘to feel surprise’, feel angry, feel shy (Amritavalli 2004)"
535,nucl1305,Kannada,14,SDAT,infrequent,201,feel_ashamed_(of),emotion,Malch_emotion,"‘be thirsty’, ‘feel like laughing’, ‘to have fever’, ‘to have a headache’, ‘to be arrogant’,  ‘to feel fear’, ‘to feel irritation’, ‘to feel surprise’, feel angry, feel shy (Amritavalli 2004)"
387,tuvi1240,Tuva,11,PDAT,,109,love,emotion,Malch_emotion,"‘like’, ‘be able’"
387,tuvi1240,Tuva,11,PDAT,,110,be_able,ability,Malch_other,"‘like’, ‘be able’"
,,,13,<default>,,,,,,"used to cover all predicate classes not listed separately DO NOT USE ANY MORE - use pred cl. 1, 2, and 3 instead"
387,tuvi1240,Tuva,15,ADAT,,111,be_known,quality,Malch_other,"ceratin adjectival predicates, like ‘known, equal, necessary’"
387,tuvi1240,Tuva,15,ADAT,,112,be_equal,quality,Malch_other,"ceratin adjectival predicates, like ‘known, equal, necessary’"
