LID,Glottocode,Language,Macrorelation,LocusOfMarking,LocusOfMarkingBinned5,LocusOfMarkingBinned6
1,grea1241,Great Andamanese,A,Ø,Ø,Ø
1,grea1241,Great Andamanese,P,D,D,D
1,grea1241,Great Andamanese,POSS,D,D,D
1,grea1241,Great Andamanese,S,D,D,D
6,ambu1247,Ambulas,A,H+D,2,2
6,ambu1247,Ambulas,ATTR,Ø,Ø,Ø
6,ambu1247,Ambulas,P,D,D,D
6,ambu1247,Ambulas,POSS,D,D,D
6,ambu1247,Ambulas,S,H+D,2,2
7,abkh1244,Abkhaz,A,H,H,H
7,abkh1244,Abkhaz,ATTR,F,FloatingorClitic,F
7,abkh1244,Abkhaz,P,H,H,H
7,abkh1244,Abkhaz,POSS,H,H,H
7,abkh1244,Abkhaz,S,H,H,H
9,achi1257,Acehnese,A,H,H,H
9,achi1257,Acehnese,P,H,H,H
9,achi1257,Acehnese,POSS,H,H,H
10,west2632,Acoma,A,H,H,H
10,west2632,Acoma,P,H,H,H
10,west2632,Acoma,POSS,H,H,H
10,west2632,Acoma,S,H,H,H
12,ainu1240,Ainu,A,H,H,H
12,ainu1240,Ainu,P,H,H,H
12,ainu1240,Ainu,POSS,HH,H,H
12,ainu1240,Ainu,S,h,H,H
14,alam1246,Alamblak,A,H,H,H
14,alam1246,Alamblak,ATTR,Ø,Ø,Ø
14,alam1246,Alamblak,P,H,H,H
14,alam1246,Alamblak,POSS,D,D,D
14,alam1246,Alamblak,S,H,H,H
18,aleu1260,Aleut,A,H+D,2,2
18,aleu1260,Aleut,P,H+D,2,2
18,aleu1260,Aleut,POSS,H+D,2,2
18,aleu1260,Aleut,S,H+D,2,2
20,amel1241,Amele,A,H,H,H
20,amel1241,Amele,ATTR,Ø,Ø,Ø
20,amel1241,Amele,P,h,H,H
20,amel1241,Amele,POSS,D,D,D
20,amel1241,Amele,S,H,H,H
22,anem1249,Anêm,A,H,H,H
22,anem1249,Anêm,P,H,H,H
22,anem1249,Anêm,POSS,H,H,H
22,anem1249,Anêm,S,H,H,H
25,nucl1235,Armenian (Eastern),A,H+D,2,2
25,nucl1235,Armenian (Eastern),ATTR,Ø,Ø,Ø
25,nucl1235,Armenian (Eastern),P,D,D,D
25,nucl1235,Armenian (Eastern),POSS,D,D,D
25,nucl1235,Armenian (Eastern),S,H+D,2,2
26,casu1237,Asmat,A,H,H,H
26,casu1237,Asmat,ATTR,Ø,Ø,Ø
26,casu1237,Asmat,P,H,H,H
26,casu1237,Asmat,POSS,Ø,Ø,Ø
26,casu1237,Asmat,S,H,H,H
27,atak1252,Atakapa,A,H,H,H
27,atak1252,Atakapa,P,H,H,H
27,atak1252,Atakapa,POSS,Ø,Ø,Ø
27,atak1252,Atakapa,S,H,H,H
28,awtu1239,Awtuw,A,D,D,D
28,awtu1239,Awtuw,P,D,D,D
28,awtu1239,Awtuw,POSS,D,D,D
28,awtu1239,Awtuw,S,D,D,D
32,basq1248,Basque,A,H+D,2,2
32,basq1248,Basque,ATTR,Ø,Ø,Ø
32,basq1248,Basque,P,H+D,2,2
32,basq1248,Basque,POSS,D,D,D
32,basq1248,Basque,S,H+D,2,2
33,bauz1241,Bauzi,A,Ø,Ø,Ø
33,bauz1241,Bauzi,ATTR,Ø,Ø,Ø
33,bauz1241,Bauzi,P,Ø,Ø,Ø
33,bauz1241,Bauzi,POSS,D,D,D
33,bauz1241,Bauzi,S,Ø,Ø,Ø
34,beja1238,Beja,A,H+D,2,2
34,beja1238,Beja,ATTR,D,D,D
34,beja1238,Beja,P,D,D,D
34,beja1238,Beja,POSS,DD,D,D
34,beja1238,Beja,S,H+D,2,2
35,belh1239,Belhare,A,H+D,2,2
35,belh1239,Belhare,P,H+D,2,2
35,belh1239,Belhare,POSS,h+D,D,2
35,belh1239,Belhare,S,H+D,2,2
39,buru1303,Buru,A,Ø,Ø,Ø
39,buru1303,Buru,P,Ø,Ø,Ø
39,buru1303,Buru,POSS,H,H,H
39,buru1303,Buru,S,Ø,Ø,Ø
40,buru1296,Burushaski,A,Hh+D,2,2
40,buru1296,Burushaski,ATTR,D,D,D
40,buru1296,Burushaski,P,Hh+D,2,2
40,buru1296,Burushaski,POSS,h+D,D,2
40,buru1296,Burushaski,S,Hh+D,2,2
43,cane1242,Canela-Krahô,A,Ø,Ø,Ø
43,cane1242,Canela-Krahô,ATTR,Ø,Ø,Ø
43,cane1242,Canela-Krahô,P,H,H,H
43,cane1242,Canela-Krahô,POSS,D,D,D
43,cane1242,Canela-Krahô,S,H,H,H
44,carn1240,Car,A,F,FloatingorClitic,F
44,carn1240,Car,P,Ø,Ø,Ø
44,carn1240,Car,POSS,Ø,Ø,Ø
44,carn1240,Car,S,F,FloatingorClitic,F
47,cayu1262,Cayuvava,A,H,H,H
47,cayu1262,Cayuvava,ATTR,Ø,Ø,Ø
47,cayu1262,Cayuvava,P,Ø,Ø,Ø
47,cayu1262,Cayuvava,POSS,H,H,H
47,cayu1262,Cayuvava,S,H,H,H
48,cham1312,Chamorro,A,H,H,H
48,cham1312,Chamorro,P,,,
48,cham1312,Chamorro,POSS,H,H,H
48,cham1312,Chamorro,S,hh+d,2,2
50,chic1272,Chichimec,A,H,H,H
50,chic1272,Chichimec,P,H,H,H
50,chic1272,Chichimec,POSS,H,H,H
