LID,Glottocode,Language,MarkerID,MarkerLabel,MarkerExemplar,MarkerForm,MarkerClausalDomain,MarkerMorphemeType,MarkerIsGrammaticalWord,MarkerIsPersonPortmanteau,MarkerHostRestriction,MarkerIsHostRestricted,MarkerFusion,MarkerFusionBinned6,MarkerFusionIsIsolating,MarkerFusionIsNonlinear,MarkerFusionIsReduplicative,MarkerFusionIsTonal,MarkerIsFlexive,MarkerHasLexicalFlexivity,MarkerStemFlexivity,MarkerFormativeFlexivity,MarkerLocus,MarkerLocusBinned6,MarkerLocusBinned5,MarkerPosition,MarkerPositionBinned4,MarkerPositionBinned5,MarkerHasPreposedExponent,MarkerHasPreposedDefaultExponent,MarkerHasPostposedExponent,MarkerHasMultipleExponents,MarkerHasMultipleDefaultExponents,MarkerBehavior,MarkerBehaviorBinned4,MarkerBehaviorIsSpreading,MarkerPlacement,MarkerSource,MarkerSlot,MarkerIsInOppositionToZero,MarkerHostCategory,MarkerHostProjectionType,MarkerHostSyntacticDomain,MarkerHostClausalDomain,MarkerExpressedMicrorelation,MarkerExpressedMacrorelation,MarkerExpressedCategoriesCount,MarkerExpressesMultipleCategories,MarkerExpressedCategory,MarkerExpressedMacrocategory
35,belh1239,Belhare,5,ERG,Case,-Na; after vowels -Na alternates with -a.  Difference very subtle; -Na more typical in repetitions/clarification,argument,formative,FALSE,FALSE,restricted,TRUE,concatenative,concatenative,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,none,none,D,D,D,post,post,post,FALSE,FALSE,TRUE,FALSE,FALSE,final,final,FALSE,,assign,,,NP,phrasal,nominal,argument,A-default,A,1,FALSE,Role,role
35,belh1239,Belhare,5,ERG,Case,-Na; after vowels -Na alternates with -a.  Difference very subtle; -Na more typical in repetitions/clarification,argument,formative,FALSE,FALSE,restricted,TRUE,concatenative,concatenative,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,none,none,D,D,D,post,post,post,FALSE,FALSE,TRUE,FALSE,FALSE,final,final,FALSE,,assign,,,NP,phrasal,nominal,argument,U-stim,P,1,FALSE,Role,role
35,belh1239,Belhare,5,ERG,Case,-Na; after vowels -Na alternates with -a.  Difference very subtle; -Na more typical in repetitions/clarification,argument,formative,FALSE,FALSE,restricted,TRUE,concatenative,concatenative,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,none,none,D,D,D,post,post,post,FALSE,FALSE,TRUE,FALSE,FALSE,final,final,FALSE,,assign,,,NP,phrasal,nominal,argument,I-default,,1,FALSE,Role,role
35,belh1239,Belhare,6,A-AGR,,mostly suffixes; prefixes in inverse scenarios following a 1/2 > 3 > 3ns hierarchy,predicate,formative,FALSE,FALSE,restricted,TRUE,concatenative,concatenative,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,cat-based,none,H,H,H,prae/post,split,split,TRUE,FALSE,TRUE,FALSE,FALSE,inert,,FALSE,,agree,,,V,terminal,verbal,predicate,A-anim,A,3,TRUE,Person,person
35,belh1239,Belhare,6,A-AGR,,mostly suffixes; prefixes in inverse scenarios following a 1/2 > 3 > 3ns hierarchy,predicate,formative,FALSE,FALSE,restricted,TRUE,concatenative,concatenative,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,cat-based,none,H,H,H,prae/post,split,split,TRUE,FALSE,TRUE,FALSE,FALSE,inert,,FALSE,,agree,,,V,terminal,verbal,predicate,A-anim,A,3,TRUE,Role,role
35,belh1239,Belhare,6,A-AGR,,mostly suffixes; prefixes in inverse scenarios following a 1/2 > 3 > 3ns hierarchy,predicate,formative,FALSE,FALSE,restricted,TRUE,concatenative,concatenative,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,cat-based,none,H,H,H,prae/post,split,split,TRUE,FALSE,TRUE,FALSE,FALSE,inert,,FALSE,,agree,,,V,terminal,verbal,predicate,A-anim,A,3,TRUE,Number,number
35,belh1239,Belhare,6,A-AGR,,mostly suffixes; prefixes in inverse scenarios following a 1/2 > 3 > 3ns hierarchy,predicate,formative,FALSE,FALSE,restricted,TRUE,concatenative,concatenative,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,cat-based,none,H,H,H,prae/post,split,split,TRUE,FALSE,TRUE,FALSE,FALSE,inert,,FALSE,,agree,,,V,terminal,verbal,predicate,S-default,S,3,TRUE,Person,person
35,belh1239,Belhare,6,A-AGR,,mostly suffixes; prefixes in inverse scenarios following a 1/2 > 3 > 3ns hierarchy,predicate,formative,FALSE,FALSE,restricted,TRUE,concatenative,concatenative,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,cat-based,none,H,H,H,prae/post,split,split,TRUE,FALSE,TRUE,FALSE,FALSE,inert,,FALSE,,agree,,,V,terminal,verbal,predicate,S-default,S,3,TRUE,Role,role
35,belh1239,Belhare,6,A-AGR,,mostly suffixes; prefixes in inverse scenarios following a 1/2 > 3 > 3ns hierarchy,predicate,formative,FALSE,FALSE,restricted,TRUE,concatenative,concatenative,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,cat-based,none,H,H,H,prae/post,split,split,TRUE,FALSE,TRUE,FALSE,FALSE,inert,,FALSE,,agree,,,V,terminal,verbal,predicate,S-default,S,3,TRUE,Number,number
35,belh1239,Belhare,6,A-AGR,,mostly suffixes; prefixes in inverse scenarios following a 1/2 > 3 > 3ns hierarchy,predicate,formative,FALSE,FALSE,restricted,TRUE,concatenative,concatenative,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,cat-based,none,H,H,H,prae/post,split,split,TRUE,FALSE,TRUE,FALSE,FALSE,inert,,FALSE,,agree,,,V,terminal,verbal,predicate,U-ref,P,3,TRUE,Person,person
