LID,Glottocode,Language,Microrelation,Macrorelation,LocusOfMarkingComments,IsDefaultLocusOfMarking,LocusOfMarking,LocusOfMarkingBinned6,LocusOfMarkingBinned5,LocusOfMarkingCategoryCondition,LocusOfMarkingSyntacticDomainCondition,LocusOfMarkingSemanticDomainCondition
35,belh1239,Belhare,U-stim,P,,TRUE,H+D,2,2,,,
74,stan1293,English,A-default,A,Only pronouns manifest overt case.,TRUE,H+d,2,H,,,
87,stan1295,German,S-default,S,,TRUE,H+D,2,2,,,
404,warl1254,Warlpiri,A-default,A,,TRUE,H+D,2,2,,,
375,tibe1272,Tibetan (Standard Spoken),Act,A,,TRUE,D,D,D,,,
110,icel1247,Icelandic,A-default,A,,TRUE,H+D,2,2,,,
362,taga1270,Tagalog,A-default,A,"Both H and D-marking involve Role only, but in addition, Tg is currently developing verb agreement on the basis of cliticized personal pronouns. The older head-marking is purely relational and called ‘voice’ or ‘focus’.",TRUE,H+D,2,2,,,
9,achi1257,Acehnese,Act,A,Perhaps ‘D on H’,TRUE,H,H,H,,,
337,kich1262,Quiche,S-default,S,Perhaps ‘D on H’,TRUE,H,H,H,,,
455,cent2127,Yup’ik (Central),A-default,A,,TRUE,H+D,2,2,,,
206,nepa1254,Nepali,S-default,S,,TRUE,H+D,2,2,,,
99,hind1269,Hindi,S-default,S,,TRUE,H+D,2,2,,,
169,mait1250,Maithili,S-default,S,,TRUE,H+D,2,2,,,
340,russ1263,Russian,A-default,A,,TRUE,H+D,2,2,,,
420,yima1243,Yimas,S-default,S,Perhaps H on D,TRUE,H,H,H,,,
361,swah1253,Swahili,A-default,A,,TRUE,H,H,H,,,
169,mait1250,Maithili,U-default,P,,TRUE,D,D,D,,,
114,ingu1240,Ingush,S-default,S,"Nom. case always.  Verb agreement on some verbs.Alt. pattern is for the non-agreeing verbs.",TRUE,h+D,2,D,,,
114,ingu1240,Ingush,S-default,S,"Nom. case always.  Verb agreement on some verbs.Alt. pattern is for the non-agreeing verbs.",FALSE,D,D,D,,,
154,haka1240,Hakka Lai,A-default,A,,TRUE,H+D,2,2,,,
35,belh1239,Belhare,U-default,P,,TRUE,H+D,2,2,,,
35,belh1239,Belhare,A-default,A,,TRUE,H+D,2,2,,,
35,belh1239,Belhare,A-exp,A,H only if the verb is transitively inflected which is not necessarily the case with all bivalent experiential propositions,TRUE,h+D,2,D,,,
35,belh1239,Belhare,A-anim,A,,TRUE,H+D,2,2,,,
35,belh1239,Belhare,S-default,S,,TRUE,H+D,2,2,,,
35,belh1239,Belhare,T-default,P,,TRUE,D,D,D,,,
35,belh1239,Belhare,B-default,P,,TRUE,H+D,2,2,,,
35,belh1239,Belhare,G-default,P,,TRUE,D,D,D,,,
74,stan1293,English,S-default,S,Only pronouns manifest overt case.,TRUE,H+d,2,H,,,
74,stan1293,English,U-default,P,Only pronouns manifest overt case.,TRUE,d,D,D,,,
74,stan1293,English,T-default,P,only in personal pronouns; some dialects also maintain a distinction in relative pronouns,TRUE,d,D,D,,,
74,stan1293,English,B-default,P,Preposition ‘to’,TRUE,D,D,D,,,
74,stan1293,English,G-default,P,Preposition ‘to’,TRUE,D,D,D,,,
87,stan1295,German,A-default,A,,TRUE,H+D,2,2,,,
87,stan1295,German,U-default,P,,TRUE,D,D,D,,,
87,stan1295,German,U-stim,P,stimuli marked like A’s,TRUE,H+D,2,2,,,
87,stan1295,German,A-exp,A,,TRUE,D,D,D,,,
404,warl1254,Warlpiri,S-default,S,,TRUE,H+D,2,2,,,
404,warl1254,Warlpiri,U-default,P,,TRUE,H+D,2,2,,,
404,warl1254,Warlpiri,T-default,P,,TRUE,H+D,2,2,,,
404,warl1254,Warlpiri,B-default,P,,TRUE,H+D,2,2,,,
375,tibe1272,Tibetan (Standard Spoken),Pat,P,,TRUE,D,D,D,,,
375,tibe1272,Tibetan (Standard Spoken),B-default,P,Changed 7-6-2001 (BB/jn); was D.,TRUE,h+D,2,D,,,
375,tibe1272,Tibetan (Standard Spoken),G-default,P,,TRUE,D,D,D,,,
375,tibe1272,Tibetan (Standard Spoken),T-default,P,Changed 7-6-2001 (BB/jn); was D.,TRUE,h+D,2,D,,,
375,tibe1272,Tibetan (Standard Spoken),U-emp,P,,TRUE,D,D,D,,,
110,icel1247,Icelandic,S-default,S,,TRUE,H+D,2,2,,,
110,icel1247,Icelandic,U-default,P,,TRUE,D,D,D,,,
110,icel1247,Icelandic,U-stim,P,,TRUE,H+D,2,2,,,
110,icel1247,Icelandic,T-default,P,,TRUE,D,D,D,,,
110,icel1247,Icelandic,B-default,P,,TRUE,D,D,D,,,
110,icel1247,Icelandic,A-exp,A,,TRUE,D,D,D,,,
362,taga1270,Tagalog,G-default,P,,TRUE,H+D,2,2,,,
9,achi1257,Acehnese,Pat,P,Perhaps ‘D on H’,TRUE,H,H,H,,,
337,kich1262,Quiche,A-default,A,Perhaps ‘D on H’,TRUE,H,H,H,,,
337,kich1262,Quiche,U-default,P,Perhaps ‘D on H’,TRUE,H,H,H,,,
455,cent2127,Yup’ik (Central),S-default,S,,TRUE,H+D,2,2,,,
