MorphemeClassID,LID,Glottocode,Language,MorphemeType,MorphemePosition,MorphemeHostRestriction,Notes
327,35,belh1239,Belhare,formative,prae,restricted,Double marking?
328,35,belh1239,Belhare,formative,post,restricted,Double marking?
329,35,belh1239,Belhare,formative,post,Part circum/simulfix,Double marking?
330,35,belh1239,Belhare,formative,post,unrestricted,Double marking?
331,35,belh1239,Belhare,stem,,unrestricted,Double marking?
332,35,belh1239,Belhare,stem part,,unrestricted,Double marking?
333,690,mana1288,Manange,formative,prae,restricted,
334,690,mana1288,Manange,formative,post,restricted,
335,690,mana1288,Manange,formative,post,semi-restricted,
336,690,mana1288,Manange,stem,,unrestricted,
337,87,stan1295,German,formative,prae,unrestricted,"simulfix is like Häuser ‘houses’ or Wänd-chen ‘wall-DIM’ with both ablaut and suffixprae, semirestricted is like ent- + verbs, numerals, ‘neither’, and nouns (ent-stem)Possibly also: (?) post-semirestricted -lich (goes with colours, participialized verbs, adjectives) and also simul semirestricted (ablaut + -lich_ goes with nouns, adjectives, verbs"
338,87,stan1295,German,formative,prae,restricted,"simulfix is like Häuser ‘houses’ or Wänd-chen ‘wall-DIM’ with both ablaut and suffixprae, semirestricted is like ent- + verbs, numerals, ‘neither’, and nouns (ent-stem)Possibly also: (?) post-semirestricted -lich (goes with colours, participialized verbs, adjectives) and also simul semirestricted (ablaut + -lich_ goes with nouns, adjectives, verbs"
339,87,stan1295,German,formative,prae,Part circum/simulfix,"simulfix is like Häuser ‘houses’ or Wänd-chen ‘wall-DIM’ with both ablaut and suffixprae, semirestricted is like ent- + verbs, numerals, ‘neither’, and nouns (ent-stem)Possibly also: (?) post-semirestricted -lich (goes with colours, participialized verbs, adjectives) and also simul semirestricted (ablaut + -lich_ goes with nouns, adjectives, verbs"
340,87,stan1295,German,formative,prae,semi-restricted,"simulfix is like Häuser ‘houses’ or Wänd-chen ‘wall-DIM’ with both ablaut and suffixprae, semirestricted is like ent- + verbs, numerals, ‘neither’, and nouns (ent-stem)Possibly also: (?) post-semirestricted -lich (goes with colours, participialized verbs, adjectives) and also simul semirestricted (ablaut + -lich_ goes with nouns, adjectives, verbs"
341,87,stan1295,German,stem,,unrestricted,"simulfix is like Häuser ‘houses’ or Wänd-chen ‘wall-DIM’ with both ablaut and suffixprae, semirestricted is like ent- + verbs, numerals, ‘neither’, and nouns (ent-stem)Possibly also: (?) post-semirestricted -lich (goes with colours, participialized verbs, adjectives) and also simul semirestricted (ablaut + -lich_ goes with nouns, adjectives, verbs"
342,87,stan1295,German,formative,post,restricted,"simulfix is like Häuser ‘houses’ or Wänd-chen ‘wall-DIM’ with both ablaut and suffixprae, semirestricted is like ent- + verbs, numerals, ‘neither’, and nouns (ent-stem)Possibly also: (?) post-semirestricted -lich (goes with colours, participialized verbs, adjectives) and also simul semirestricted (ablaut + -lich_ goes with nouns, adjectives, verbs"
343,87,stan1295,German,formative,post,unrestricted,"simulfix is like Häuser ‘houses’ or Wänd-chen ‘wall-DIM’ with both ablaut and suffixprae, semirestricted is like ent- + verbs, numerals, ‘neither’, and nouns (ent-stem)Possibly also: (?) post-semirestricted -lich (goes with colours, participialized verbs, adjectives) and also simul semirestricted (ablaut + -lich_ goes with nouns, adjectives, verbs"
344,56,chuk1273,Chukchi,formative,prae,restricted,"maybe also simulfixes: Dunn 1999‘Circum’ split into 2 positions because of potential to be divided in domains"
345,56,chuk1273,Chukchi,formative,prae,Part circum/simulfix,"maybe also simulfixes: Dunn 1999‘Circum’ split into 2 positions because of potential to be divided in domains"
346,56,chuk1273,Chukchi,formative,post,restricted,"maybe also simulfixes: Dunn 1999‘Circum’ split into 2 positions because of potential to be divided in domains"
347,56,chuk1273,Chukchi,formative,post,unrestricted,"maybe also simulfixes: Dunn 1999‘Circum’ split into 2 positions because of potential to be divided in domains"
348,56,chuk1273,Chukchi,stem,,unrestricted,"maybe also simulfixes: Dunn 1999‘Circum’ split into 2 positions because of potential to be divided in domains"
349,56,chuk1273,Chukchi,formative,post,Part circum/simulfix,"maybe also simulfixes: Dunn 1999‘Circum’ split into 2 positions because of potential to be divided in domains"
350,1682,jeha1242,Jahai,formative,prae,restricted,
351,1682,jeha1242,Jahai,formative,in,restricted,
352,1682,jeha1242,Jahai,formative,prae,unrestricted,
353,1682,jeha1242,Jahai,stem,,unrestricted,
354,1440,dutc1256,Dutch,formative,prae,restricted,"possibly simul restricted formative? some verbs undergo ablaut with PTCP.PT circumfix ge--dzaag ‘tell’ > ge-zeg-d ‘told’"
355,1440,dutc1256,Dutch,formative,post,restricted,"possibly simul restricted formative? some verbs undergo ablaut with PTCP.PT circumfix ge--dzaag ‘tell’ > ge-zeg-d ‘told’"
356,1440,dutc1256,Dutch,stem,,unrestricted,"possibly simul restricted formative? some verbs undergo ablaut with PTCP.PT circumfix ge--dzaag ‘tell’ > ge-zeg-d ‘told’"
357,1440,dutc1256,Dutch,formative,post,semi-restricted,"possibly simul restricted formative? some verbs undergo ablaut with PTCP.PT circumfix ge--dzaag ‘tell’ > ge-zeg-d ‘told’"
358,1440,dutc1256,Dutch,formative,prae,Part circum/simulfix,"possibly simul restricted formative? some verbs undergo ablaut with PTCP.PT circumfix ge--dzaag ‘tell’ > ge-zeg-d ‘told’"
359,1440,dutc1256,Dutch,formative,post,Part circum/simulfix,"possibly simul restricted formative? some verbs undergo ablaut with PTCP.PT circumfix ge--dzaag ‘tell’ > ge-zeg-d ‘told’"
360,1440,dutc1256,Dutch,formative,prae,unrestricted,"possibly simul restricted formative? some verbs undergo ablaut with PTCP.PT circumfix ge--dzaag ‘tell’ > ge-zeg-d ‘told’"
361,1207,czec1258,Czech,formative,prae,restricted,"Superlative marking on adjectives is marked via nej-STEM-í, where -i alone is the suffix in comparative marking."
362,1207,czec1258,Czech,formative,prae,unrestricted,"Superlative marking on adjectives is marked via nej-STEM-í, where -i alone is the suffix in comparative marking."
363,1207,czec1258,Czech,formative,post,restricted,"Superlative marking on adjectives is marked via nej-STEM-í, where -i alone is the suffix in comparative marking."
364,1207,czec1258,Czech,formative,post,unrestricted,"Superlative marking on adjectives is marked via nej-STEM-í, where -i alone is the suffix in comparative marking."
365,1207,czec1258,Czech,formative,prae,Part circum/simulfix,"Superlative marking on adjectives is marked via nej-STEM-í, where -i alone is the suffix in comparative marking."
366,1207,czec1258,Czech,stem,,unrestricted,"Superlative marking on adjectives is marked via nej-STEM-í, where -i alone is the suffix in comparative marking."
367,1207,czec1258,Czech,formative,post,Part circum/simulfix,"Superlative marking on adjectives is marked via nej-STEM-í, where -i alone is the suffix in comparative marking."
368,468,east2773,Newar (Dolakha),formative,prae,restricted,"unrestricted formative is -ŋ EMPHATIC; follows nouns, inflected verbs, temporal elements, numerals, etc."
369,468,east2773,Newar (Dolakha),formative,post,restricted,"unrestricted formative is -ŋ EMPHATIC; follows nouns, inflected verbs, temporal elements, numerals, etc."
370,468,east2773,Newar (Dolakha),stem,,unrestricted,"unrestricted formative is -ŋ EMPHATIC; follows nouns, inflected verbs, temporal elements, numerals, etc."
371,468,east2773,Newar (Dolakha),formative,post,unrestricted,"unrestricted formative is -ŋ EMPHATIC; follows nouns, inflected verbs, temporal elements, numerals, etc."
372,225,lahu1253,Lahu,formative,prae,restricted,Unrestricted posposted is Question marker -la53; shown with inflected verb and with verb (what else can it follow?)
373,225,lahu1253,Lahu,stem,,unrestricted,Unrestricted posposted is Question marker -la53; shown with inflected verb and with verb (what else can it follow?)
374,225,lahu1253,Lahu,formative,post,restricted,Unrestricted posposted is Question marker -la53; shown with inflected verb and with verb (what else can it follow?)
375,225,lahu1253,Lahu,formative,post,unrestricted,Unrestricted posposted is Question marker -la53; shown with inflected verb and with verb (what else can it follow?)
376,171,mand1415,Mandarin,stem,,unrestricted,postposed unrestricted formative is -lə FOCUS; follows nouns and verbs (what else?)
377,171,mand1415,Mandarin,formative,prae,restricted,postposed unrestricted formative is -lə FOCUS; follows nouns and verbs (what else?)
378,171,mand1415,Mandarin,formative,post,restricted,postposed unrestricted formative is -lə FOCUS; follows nouns and verbs (what else?)
379,171,mand1415,Mandarin,formative,prae,unrestricted,postposed unrestricted formative is -lə FOCUS; follows nouns and verbs (what else?)
380,171,mand1415,Mandarin,formative,post,unrestricted,postposed unrestricted formative is -lə FOCUS; follows nouns and verbs (what else?)
381,206,nepa1254,Nepali,stem,,unrestricted,semirestricted postposed formative: adjectivizer derivational marker -il; follows nouns and verbs
382,206,nepa1254,Nepali,formative,prae,restricted,semirestricted postposed formative: adjectivizer derivational marker -il; follows nouns and verbs
383,206,nepa1254,Nepali,formative,post,restricted,semirestricted postposed formative: adjectivizer derivational marker -il; follows nouns and verbs
384,206,nepa1254,Nepali,formative,post,semi-restricted,semirestricted postposed formative: adjectivizer derivational marker -il; follows nouns and verbs
385,501,mani1292,Meithei,stem,,unrestricted,"unrestricted preposed formative: -ə nominalizer/attributive.  Occurs on nouns, verbs, verbal adjectives, numerals, determiner, adverb, ‘so’ discourse particlesemirestricted postposed formative: -ni COP.  Occurs on verbs, nouns and verbal adjectives"
386,501,mani1292,Meithei,formative,post,restricted,"unrestricted preposed formative: -ə nominalizer/attributive.  Occurs on nouns, verbs, verbal adjectives, numerals, determiner, adverb, ‘so’ discourse particlesemirestricted postposed formative: -ni COP.  Occurs on verbs, nouns and verbal adjectives"
387,501,mani1292,Meithei,formative,prae,unrestricted,"unrestricted preposed formative: -ə nominalizer/attributive.  Occurs on nouns, verbs, verbal adjectives, numerals, determiner, adverb, ‘so’ discourse particlesemirestricted postposed formative: -ni COP.  Occurs on verbs, nouns and verbal adjectives"
388,501,mani1292,Meithei,formative,post,semi-restricted,"unrestricted preposed formative: -ə nominalizer/attributive.  Occurs on nouns, verbs, verbal adjectives, numerals, determiner, adverb, ‘so’ discourse particlesemirestricted postposed formative: -ni COP.  Occurs on verbs, nouns and verbal adjectives"
389,664,west2420,Kham,stem,,unrestricted,no ‘clitics/semi-/unrestricted’ formatives?
390,664,west2420,Kham,formative,prae,restricted,no ‘clitics/semi-/unrestricted’ formatives?
391,664,west2420,Kham,formative,post,restricted,no ‘clitics/semi-/unrestricted’ formatives?
392,720,kyer1238,Tibetan (Kyirong),stem,,unrestricted,"semi-restricted postposed formative DEF =de (last element of the NP)also emphatic =ko (verbs, nouns)"
393,720,kyer1238,Tibetan (Kyirong),formative,prae,restricted,"semi-restricted postposed formative DEF =de (last element of the NP)also emphatic =ko (verbs, nouns)"
394,720,kyer1238,Tibetan (Kyirong),formative,post,restricted,"semi-restricted postposed formative DEF =de (last element of the NP)also emphatic =ko (verbs, nouns)"
395,720,kyer1238,Tibetan (Kyirong),formative,post,semi-restricted,"semi-restricted postposed formative DEF =de (last element of the NP)also emphatic =ko (verbs, nouns)"
396,723,kham1282,Tibetan (Dege),stem,,unrestricted,"Semi-restricted postposed: -ki ERG/GEN/INSTR; occurs on last element of NP (noun, adjective)"
397,723,kham1282,Tibetan (Dege),formative,prae,restricted,"Semi-restricted postposed: -ki ERG/GEN/INSTR; occurs on last element of NP (noun, adjective)"
398,723,kham1282,Tibetan (Dege),formative,post,restricted,"Semi-restricted postposed: -ki ERG/GEN/INSTR; occurs on last element of NP (noun, adjective)"
399,723,kham1282,Tibetan (Dege),formative,post,semi-restricted,"Semi-restricted postposed: -ki ERG/GEN/INSTR; occurs on last element of NP (noun, adjective)"
400,691,tibe1272,Tibetan (Lhasa),stem,,unrestricted,Not sure if any formatives are unrestricted or semi-restricted.  What about case?  Question markers?
401,691,tibe1272,Tibetan (Lhasa),formative,prae,restricted,Not sure if any formatives are unrestricted or semi-restricted.  What about case?  Question markers?
402,691,tibe1272,Tibetan (Lhasa),formative,post,restricted,Not sure if any formatives are unrestricted or semi-restricted.  What about case?  Question markers?
