LID,Glottocode,Language,VerbInflectionExponenceType,VerbInflectionMaxCategoryCount,VerbInflectionMaxCategorySansAgreementCount,VerbInflectionMaxFormativeCount,VerbInflectionMaxFormativeSansAgreementCount,VerbHasBipartiteStem,VerbIsSyntacticallyCoherent,VerbSyntacticCoherencyNotes,VerbIsProsodicallyCoherent,VerbProsodicCoherencyNotes,VerbIsPhonologicallyCoherent,VerbPhonologicalCoherencyNotes,VerbIncorporation,VerbHasAnyIncorporation,VerbHasNounIncorporation,VerbHasVerbIncorporation,VerbHasNounOrVerbIncorporation,IsVerbInflectionSurveyComplete,VerbInflectionCategory,VerbInflectionMacrocategory,VerbInflectionMarkerPosition,VerbInflectionMarkerPositionBinned4,VerbInflectionMarkerPositionBinned5,VerbInflectionMarkerHasPreposedExponent,VerbInflectionMarkerHasPostposedExponent,VerbInflectionMarkerHasMultipleExponents,IsVerbAgreementSurveyComplete,VerbAgreementMicrorelation,VerbAgreementMarkerPosition,VerbAgreementMarkerPositionBinned4,VerbAgreementMarkerPositionBinned5,VerbAgreementMarkerHasPreposedExponent,VerbAgreementMarkerHasPostposedExponent,VerbAgreementMarkerHasMultipleExponents
35,belh1239,Belhare,distributive,10,8,13,,TRUE,TRUE,,TRUE,all material preceding the main V is an unfooted semi-PrWd,FALSE,,V,TRUE,FALSE,TRUE,TRUE,TRUE,TAM,TAM+,post,post,post,FALSE,TRUE,FALSE,TRUE,A-default,prae/post,split,split,TRUE,TRUE,FALSE
35,belh1239,Belhare,distributive,10,8,13,,TRUE,TRUE,,TRUE,all material preceding the main V is an unfooted semi-PrWd,FALSE,,V,TRUE,FALSE,TRUE,TRUE,TRUE,TAM,TAM+,post,post,post,FALSE,TRUE,FALSE,TRUE,U-default,prae/post,split,split,TRUE,TRUE,FALSE
35,belh1239,Belhare,distributive,10,8,13,,TRUE,TRUE,,TRUE,all material preceding the main V is an unfooted semi-PrWd,FALSE,,V,TRUE,FALSE,TRUE,TRUE,TRUE,Polarity,operators,circum,in/simul,simul,TRUE,FALSE,TRUE,TRUE,A-default,prae/post,split,split,TRUE,TRUE,FALSE
35,belh1239,Belhare,distributive,10,8,13,,TRUE,TRUE,,TRUE,all material preceding the main V is an unfooted semi-PrWd,FALSE,,V,TRUE,FALSE,TRUE,TRUE,TRUE,Polarity,operators,circum,in/simul,simul,TRUE,FALSE,TRUE,TRUE,U-default,prae/post,split,split,TRUE,TRUE,FALSE
35,belh1239,Belhare,distributive,10,8,13,,TRUE,TRUE,,TRUE,all material preceding the main V is an unfooted semi-PrWd,FALSE,,V,TRUE,FALSE,TRUE,TRUE,TRUE,Voice,valence,prae,prae,prae,TRUE,FALSE,FALSE,TRUE,A-default,prae/post,split,split,TRUE,TRUE,FALSE
35,belh1239,Belhare,distributive,10,8,13,,TRUE,TRUE,,TRUE,all material preceding the main V is an unfooted semi-PrWd,FALSE,,V,TRUE,FALSE,TRUE,TRUE,TRUE,Voice,valence,prae,prae,prae,TRUE,FALSE,FALSE,TRUE,U-default,prae/post,split,split,TRUE,TRUE,FALSE
35,belh1239,Belhare,distributive,10,8,13,,TRUE,TRUE,,TRUE,all material preceding the main V is an unfooted semi-PrWd,FALSE,,V,TRUE,FALSE,TRUE,TRUE,TRUE,Mood,TAM+,prae/post,split,split,TRUE,TRUE,FALSE,TRUE,A-default,prae/post,split,split,TRUE,TRUE,FALSE
35,belh1239,Belhare,distributive,10,8,13,,TRUE,TRUE,,TRUE,all material preceding the main V is an unfooted semi-PrWd,FALSE,,V,TRUE,FALSE,TRUE,TRUE,TRUE,Mood,TAM+,prae/post,split,split,TRUE,TRUE,FALSE,TRUE,U-default,prae/post,split,split,TRUE,TRUE,FALSE
35,belh1239,Belhare,distributive,10,8,13,,TRUE,TRUE,,TRUE,all material preceding the main V is an unfooted semi-PrWd,FALSE,,V,TRUE,FALSE,TRUE,TRUE,TRUE,Valence,valence,post,post,post,FALSE,TRUE,FALSE,TRUE,A-default,prae/post,split,split,TRUE,TRUE,FALSE
35,belh1239,Belhare,distributive,10,8,13,,TRUE,TRUE,,TRUE,all material preceding the main V is an unfooted semi-PrWd,FALSE,,V,TRUE,FALSE,TRUE,TRUE,TRUE,Valence,valence,post,post,post,FALSE,TRUE,FALSE,TRUE,U-default,prae/post,split,split,TRUE,TRUE,FALSE
