LID,Glottocode,Language,CaseMarkerMorphemeType,TenseMarkerMorphemeType,NegationMarkerMorphemeType,NounPluralMarkerMorphemeType,CaseMarkerIsPersonPortmanteau,TenseMarkerIsPersonPortmanteau,NegationMarkerIsPersonPortmanteau,NounPluralMarkerIsPersonPortmanteau,CaseMarkerHostRestriction,TenseMarkerHostRestriction,NegationMarkerHostRestriction,NounPluralMarkerHostRestriction,CaseMarkerFusion,TenseMarkerFusion,NegationMarkerFusion,NounPluralMarkerFusion,CaseMarkerFusionBinned6,TenseMarkerFusionBinned6,NegationMarkerFusionBinned6,NounPluralMarkerFusionBinned6,CaseMarkerFusionIsIsolating,TenseMarkerFusionIsIsolating,NegationMarkerFusionIsIsolating,NounPluralMarkerFusionIsIsolating,CaseMarkerFusionIsNonlinear,TenseMarkerFusionIsNonlinear,NegationMarkerFusionIsNonlinear,NounPluralMarkerFusionIsNonlinear,CaseMarkerFusionIsReduplicative,TenseMarkerFusionIsReduplicative,NegationMarkerFusionIsReduplicative,NounPluralMarkerFusionIsReduplicative,CaseMarkerFusionIsTonal,TenseMarkerFusionIsTonal,NegationMarkerFusionIsTonal,NounPluralMarkerFusionIsTonal,CaseMarkerStemFlexivity,TenseMarkerStemFlexivity,NegationMarkerStemFlexivity,NounPluralMarkerStemFlexivity,CaseMarkerFormativeFlexivity,TenseMarkerFormativeFlexivity,NegationMarkerFormativeFlexivity,NounPluralMarkerFormativeFlexivity,CaseMarkerPosition,TenseMarkerPosition,NegationMarkerPosition,NounPluralMarkerPosition,CaseMarkerPositionBinned4,TenseMarkerPositionBinned4,NegationMarkerPositionBinned4,NounPluralMarkerPositionBinned4,CaseMarkerPositionBinned5,TenseMarkerPositionBinned5,NegationMarkerPositionBinned5,NounPluralMarkerPositionBinned5,CaseMarkerHasPreposedExponent,TenseMarkerHasPreposedExponent,NegationMarkerHasPreposedExponent,NounPluralMarkerHasPreposedExponent,CaseMarkerHasPreposedDefaultExponent,TenseMarkerHasPreposedDefaultExponent,NegationMarkerHasPreposedDefaultExponent,NounPluralMarkerHasPreposedDefaultExponent,CaseMarkerHasPostposedExponent,TenseMarkerHasPostposedExponent,NegationMarkerHasPostposedExponent,NounPluralMarkerHasPostposedExponent,CaseMarkerHasMultipleExponents,TenseMarkerHasMultipleExponents,NegationMarkerHasMultipleExponents,NounPluralMarkerHasMultipleExponents,CaseMarkerHasMultipleDefaultExponents,TenseMarkerHasMultipleDefaultExponents,NegationMarkerHasMultipleDefaultExponents,NounPluralMarkerHasMultipleDefaultExponents,CaseMarkerBehavior,TenseMarkerBehavior,NegationMarkerBehavior,NounPluralMarkerBehavior,CaseMarkerBehaviorBinned4,TenseMarkerBehaviorBinned4,NegationMarkerBehaviorBinned4,NounPluralMarkerBehaviorBinned4,CaseMarkerBehaviorIsSpreading,TenseMarkerBehaviorIsSpreading,NegationMarkerBehaviorIsSpreading,NounPluralMarkerBehaviorIsSpreading,CaseMarkerExpressedCategoriesCount,TenseMarkerExpressedCategoriesCount,NegationMarkerExpressedCategoriesCount,NounPluralMarkerExpressedCategoriesCount,CaseMarkerExpressesMultipleCategories,TenseMarkerExpressesMultipleCategories,NegationMarkerExpressesMultipleCategories,NounPluralMarkerExpressesMultipleCategories
35,belh1239,Belhare,formative,formative,formative,formative,FALSE,FALSE,FALSE,FALSE,restricted,restricted,restricted,restricted,concatenative,concatenative,concatenative,concatenative,concatenative,concatenative,concatenative,concatenative,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,none,cat-based,none,,none,none,none,,post,post,circum (post),post,post,post,in/simul,post,post,post,simul,post,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,final,inert,inert,,final,,,,FALSE,FALSE,FALSE,,1,1,1,1,FALSE,FALSE,FALSE,FALSE
74,stan1293,English,formative,formative,formative,formative,FALSE,FALSE,FALSE,FALSE,restricted,restricted,restricted,,suppletive,concatenative,concatenative,concatenative,stem,concatenative,concatenative,concatenative,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,none,lex-based,none,lex-based,none,lex-based,none,,post,post,post,post,post,post,post,post,post,post,post,post,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,final,inert,inert,,final,,,,FALSE,FALSE,FALSE,,1,1,1,1,FALSE,FALSE,FALSE,FALSE
87,stan1295,German,formative,formative,formative,,FALSE,FALSE,FALSE,,restricted,restricted,restricted,,concatenative,concatenative,isolating,,concatenative,concatenative,isolating,,FALSE,FALSE,TRUE,,TRUE,TRUE,TRUE,,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,,lex-based,lex-based,none,,lex-based,lex-based,none,,post,post,prae,,post,post,prae,,post,post,prae,,FALSE,FALSE,TRUE,,FALSE,FALSE,TRUE,,TRUE,TRUE,FALSE,,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,,spreading,inert,initial,,spreading,,initial,,TRUE,FALSE,FALSE,,2,1,1,,TRUE,FALSE,FALSE,
375,tibe1272,Tibetan (Standard Spoken),formative,formative,formative,formative,FALSE,FALSE,FALSE,FALSE,restricted,restricted,restricted,,concatenative,concatenative,concatenative,concatenative,concatenative,concatenative,concatenative,concatenative,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,none,,,,lex-based,,post,post,prae,post,post,post,prae,post,post,post,prae,post,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,final,inert,inert,final,final,,,final,FALSE,FALSE,FALSE,FALSE,1,2,1,0,FALSE,TRUE,FALSE,FALSE
362,taga1270,Tagalog,formative,formative,formative,,FALSE,FALSE,FALSE,FALSE,restricted,restricted,restricted,,concatenative,concatenative,isolating,,concatenative,concatenative,isolating,,FALSE,FALSE,TRUE,,TRUE,TRUE,TRUE,,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,,none,none,none,,lex-based,cat-based,none,,prae,prae,prae,prae,prae,prae,prae,prae,prae,prae,prae,prae,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,initial,inert,initial,,initial,,initial,,FALSE,FALSE,FALSE,,2,1,1,1,TRUE,FALSE,FALSE,FALSE
99,hind1269,Hindi,PoSWd,formative,formative,formative,FALSE,FALSE,FALSE,FALSE,restricted,restricted,restricted,,concatenative,concatenative,isolating,concatenative,concatenative,concatenative,isolating,concatenative,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,none,none,none,,none,none,none,,post,post,prae,post,post,post,prae,post,post,post,prae,post,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,final,inert,inert,inert,final,,,,FALSE,FALSE,FALSE,FALSE,1,4,1,3,FALSE,TRUE,FALSE,TRUE
340,russ1263,Russian,formative,formative,formative,formative,FALSE,FALSE,FALSE,FALSE,restricted,restricted,restricted,,concatenative,concatenative,concatenative,concatenative,concatenative,concatenative,concatenative,concatenative,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,lex-based,none,none,,lex-based,none,none,lex-based,post,post,prae,post,post,post,prae,post,post,post,prae,post,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,spreading,inert,inert,spreading,spreading,,,spreading,TRUE,FALSE,FALSE,TRUE,2,1,1,2,TRUE,FALSE,FALSE,TRUE
171,mand1415,Mandarin,,formative,formative,formative,FALSE,FALSE,FALSE,FALSE,,restricted,restricted,restricted,isolating,concatenative,isolating,concatenative,isolating,concatenative,isolating,concatenative,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,none,none,,,none,none,,prae,post,prae,post,prae,post,prae,post,prae,post,prae,post,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,initial,inert,initial,,initial,,initial,,FALSE,FALSE,FALSE,,1,1,1,1,FALSE,FALSE,FALSE,FALSE
114,ingu1240,Ingush,formative,formative,formative,formative,FALSE,FALSE,FALSE,FALSE,,,restricted,,concatenative,concatenative,concatenative,concatenative,concatenative,concatenative,concatenative,concatenative,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,cat-based,,lex-based,,none,,lex-based,post,,post,post,post,,post,post,post,,post,post,FALSE,,FALSE,FALSE,FALSE,,FALSE,FALSE,TRUE,,TRUE,TRUE,FALSE,,FALSE,FALSE,FALSE,,FALSE,FALSE,spreading,,inert,,spreading,,,,TRUE,,FALSE,,1,1,1,1,FALSE,FALSE,FALSE,FALSE
154,haka1240,Hakka Lai,formative,formative,formative,,FALSE,FALSE,FALSE,FALSE,restricted,restricted,restricted,restricted,isolating,isolating,isolating,,isolating,isolating,isolating,,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,,none,none,none,,none,none,none,,post,post,post,,post,post,post,,post,post,post,,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,,TRUE,TRUE,TRUE,,FALSE,FALSE,FALSE,,FALSE,FALSE,FALSE,,final,inert,inert,,final,,,,FALSE,FALSE,FALSE,,1,1,1,0,FALSE,FALSE,FALSE,FALSE
