LID,Glottocode,Language,HasHeadMarkingForA,HasHeadMarkingForP,HasHeadMarkingForPOSS,HasHeadMarkingForS,HasHeadMarkingForATTR,HasDependentMarkingForA,HasDependentMarkingForP,HasDependentMarkingForPOSS,HasDependentMarkingForS,HasDependentMarkingForATTR,HasHeadMarkingForSAndA,HasHeadMarkingForSOrA,HasHeadMarkingForAAndP,HasHeadMarkingForAOrP,HasDependentMarkingForSAndA,HasDependentMarkingForSOrA,HasDependentMarkingForAAndP,HasDependentMarkingForAOrP,LocusOfMarkingForUStim,LocusOfMarkingForADefault,LocusOfMarkingForSDefault,LocusOfMarkingForAct,LocusOfMarkingForUDefault,LocusOfMarkingForSDefaultIfOther,LocusOfMarkingForAExp,LocusOfMarkingForAAnim,LocusOfMarkingForTDefault,LocusOfMarkingForBDefault,LocusOfMarkingForGDefault,LocusOfMarkingForPat,LocusOfMarkingForUEmp,LocusOfMarkingForUDef,LocusOfMarkingForTDef,LocusOfMarkingForTEmp,LocusOfMarkingForUDefaultIfOther,LocusOfMarkingForBRec,LocusOfMarkingForBBen,LocusOfMarkingForLocative,LocusOfMarkingForIDefault,LocusOfMarkingForAPoss,LocusOfMarkingForURef,LocusOfMarkingForPOSSDefault,LocusOfMarkingForATTRDefault,LocusOfMarkingForPOSSDefaultIfOther,LocusOfMarkingForPOSSDefaultIfN,LocusOfMarkingForPOSSDefaultIfNAlien,LocusOfMarkingForPOSSDefaultIfPro,LocusOfMarkingForATTRDefaultIfOther,LocusOfMarkingForSDefaultIfPro,LocusOfMarkingForADefaultIfPro,LocusOfMarkingForUDefaultIfPro,LocusOfMarkingForPOSSDefaultIfNInal,LocusOfMarkingForSDefaultIfNOrPro,LocusOfMarkingForADefaultIfNOrPro,LocusOfMarkingForPOSSDefaultIfNOrPro,LocusOfMarkingForBDefaultIfOther,LocusOfMarkingForTDefaultIfOther,LocusOfMarkingForADefaultIfOther,LocusOfMarkingForBDefaultIfPro,LocusOfMarkingForUDefaultIfSAP,LocusOfMarkingForPOSSDefaultIf1PERS,LocusOfMarkingForSDefaultIfSAP,LocusOfMarkingForADefaultIfSAP,LocusOfMarkingForUDefaultIf1PERS,LocusOfMarkingForPOSSDefaultIfNKin,LocusOfMarkingForUDefaultIfN,LocusOfMarkingForUDefaultIfNAnim,LocusOfMarkingForADefaultIfN,LocusOfMarkingBinned5ForUStim,LocusOfMarkingBinned5ForADefault,LocusOfMarkingBinned5ForSDefault,LocusOfMarkingBinned5ForAct,LocusOfMarkingBinned5ForUDefault,LocusOfMarkingBinned5ForSDefaultIfOther,LocusOfMarkingBinned5ForAExp,LocusOfMarkingBinned5ForAAnim,LocusOfMarkingBinned5ForTDefault,LocusOfMarkingBinned5ForBDefault,LocusOfMarkingBinned5ForGDefault,LocusOfMarkingBinned5ForPat,LocusOfMarkingBinned5ForUEmp,LocusOfMarkingBinned5ForUDef,LocusOfMarkingBinned5ForTDef,LocusOfMarkingBinned5ForTEmp,LocusOfMarkingBinned5ForUDefaultIfOther,LocusOfMarkingBinned5ForBRec,LocusOfMarkingBinned5ForBBen,LocusOfMarkingBinned5ForLocative,LocusOfMarkingBinned5ForIDefault,LocusOfMarkingBinned5ForAPoss,LocusOfMarkingBinned5ForURef,LocusOfMarkingBinned5ForPOSSDefault,LocusOfMarkingBinned5ForATTRDefault,LocusOfMarkingBinned5ForPOSSDefaultIfOther,LocusOfMarkingBinned5ForPOSSDefaultIfN,LocusOfMarkingBinned5ForPOSSDefaultIfNAlien,LocusOfMarkingBinned5ForPOSSDefaultIfPro,LocusOfMarkingBinned5ForATTRDefaultIfOther,LocusOfMarkingBinned5ForSDefaultIfPro,LocusOfMarkingBinned5ForADefaultIfPro,LocusOfMarkingBinned5ForUDefaultIfPro,LocusOfMarkingBinned5ForPOSSDefaultIfNInal,LocusOfMarkingBinned5ForSDefaultIfNOrPro,LocusOfMarkingBinned5ForADefaultIfNOrPro,LocusOfMarkingBinned5ForPOSSDefaultIfNOrPro,LocusOfMarkingBinned5ForBDefaultIfOther,LocusOfMarkingBinned5ForTDefaultIfOther,LocusOfMarkingBinned5ForADefaultIfOther,LocusOfMarkingBinned5ForBDefaultIfPro,LocusOfMarkingBinned5ForUDefaultIfSAP,LocusOfMarkingBinned5ForPOSSDefaultIf1PERS,LocusOfMarkingBinned5ForSDefaultIfSAP,LocusOfMarkingBinned5ForADefaultIfSAP,LocusOfMarkingBinned5ForUDefaultIf1PERS,LocusOfMarkingBinned5ForPOSSDefaultIfNKin,LocusOfMarkingBinned5ForUDefaultIfN,LocusOfMarkingBinned5ForUDefaultIfNAnim,LocusOfMarkingBinned5ForADefaultIfN,LocusOfMarkingBinned6ForUStim,LocusOfMarkingBinned6ForADefault,LocusOfMarkingBinned6ForSDefault,LocusOfMarkingBinned6ForAct,LocusOfMarkingBinned6ForUDefault,LocusOfMarkingBinned6ForSDefaultIfOther,LocusOfMarkingBinned6ForAExp,LocusOfMarkingBinned6ForAAnim,LocusOfMarkingBinned6ForTDefault,LocusOfMarkingBinned6ForBDefault,LocusOfMarkingBinned6ForGDefault,LocusOfMarkingBinned6ForPat,LocusOfMarkingBinned6ForUEmp,LocusOfMarkingBinned6ForUDef,LocusOfMarkingBinned6ForTDef,LocusOfMarkingBinned6ForTEmp,LocusOfMarkingBinned6ForUDefaultIfOther,LocusOfMarkingBinned6ForBRec,LocusOfMarkingBinned6ForBBen,LocusOfMarkingBinned6ForLocative,LocusOfMarkingBinned6ForIDefault,LocusOfMarkingBinned6ForAPoss,LocusOfMarkingBinned6ForURef,LocusOfMarkingBinned6ForPOSSDefault,LocusOfMarkingBinned6ForATTRDefault,LocusOfMarkingBinned6ForPOSSDefaultIfOther,LocusOfMarkingBinned6ForPOSSDefaultIfN,LocusOfMarkingBinned6ForPOSSDefaultIfNAlien,LocusOfMarkingBinned6ForPOSSDefaultIfPro,LocusOfMarkingBinned6ForATTRDefaultIfOther,LocusOfMarkingBinned6ForSDefaultIfPro,LocusOfMarkingBinned6ForADefaultIfPro,LocusOfMarkingBinned6ForUDefaultIfPro,LocusOfMarkingBinned6ForPOSSDefaultIfNInal,LocusOfMarkingBinned6ForSDefaultIfNOrPro,LocusOfMarkingBinned6ForADefaultIfNOrPro,LocusOfMarkingBinned6ForPOSSDefaultIfNOrPro,LocusOfMarkingBinned6ForBDefaultIfOther,LocusOfMarkingBinned6ForTDefaultIfOther,LocusOfMarkingBinned6ForADefaultIfOther,LocusOfMarkingBinned6ForBDefaultIfPro,LocusOfMarkingBinned6ForUDefaultIfSAP,LocusOfMarkingBinned6ForPOSSDefaultIf1PERS,LocusOfMarkingBinned6ForSDefaultIfSAP,LocusOfMarkingBinned6ForADefaultIfSAP,LocusOfMarkingBinned6ForUDefaultIf1PERS,LocusOfMarkingBinned6ForPOSSDefaultIfNKin,LocusOfMarkingBinned6ForUDefaultIfN,LocusOfMarkingBinned6ForUDefaultIfNAnim,LocusOfMarkingBinned6ForADefaultIfN
1,grea1241,Great Andamanese,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,,Ø,D,,D,H,,,,D,,,,,,,H,,,,,,,D,,H,,,,,Ø,,Ø,,,,,,,,,,,,,,,,,D,,Ø,D,,D,H,,,,D,,,,,,,H,,,,,,,D,,H,,,,,Ø,,Ø,,,,,,,,,,,,,,,,,D,,Ø,D,,D,H,,,,D,,,,,,,H,,,,,,,D,,H,,,,,Ø,,Ø,,,,,,,,,,,,,,,,,D
6,ambu1247,Ambulas,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,,H+D,H+D,,D,,,,,D,,,,,,,,,,,,,,D,Ø,D on H,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,D,,,,,D,,,,,,,,,,,,,,D,Ø,FloatingorClitic,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,D,,,,,D,,,,,,,,,,,,,,D,Ø,D on H,,,,,,,,,,,,,,,,,,,,,,,,
7,abkh1244,Abkhaz,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,H,H,,H,,,,,,,,,,,,,,,,,,,H,F,,,,,,,,,,,,,,,,,,,,,,,,,,,H,H,,H,,,,,,,,,,,,,,,,,,,H,FloatingorClitic,,,,,,,,,,,,,,,,,,,,,,,,,,,H,H,,H,,,,,,,,,,,,,,,,,,,H,F,,,,,,,,,,,,,,,,,,,,,,,,,
9,achi1257,Acehnese,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,,,,H,,,,,,D,,H,,,,,,,,,,,,H,,Ø,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,,,,D,,H,,,,,,,,,,,,H,,Ø,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,,,,,,D,,H,,,,,,,,,,,,H,,Ø,,,,,,,,,,,,,,,,,,,,,,,,
10,west2632,Acoma,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,H,H,,H,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,H,,H,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,H,,H,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,,,,,,
12,ainu1240,Ainu,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,H,h,,H,,,,,Ø,,,,,,,,,,,,,,HH,,,,,,,,,,,,,,H,,,,,,,,,,,,,,H,H,,H,,,,,Ø,,,,,,,,,,,,,,H,,,,,,,,,,,,,,H,,,,,,,,,,,,,,H,H,,H,,,,,Ø,,,,,,,,,,,,,,H,,,,,,,,,,,,,,H,,,,,,,,,,,,
14,alam1246,Alamblak,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,H,H,,H,,,,,,,,,,,,Ø,,,,,,,D,Ø,,,,,,,,,,,,,,,,,,,,,,,,,,,H,H,,H,,,,,,,,,,,,Ø,,,,,,,D,Ø,,,,,,,,,,,,,,,,,,,,,,,,,,,H,H,,H,,,,,,,,,,,,Ø,,,,,,,D,Ø,,,,,,,,,,,,,,,,,,,,,,,,,
18,aleu1260,Aleut,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,H+D,H+D,,H+D,,,,,,,,,,,,,,,,,,,H+D,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,2,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,2,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
20,amel1241,Amele,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,H,H,,h,HH,,,,H,,,,,,,,,,,,,,D,Ø,,,,,,,,,hh,,,,,,HH,,,,,,,,,,,,H,H,,H,H,,,,H,,,,,,,,,,,,,,D,Ø,,,,,,,,,H,,,,,,H,,,,,,,,,,,,H,H,,H,H,,,,H,,,,,,,,,,,,,,D,Ø,,,,,,,,,H,,,,,,H,,,,,,,,,,
22,anem1249,Anêm,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,H,H,,H,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,H,,H,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,H,H,,H,,,,,,,,,,,,,,,,,,,H,,,,,,,,,,,,,,,,,,,,,,,,,,
25,nucl1235,Armenian (Eastern),TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,,H+D,H+D,,D,,,,,,,,,,,,,,,,,,,D,Ø,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,D,,,,,,,,,,,,,,,,,,,D,Ø,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,D,,,,,,,,,,,,,,,,,,,D,Ø,,,,,,,,,,,,,,,,,,,,,,,,,
26,casu1237,Asmat,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,,H,H,,H,,,,,,,,,,,,,,,,,,,Ø,Ø,,,,H,,,,,,,,,,,,,,,,,,,,,,,H,H,,H,,,,,,,,,,,,,,,,,,,Ø,Ø,,,,H,,,,,,,,,,,,,,,,,,,,,,,H,H,,H,,,,,,,,,,,,,,,,,,,Ø,Ø,,,,H,,,,,,,,,,,,,,,,,,,,,
