LID,Glottocode,Language,MarkerPositionBinned5ForTAM,MarkerPositionBinned5ForPolarity,MarkerPositionBinned5ForVoice,MarkerPositionBinned5ForMood,MarkerPositionBinned5ForValence,MarkerPositionBinned5ForAktionsart,MarkerPositionBinned5ForConnective,MarkerPositionBinned5ForSemistem,MarkerPositionBinned5ForReferential,MarkerPositionBinned5ForCausative,MarkerPositionBinned5ForAspect,MarkerPositionBinned5ForTM,MarkerPositionBinned5ForDeixis,MarkerPositionBinned5ForMSE,MarkerPositionBinned5ForQuantificational,MarkerPositionBinned5ForMA,MarkerPositionBinned5ForTense,MarkerPositionBinned5ForTA,MarkerPositionBinned5ForPotentialis,MarkerPositionBinned5ForApplicative,MarkerPositionBinned5ForNumber,MarkerPositionBinned5ForReflexiveAndReciprocal,MarkerPositionBinned5ForVersion,MarkerPositionBinned5ForIllocution,MarkerPositionBinned5ForMTN,MarkerPositionBinned5ForStatus,MarkerPositionBinned5ForEvidential,MarkerPositionBinned5ForConstruct,MarkerPositionBinned5ForNominalizer,MarkerPositionBinned5ForHonorificity,MarkerPositionBinned5ForFocus,MarkerPositionBinned5ForSwitchReference,MarkerPositionBinned5ForSymmetricalVoice,MarkerPositionBinned5ForRECIP,MarkerPositionBinned5ForTE,MarkerPositionBinned5ForReflexive,MarkerPositionBinned5ForClassifier,MarkerPositionBinned5ForME,MarkerPositionBinned5ForRepetition,MarkerPositionBinned5ForSpatial,MarkerPositionBinned5ForMotion,MarkerPositionBinned5ForModality,MarkerPositionBinned5ForDirection,MarkerPositionBinned5ForPosterior,MarkerPositionBinned5ForControl,MarkerPositionBinned5ForQuotative,MarkerPositionBinned5ForReversative,MarkerPositionBinned5ForAffect,MarkerPositionBinned5ForAE,MarkerPositionBinned5ForTAME,MarkerPositionBinned5ForConditional,MarkerPositionBinned5ForPossessor,MarkerPositionBinned5ForTAE,MarkerPositionBinned5ForTN
35,belh1239,Belhare,post,simul,prae,split,post,post,post,prae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,hung1274,Hungarian,post,,post,,,,,,post,post,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,stan1293,English,post,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404,warl1254,Warlpiri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,fiji1243,Fijian (Boumaa),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
374,thai1261,Thai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,mand1415,Mandarin,,,,,,,,,,,post,prae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,ingu1240,Ingush,multiple,post,post,,,,prae,,,post,,,prae,post,in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443,koyr1240,Songhai (Koyra Chiini),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
421,yoru1245,Yoruba,prae,prae,,,,,,,,,,,,,,,,prae,prae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
456,west2369,Persian,post,prae,,,,,,,,post,,,,,,prae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,ainu1240,Ainu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
454,rama1270,Rama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340,russ1263,Russian,,prae,post,,,,,,,,split,post,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,nucl1302,Georgian,post,,post,,,,,,,,,,,,,,,,,,post,,prae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,sgaw1245,Karen (Sgaw),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
458,adyg1241,Adyghe (West Circassian),post,prae,,prae,prae,post,,,,,,,prae,,,,,,,,post,,,prae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
460,popt1235,Jacaltec,multiple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,chuk1273,Chukchi,split,,,,,,,,,,post,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,haka1240,Hakka Lai,post,post,post,,,,,,,,,,,,,,,,,,,,prae,,,,post,in,,,,,,,,,,,,,,,,,,,,,,,,,,
104,hual1241,Quechua (Huallaga),post,,post,,,,,,,,post,,,,,,,,,,post,,,,,,post,,post,,,,,,,,,,,,,,,,,,,,,,,,,
461,onei1249,Oneida,,prae,prae,,,,,,,,,,,,post,,,multiple,,,prae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
