LID,Glottocode,Language,NPHasAgreement,NPHasConstructMarkers,NPHasGovernment,NPHasOvertMarking,NPHasAdjAgreement,NPHasAdjConstructMarkers,NPHasAdjGovernment,NPHasAdjOvertMarking
1,grea1241,Great Andamanese,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
6,ambu1247,Ambulas,,,,,FALSE,FALSE,FALSE,FALSE
7,abkh1244,Abkhaz,TRUE,,,TRUE,TRUE,FALSE,FALSE,TRUE
10,west2632,Acoma,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
12,ainu1240,Ainu,,TRUE,,TRUE,,,,FALSE
14,alam1246,Alamblak,,,,,FALSE,FALSE,FALSE,FALSE
15,akka1240,Akkadian,TRUE,,,TRUE,TRUE,FALSE,FALSE,TRUE
16,alaw1244,Alawa,,,,,FALSE,FALSE,FALSE,FALSE
17,tosk1239,Albanian,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
18,aleu1260,Aleut,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
20,amel1241,Amele,TRUE,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
21,amha1245,Amharic,TRUE,TRUE,TRUE,TRUE,,TRUE,,TRUE
22,anem1249,Anêm,,,,,FALSE,FALSE,FALSE,FALSE
23,stan1318,Arabic,TRUE,TRUE,,TRUE,TRUE,FALSE,FALSE,TRUE
24,bumb1241,Arapesh,,,,,,,,FALSE
25,nucl1235,Armenian (Eastern),TRUE,,,TRUE,TRUE,,,TRUE
26,casu1237,Asmat,TRUE,,,TRUE,FALSE,FALSE,FALSE,FALSE
27,atak1252,Atakapa,TRUE,,,TRUE,FALSE,FALSE,FALSE,FALSE
28,awtu1239,Awtuw,,,,,FALSE,FALSE,FALSE,FALSE
31,nucl1630,Barai,,,,,FALSE,FALSE,FALSE,FALSE
32,basq1248,Basque,,,TRUE,TRUE,,,,FALSE
33,bauz1241,Bauzi,,,,,FALSE,FALSE,FALSE,FALSE
34,beja1238,Beja,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
35,belh1239,Belhare,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
36,beri1254,Berik,,,,,FALSE,FALSE,FALSE,FALSE
38,kuni1265,Boazi,,,,,FALSE,FALSE,FALSE,FALSE
40,buru1296,Burushaski,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
