LID,Glottocode,Language,MarkerHasMultipleExponentsForADefault,MarkerHasMultipleExponentsForUDefault,MarkerHasMultipleExponentsForSDefault,MarkerHasMultipleExponentsForBDefault,MarkerHasMultipleExponentsForPOSSDefault,MarkerHasMultipleExponentsForARGNom,MarkerHasMultipleExponentsForOAdp,MarkerHasMultipleExponentsForAFF,MarkerHasMultipleExponentsForTDefault,MarkerHasMultipleExponentsForIDefault,MarkerHasMultipleExponentsForGDefault,MarkerHasMultipleExponentsForCore,MarkerHasMultipleExponentsForPat,MarkerHasMultipleExponentsForUBDefault
35,belh1239,Belhare,FALSE,FALSE,,,,,,,,,,,,
107,hung1274,Hungarian,FALSE,,,,,,,,,,,,,
74,stan1293,English,FALSE,,,,,,,,,,,,,
404,warl1254,Warlpiri,,,,,,,,,,,,,,
77,fiji1243,Fijian (Boumaa),FALSE,,,,,,,,,,,,,
114,ingu1240,Ingush,,FALSE,,,,,,,,,,,,
421,yoru1245,Yoruba,,FALSE,,,,,,,,,,,,
456,west2369,Persian,FALSE,FALSE,,,,,,,,,,,,
12,ainu1240,Ainu,FALSE,FALSE,FALSE,,,,,,,,,,,
454,rama1270,Rama,FALSE,FALSE,,,,,,,,,,,,
340,russ1263,Russian,FALSE,,,,,,,,,,,,,
86,nucl1302,Georgian,FALSE,FALSE,,FALSE,,,,,,,,,,
458,adyg1241,Adyghe (West Circassian),FALSE,FALSE,,FALSE,FALSE,,,,,,,,,
460,popt1235,Jacaltec,FALSE,FALSE,,,,,,,,,,,,
56,chuk1273,Chukchi,FALSE,FALSE,,,,,,,,,,,,
154,haka1240,Hakka Lai,FALSE,FALSE,,,,,,,,,,,,
104,hual1241,Quechua (Huallaga),FALSE,FALSE,,,,,,,,,,,,
461,onei1249,Oneida,FALSE,FALSE,,,,,,,,,,,,
159,lang1324,Lango,FALSE,FALSE,,,,,,,,,,,,
464,mode1248,Greek (modern),FALSE,FALSE,,FALSE,,,,,,,,,,
