LID,Glottocode,Language,MarkerHasPostposedExponentForADefault,MarkerHasPostposedExponentForUDefault,MarkerHasPostposedExponentForSDefault,MarkerHasPostposedExponentForBDefault,MarkerHasPostposedExponentForPOSSDefault,MarkerHasPostposedExponentForARGNom,MarkerHasPostposedExponentForOAdp,MarkerHasPostposedExponentForAFF,MarkerHasPostposedExponentForTDefault,MarkerHasPostposedExponentForIDefault,MarkerHasPostposedExponentForGDefault,MarkerHasPostposedExponentForCore,MarkerHasPostposedExponentForPat,MarkerHasPostposedExponentForUBDefault
35,belh1239,Belhare,TRUE,TRUE,,,,,,,,,,,,
107,hung1274,Hungarian,TRUE,,,,,,,,,,,,,
74,stan1293,English,TRUE,,,,,,,,,,,,,
404,warl1254,Warlpiri,,,,,,,,,,,,,,
77,fiji1243,Fijian (Boumaa),FALSE,,,,,,,,,,,,,
114,ingu1240,Ingush,,FALSE,,,,,,,,,,,,
421,yoru1245,Yoruba,,FALSE,,,,,,,,,,,,
456,west2369,Persian,TRUE,TRUE,,,,,,,,,,,,
12,ainu1240,Ainu,FALSE,FALSE,TRUE,,,,,,,,,,,
454,rama1270,Rama,FALSE,FALSE,,,,,,,,,,,,
340,russ1263,Russian,TRUE,,,,,,,,,,,,,
86,nucl1302,Georgian,TRUE,FALSE,,FALSE,,,,,,,,,,
458,adyg1241,Adyghe (West Circassian),FALSE,FALSE,,FALSE,FALSE,,,,,,,,,
460,popt1235,Jacaltec,FALSE,FALSE,,,,,,,,,,,,
56,chuk1273,Chukchi,FALSE,TRUE,,,,,,,,,,,,
154,haka1240,Hakka Lai,FALSE,TRUE,,,,,,,,,,,,
104,hual1241,Quechua (Huallaga),TRUE,TRUE,,,,,,,,,,,,
461,onei1249,Oneida,FALSE,FALSE,,,,,,,,,,,,
159,lang1324,Lango,FALSE,TRUE,,,,,,,,,,,,
464,mode1248,Greek (modern),TRUE,FALSE,,FALSE,,,,,,,,,,
78,finn1318,Finnish,TRUE,,,,,,,,,,,,,
87,stan1295,German,TRUE,,,,,,,,,,,,,
99,hind1269,Hindi,,,,,,TRUE,,,,,,,,
118,nucl1643,Japanese,FALSE,,,,,,,,,,,,,
465,mari1440,Maricopa,FALSE,FALSE,,,,,,,,,,,,
466,sang1328,Sango,,,,,,,,,,,,,,
48,cham1312,Chamorro,FALSE,,,,,,,,,,,,,
348,sanu1240,Sanuma,,,,,,,,,,,,,,
354,nort2942,Slave,FALSE,FALSE,,,,,FALSE,,,,,,,
399,wara1303,Warao,,,,,,,,,,,,,,
571,cent2194,Tamazight (Ayt Ndhir),TRUE,FALSE,,FALSE,,,,,,,,,,
581,zulu1248,Zulu,FALSE,FALSE,,,,,,,,,,,,
512,apur1254,Apurina,FALSE,TRUE,,,,,,,,,,,,
502,nucl1301,Turkish,TRUE,,,,,,,,,,,,,
149,goon1238,Kuniyanti,TRUE,TRUE,,,,,,TRUE,,,,,,
112,imon1245,Imonda,TRUE,TRUE,,,,,,TRUE,,,,,,
515,bagi1246,Bagirmi,FALSE,TRUE,,,,,,,,,,,,
378,tiwi1244,Tiwi,FALSE,FALSE,,,,,,,,,,,,
438,maib1239,Maybrat,FALSE,,,,,,,,,,,,,
576,wari1268,Wari,TRUE,TRUE,,,,,,,,,,,,
463,nucl1310,Burmese,TRUE,,,,,,,,,,,,,
569,stan1288,Spanish,TRUE,FALSE,,FALSE,,,,,,,,,,
79,stan1290,French (colloquial),TRUE,FALSE,,FALSE,,,,,,,,,,
498,mezq1235,Otomi (Mezquital),FALSE,TRUE,,TRUE,,,,,,,,,,
411,wasc1239,Wishram,FALSE,FALSE,,FALSE,,,,,,,,,,
324,east2652,Oromo,TRUE,,,,,,,,,,,,,
356,sout2985,Miwok (Southern Sierra),TRUE,TRUE,,,,,,,,,,,,
527,even1259,Evenki,TRUE,,,,,,,,,,,,,
205,nene1249,Nenets (Tundra),TRUE,TRUE,,,,,,,,,,,,
7,abkh1244,Abkhaz,FALSE,,,FALSE,,,,,FALSE,,,,,
433,gily1242,Nivkh,,FALSE,,,,,,,,,,,,
193,east2379,Mparntwe Arrernte,TRUE,,,,,,,,,,,,,
25,nucl1235,Armenian (Eastern),TRUE,,,,,,,,,,,,,
221,diga1241,Mishmi,TRUE,,,,,,,,,,,,,
145,darg1241,Dargi (Kubachi),TRUE,FALSE,,,,,,,,,,,,
355,soma1255,Somali,TRUE,,,,,,,,,,,,,
420,yima1243,Yimas,FALSE,FALSE,,FALSE,,,,,,,,,,
481,svan1243,Svan,TRUE,TRUE,,TRUE,,,,,,,,,,
406,wash1253,Washo,FALSE,FALSE,,,,,,,,,,,,
325,osse1243,Ossetic,TRUE,TRUE,,,,,,,,,,,,
152,kwak1269,Kwakwala,TRUE,TRUE,,,,,,,,TRUE,,,,
668,yecu1235,Totonac (Misantla),TRUE,TRUE,,,,,,,,,,,,
206,nepa1254,Nepali,TRUE,,,,,,,,,,,,,
722,nort2722,Qiang (Northern),TRUE,TRUE,,,,,,,,,,,,
663,drun1238,Drung,TRUE,TRUE,,,,,,,,,,,,
725,ital1282,Italian,TRUE,FALSE,,FALSE,,,,,,,,,,
81,furr1244,Fur,TRUE,,,,,,,,,,,,,
17,tosk1239,Albanian,TRUE,FALSE,,FALSE,,,,,,,,,,
664,west2420,Kham,TRUE,TRUE,,TRUE,,,,,,,,,,
674,limb1266,Limbu,TRUE,TRUE,,,,,,,,,,,,
723,kham1282,Tibetan (Dege),TRUE,,,,,,,,,,,,,
626,kinn1249,Kinnauri,TRUE,TRUE,,,,,,,,,,,,
223,sout2729,Pumi,TRUE,,,,,,,,,,,,,
468,east2773,Newar (Dolakha),TRUE,,,,,,,,,,,,,
169,mait1250,Maithili,TRUE,,,,,,,,,,,,,
632,wayu1241,Hayu,TRUE,TRUE,,,,,,,,,,,,
2826,darg1241,Dargi (standard),TRUE,FALSE,,,,,,,,,,,,
2779,yele1255,Yelî Dnye,FALSE,TRUE,,,,,,,,,,,,
196,murr1258,Murrinh-patha,FALSE,TRUE,,,,,,,,,,,,
69,nubi1251,Nubian (Dongolese),TRUE,,,,,,,,,,,,,
387,tuvi1240,Tuva,TRUE,,,,,,,,,,,,,
177,marg1265,Margi,FALSE,TRUE,FALSE,,,,,,,,,,,
1531,ghod1238,Godoberi,,FALSE,FALSE,,,,,,,,,,,
2949,darg1241,Dargi (Icari),FALSE,FALSE,,,,,,,,,,,,
208,nezp1238,Nez Perce,FALSE,FALSE,,,,,,,,,,,,
192,movi1243,Movima,TRUE,,,,,,,,,,,,,
392,urar1246,Urarina,TRUE,,,,,,,,,,,,,
551,leal1235,Chinantec (Lealao),FALSE,,,,,,,,,,,,,
50,chic1272,Chichimec,FALSE,TRUE,,,,,,,,,,,,
3101,assy1241,Neo-Aramaic (Barwar),TRUE,TRUE,,,,,,,,,,,,
