LID,Glottocode,Language,MarkerPositionForADefault,MarkerPositionForUDefault,MarkerPositionForSDefault,MarkerPositionForBDefault,MarkerPositionForPOSSDefault,MarkerPositionForARGNom,MarkerPositionForOAdp,MarkerPositionForAFF,MarkerPositionForTDefault,MarkerPositionForIDefault,MarkerPositionForGDefault,MarkerPositionForCore,MarkerPositionForPat,MarkerPositionForUBDefault
35,belh1239,Belhare,prae/post,prae/post,,,,,,,,,,,,
107,hung1274,Hungarian,post,,,,,,,,,,,,,
74,stan1293,English,post,,,,,,,,,,,,,
404,warl1254,Warlpiri,Wackernagel,Wackernagel,,,,,,,,,,,,
77,fiji1243,Fijian (Boumaa),prae,,,,,,,,,,,,,
114,ingu1240,Ingush,,prae,,,,,,,,,,,,
421,yoru1245,Yoruba,,prae,,,,,,,,,,,,
456,west2369,Persian,post,post,,,,,,,,,,,,
12,ainu1240,Ainu,prae,prae,post,,,,,,,,,,,
454,rama1270,Rama,prae,prae,,,,,,,,,,,,
340,russ1263,Russian,post,,,,,,,,,,,,,
86,nucl1302,Georgian,prae/post,prae,,prae,,,,,,,,,,
458,adyg1241,Adyghe (West Circassian),prae,prae,,prae,prae,,,,,,,,,
460,popt1235,Jacaltec,prae,prae,,,,,,,,,,,,
56,chuk1273,Chukchi,prae,post,,,,,,,,,,,,
154,haka1240,Hakka Lai,prae,prae/post,,,,,,,,,,,,
104,hual1241,Quechua (Huallaga),post,post,,,,,,,,,,,,
461,onei1249,Oneida,prae,prae,,,,,,,,,,,,
159,lang1324,Lango,prae,post,,,,,,,,,,,,
464,mode1248,Greek (modern),post,prae,,prae,,,,,,,,,,
78,finn1318,Finnish,post,,,,,,,,,,,,,
87,stan1295,German,post,,,,,,,,,,,,,
99,hind1269,Hindi,,,,,,post,,,,,,,,
118,nucl1643,Japanese,prae,,,,,,,,,,,,,
465,mari1440,Maricopa,simul,prae,,,,,,,,,,,,
466,sang1328,Sango,,,,,,,,,,,,,,
48,cham1312,Chamorro,prae,,,,,,,,,,,,,
348,sanu1240,Sanuma,,,,,,,,,,,,,,
