LID,Glottocode,Language,InflectionMarkersAtPostCount,InflectionMarkersAtPraeCount,InflectionMarkersAtSplitCount,InflectionMarkersAtSimulCount,InflectionMarkersAtInCount
7,abkh1244,Abkhaz,5,10,1,0,0
12,ainu1240,Ainu,1,2,0,0,0
17,tosk1239,Albanian,1,3,2,0,0
18,aleu1260,Aleut,11,0,0,0,0
25,nucl1235,Armenian (Eastern),3,1,0,0,0
35,belh1239,Belhare,4,2,3,1,0
48,cham1312,Chamorro,0,1,0,0,0
50,chic1272,Chichimec,1,1,0,0,0
56,chuk1273,Chukchi,2,1,1,0,0
66,dhuw1249,Djapu,3,1,0,0,0
68,djin1251,Djingili,3,4,0,0,0
69,nubi1251,Nubian (Dongolese),4,0,1,0,0
74,stan1293,English,2,0,0,0,0
77,fiji1243,Fijian (Boumaa),0,1,0,0,0
78,finn1318,Finnish,4,0,0,0,0
79,stan1290,French (colloquial),1,3,1,0,0
81,furr1244,Fur,1,0,2,1,0
84,gara1269,Garrwa,4,0,0,0,0
86,nucl1302,Georgian,3,3,1,0,0
87,stan1295,German,2,0,0,0,0
99,hind1269,Hindi,1,0,0,0,0
100,hitt1242,Hittite,2,0,0,0,0
104,hual1241,Quechua (Huallaga),9,0,0,0,0
107,hung1274,Hungarian,5,0,0,0,0
110,icel1247,Icelandic,3,0,0,0,0
112,imon1245,Imonda,2,0,1,0,0
114,ingu1240,Ingush,5,3,0,0,3
118,nucl1643,Japanese,0,1,0,0,0
145,darg1241,Dargi (Kubachi),5,3,0,0,2
149,goon1238,Kuniyanti,3,0,0,0,0
152,kwak1269,Kwakwala,5,0,0,0,1
154,haka1240,Hakka Lai,4,2,1,0,1
159,lang1324,Lango,1,1,0,0,0
169,mait1250,Maithili,4,0,0,0,0
171,mand1415,Mandarin,1,1,0,0,0
177,marg1265,Margi,2,3,0,0,0
179,mart1255,Martuthunira,2,0,0,0,0
188,halh1238,Mongolian (Khalkha),4,0,0,0,0
192,movi1243,Movima,5,0,3,0,1
193,east2379,Mparntwe Arrernte,9,0,0,0,0
196,murr1258,Murrinh-patha,5,2,0,0,0
205,nene1249,Nenets (Tundra),5,0,0,0,0
206,nepa1254,Nepali,5,0,1,0,0
208,nezp1238,Nez Perce,4,8,0,0,0
221,diga1241,Mishmi,6,0,0,0,0
223,sout2729,Pumi,5,2,0,0,0
225,lahu1253,Lahu,3,1,0,0,0
324,east2652,Oromo,1,0,0,0,0
325,osse1243,Ossetic,4,2,1,0,0
326,paez1247,Paez,6,1,0,0,0
340,russ1263,Russian,3,1,1,0,0
352,shua1257,Shuar,8,0,0,0,0
354,nort2942,Slave,0,3,0,0,0
355,soma1255,Somali,0,0,1,0,0
356,sout2985,Miwok (Southern Sierra),8,0,0,0,0
368,tawa1275,Tawala,6,4,0,0,0
378,tiwi1244,Tiwi,0,3,0,0,0
385,shos1248,Tümpisa Shoshone,5,0,2,0,0
387,tuvi1240,Tuva,5,0,0,0,0
392,urar1246,Urarina,9,1,0,0,0
399,wara1303,Warao,4,0,0,0,0
406,wash1253,Washo,8,3,0,0,0
411,wasc1239,Wishram,6,7,0,0,0
419,yess1239,Yessan-Mayo,3,2,0,0,1
420,yima1243,Yimas,4,5,0,0,0
421,yoru1245,Yoruba,0,5,0,0,0
426,yura1255,Yurakare,9,4,1,0,0
433,gily1242,Nivkh,7,1,0,0,0
434,west2414,Gurung,1,1,0,0,0
438,maib1239,Maybrat,0,1,0,0,0
454,rama1270,Rama,0,2,0,0,0
456,west2369,Persian,4,2,0,0,0
458,adyg1241,Adyghe (West Circassian),3,9,0,0,0
460,popt1235,Jacaltec,1,3,0,0,0
461,onei1249,Oneida,2,6,0,0,0
463,nucl1310,Burmese,3,1,0,0,0
464,mode1248,Greek (modern),3,2,0,0,0
465,mari1440,Maricopa,0,1,0,1,0
468,east2773,Newar (Dolakha),4,1,0,0,0
481,svan1243,Svan,4,2,3,0,0
498,mezq1235,Otomi (Mezquital),4,8,0,0,0
501,mani1292,Meithei,4,0,0,0,0
502,nucl1301,Turkish,1,0,0,0,0
512,apur1254,Apurina,1,1,0,0,0
515,bagi1246,Bagirmi,5,2,0,0,0
526,epen1239,Epena Pedee,6,0,0,0,0
527,even1259,Evenki,6,0,0,0,0
