LID,Glottocode,Language,MarkerHasMultipleExponentsForTAM,MarkerHasMultipleExponentsForPolarity,MarkerHasMultipleExponentsForVoice,MarkerHasMultipleExponentsForMood,MarkerHasMultipleExponentsForValence,MarkerHasMultipleExponentsForAktionsart,MarkerHasMultipleExponentsForConnective,MarkerHasMultipleExponentsForSemistem,MarkerHasMultipleExponentsForReferential,MarkerHasMultipleExponentsForCausative,MarkerHasMultipleExponentsForAspect,MarkerHasMultipleExponentsForTM,MarkerHasMultipleExponentsForDeixis,MarkerHasMultipleExponentsForMSE,MarkerHasMultipleExponentsForQuantificational,MarkerHasMultipleExponentsForMA,MarkerHasMultipleExponentsForTense,MarkerHasMultipleExponentsForTA,MarkerHasMultipleExponentsForPotentialis,MarkerHasMultipleExponentsForApplicative,MarkerHasMultipleExponentsForNumber,MarkerHasMultipleExponentsForReflexiveAndReciprocal,MarkerHasMultipleExponentsForVersion,MarkerHasMultipleExponentsForIllocution,MarkerHasMultipleExponentsForMTN,MarkerHasMultipleExponentsForStatus,MarkerHasMultipleExponentsForEvidential,MarkerHasMultipleExponentsForConstruct,MarkerHasMultipleExponentsForNominalizer,MarkerHasMultipleExponentsForHonorificity,MarkerHasMultipleExponentsForFocus,MarkerHasMultipleExponentsForSwitchReference,MarkerHasMultipleExponentsForSymmetricalVoice,MarkerHasMultipleExponentsForRECIP,MarkerHasMultipleExponentsForTE,MarkerHasMultipleExponentsForReflexive,MarkerHasMultipleExponentsForClassifier,MarkerHasMultipleExponentsForME,MarkerHasMultipleExponentsForRepetition,MarkerHasMultipleExponentsForSpatial,MarkerHasMultipleExponentsForMotion,MarkerHasMultipleExponentsForModality,MarkerHasMultipleExponentsForDirection,MarkerHasMultipleExponentsForPosterior,MarkerHasMultipleExponentsForControl,MarkerHasMultipleExponentsForQuotative,MarkerHasMultipleExponentsForReversative,MarkerHasMultipleExponentsForAffect,MarkerHasMultipleExponentsForAE,MarkerHasMultipleExponentsForTAME,MarkerHasMultipleExponentsForConditional,MarkerHasMultipleExponentsForPossessor,MarkerHasMultipleExponentsForTAE,MarkerHasMultipleExponentsForTN
35,belh1239,Belhare,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,hung1274,Hungarian,FALSE,,FALSE,,,,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,stan1293,English,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404,warl1254,Warlpiri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,fiji1243,Fijian (Boumaa),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
374,thai1261,Thai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,mand1415,Mandarin,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,ingu1240,Ingush,FALSE,FALSE,FALSE,,,,FALSE,,,FALSE,,,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443,koyr1240,Songhai (Koyra Chiini),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
421,yoru1245,Yoruba,FALSE,FALSE,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
456,west2369,Persian,FALSE,FALSE,,,,,,,,FALSE,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,ainu1240,Ainu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
454,rama1270,Rama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340,russ1263,Russian,,FALSE,FALSE,,,,,,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,nucl1302,Georgian,FALSE,,FALSE,,,,,,,,,,,,,,,,,,FALSE,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,sgaw1245,Karen (Sgaw),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
458,adyg1241,Adyghe (West Circassian),FALSE,FALSE,,FALSE,FALSE,FALSE,,,,,,,FALSE,,,,,,,,FALSE,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
