LID,Glottocode,Language,MarkerHasPostposedExponentForTAM,MarkerHasPostposedExponentForPolarity,MarkerHasPostposedExponentForVoice,MarkerHasPostposedExponentForMood,MarkerHasPostposedExponentForValence,MarkerHasPostposedExponentForAktionsart,MarkerHasPostposedExponentForConnective,MarkerHasPostposedExponentForSemistem,MarkerHasPostposedExponentForReferential,MarkerHasPostposedExponentForCausative,MarkerHasPostposedExponentForAspect,MarkerHasPostposedExponentForTM,MarkerHasPostposedExponentForDeixis,MarkerHasPostposedExponentForMSE,MarkerHasPostposedExponentForQuantificational,MarkerHasPostposedExponentForMA,MarkerHasPostposedExponentForTense,MarkerHasPostposedExponentForTA,MarkerHasPostposedExponentForPotentialis,MarkerHasPostposedExponentForApplicative,MarkerHasPostposedExponentForNumber,MarkerHasPostposedExponentForReflexiveAndReciprocal,MarkerHasPostposedExponentForVersion,MarkerHasPostposedExponentForIllocution,MarkerHasPostposedExponentForMTN,MarkerHasPostposedExponentForStatus,MarkerHasPostposedExponentForEvidential,MarkerHasPostposedExponentForConstruct,MarkerHasPostposedExponentForNominalizer,MarkerHasPostposedExponentForHonorificity,MarkerHasPostposedExponentForFocus,MarkerHasPostposedExponentForSwitchReference,MarkerHasPostposedExponentForSymmetricalVoice,MarkerHasPostposedExponentForRECIP,MarkerHasPostposedExponentForTE,MarkerHasPostposedExponentForReflexive,MarkerHasPostposedExponentForClassifier,MarkerHasPostposedExponentForME,MarkerHasPostposedExponentForRepetition,MarkerHasPostposedExponentForSpatial,MarkerHasPostposedExponentForMotion,MarkerHasPostposedExponentForModality,MarkerHasPostposedExponentForDirection,MarkerHasPostposedExponentForPosterior,MarkerHasPostposedExponentForControl,MarkerHasPostposedExponentForQuotative,MarkerHasPostposedExponentForReversative,MarkerHasPostposedExponentForAffect,MarkerHasPostposedExponentForAE,MarkerHasPostposedExponentForTAME,MarkerHasPostposedExponentForConditional,MarkerHasPostposedExponentForPossessor,MarkerHasPostposedExponentForTAE,MarkerHasPostposedExponentForTN
35,belh1239,Belhare,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,hung1274,Hungarian,TRUE,,TRUE,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,stan1293,English,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404,warl1254,Warlpiri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,fiji1243,Fijian (Boumaa),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
374,thai1261,Thai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,mand1415,Mandarin,,,,,,,,,,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,ingu1240,Ingush,TRUE,TRUE,TRUE,,,,FALSE,,,TRUE,,,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443,koyr1240,Songhai (Koyra Chiini),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
421,yoru1245,Yoruba,FALSE,FALSE,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
456,west2369,Persian,TRUE,FALSE,,,,,,,,TRUE,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,ainu1240,Ainu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
454,rama1270,Rama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
