LID,Glottocode,Language,MarkerHasPreposedExponentForTAM,MarkerHasPreposedExponentForPolarity,MarkerHasPreposedExponentForVoice,MarkerHasPreposedExponentForMood,MarkerHasPreposedExponentForValence,MarkerHasPreposedExponentForAktionsart,MarkerHasPreposedExponentForConnective,MarkerHasPreposedExponentForSemistem,MarkerHasPreposedExponentForReferential,MarkerHasPreposedExponentForCausative,MarkerHasPreposedExponentForAspect,MarkerHasPreposedExponentForTM,MarkerHasPreposedExponentForDeixis,MarkerHasPreposedExponentForMSE,MarkerHasPreposedExponentForQuantificational,MarkerHasPreposedExponentForMA,MarkerHasPreposedExponentForTense,MarkerHasPreposedExponentForTA,MarkerHasPreposedExponentForPotentialis,MarkerHasPreposedExponentForApplicative,MarkerHasPreposedExponentForNumber,MarkerHasPreposedExponentForReflexiveAndReciprocal,MarkerHasPreposedExponentForVersion,MarkerHasPreposedExponentForIllocution,MarkerHasPreposedExponentForMTN,MarkerHasPreposedExponentForStatus,MarkerHasPreposedExponentForEvidential,MarkerHasPreposedExponentForConstruct,MarkerHasPreposedExponentForNominalizer,MarkerHasPreposedExponentForHonorificity,MarkerHasPreposedExponentForFocus,MarkerHasPreposedExponentForSwitchReference,MarkerHasPreposedExponentForSymmetricalVoice,MarkerHasPreposedExponentForRECIP,MarkerHasPreposedExponentForTE,MarkerHasPreposedExponentForReflexive,MarkerHasPreposedExponentForClassifier,MarkerHasPreposedExponentForME,MarkerHasPreposedExponentForRepetition,MarkerHasPreposedExponentForSpatial,MarkerHasPreposedExponentForMotion,MarkerHasPreposedExponentForModality,MarkerHasPreposedExponentForDirection,MarkerHasPreposedExponentForPosterior,MarkerHasPreposedExponentForControl,MarkerHasPreposedExponentForQuotative,MarkerHasPreposedExponentForReversative,MarkerHasPreposedExponentForAffect,MarkerHasPreposedExponentForAE,MarkerHasPreposedExponentForTAME,MarkerHasPreposedExponentForConditional,MarkerHasPreposedExponentForPossessor,MarkerHasPreposedExponentForTAE,MarkerHasPreposedExponentForTN
35,belh1239,Belhare,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,hung1274,Hungarian,FALSE,,FALSE,,,,,,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,stan1293,English,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404,warl1254,Warlpiri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,fiji1243,Fijian (Boumaa),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
374,thai1261,Thai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,mand1415,Mandarin,,,,,,,,,,,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,ingu1240,Ingush,FALSE,FALSE,FALSE,,,,TRUE,,,FALSE,,,TRUE,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443,koyr1240,Songhai (Koyra Chiini),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
421,yoru1245,Yoruba,TRUE,TRUE,,,,,,,,,,,,,,,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
456,west2369,Persian,FALSE,TRUE,,,,,,,,FALSE,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,ainu1240,Ainu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
454,rama1270,Rama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340,russ1263,Russian,,TRUE,FALSE,,,,,,,,TRUE,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,nucl1302,Georgian,FALSE,,FALSE,,,,,,,,,,,,,,,,,,FALSE,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,sgaw1245,Karen (Sgaw),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
