LID,Glottocode,Language,MarkerPositionForTAMPlus,MarkerPositionForOperators,MarkerPositionForValence,MarkerPositionForInterClausal,MarkerPositionForOther,MarkerPositionForPragmatic,MarkerPositionForNumber,MarkerPositionForEvidential,MarkerPositionForNPRelated,MarkerPositionForClassification,MarkerPositionForEventSpecs,MarkerPositionForRole
35,belh1239,Belhare,post/post/prae/post,circum,post/prae,post,prae,,,,,,,
107,hung1274,Hungarian,post,,post/post,,,post,,,,,,
74,stan1293,English,post (in),,,,,,,,,,,
404,warl1254,Warlpiri,,,,,,,,,,,,
77,fiji1243,Fijian (Boumaa),,,,,,,,,,,,
374,thai1261,Thai,,,,,,,,,,,,
171,mand1415,Mandarin,post/prae,,,,,,,,,,,
114,ingu1240,Ingush,in/post/post,post,post/post,prae,,prae,in/in,,,,,
443,koyr1240,Songhai (Koyra Chiini),,,,,,,,,,,,
421,yoru1245,Yoruba,prae/prae/prae,prae,,,,,,,,,,
456,west2369,Persian,post/prae,prae,post,,,,,,,,,
12,ainu1240,Ainu,,,,,,,,,,,,
454,rama1270,Rama,,,,,,,,,,,,
340,russ1263,Russian,post/prae/post,prae,post,,,,,,,,,
86,nucl1302,Georgian,post,,post/prae,,,,post,,,,,
226,sgaw1245,Karen (Sgaw),,,,,,,,,,,,
458,adyg1241,Adyghe (West Circassian),post/post/prae/prae,prae,prae,,,prae,post,,,,,
460,popt1235,Jacaltec,post/prae,,,,,,,,,,,
56,chuk1273,Chukchi,post/prae/post,,,,,,,,,,,
154,haka1240,Hakka Lai,post,post,post/prae,,,,,post,in,,,
104,hual1241,Quechua (Huallaga),post/post/post,,post,,,,post,post,post,,,
461,onei1249,Oneida,post/prae,prae,prae,,,,post/prae,,,,,
159,lang1324,Lango,,,,,,,,,,,,
464,mode1248,Greek (modern),post (prae),,post,,,,,,,,,
78,finn1318,Finnish,post,,post/post,,,,,,,,,
87,stan1295,German,post (in),,,,,,,,,,,
99,hind1269,Hindi,,,,,,,,,,,,
118,nucl1643,Japanese,,,,,,,,,,,,
465,mari1440,Maricopa,,,,,,,,,,,,
48,cham1312,Chamorro,,,,,,,,,,,,
348,sanu1240,Sanuma,,,,,,,,,,,,
354,nort2942,Slave,,,,,,,,,,,,
399,wara1303,Warao,post,post,post,,,,post,,,,,
571,cent2194,Tamazight (Ayt Ndhir),prae/prae,prae,,,,,,,,,,
581,zulu1248,Zulu,post/prae/prae,,post/post/prae,,,,,,,,,
188,halh1238,Mongolian (Khalkha),post,,post/post/post,,,,,,,,,
512,apur1254,Apurina,,,,,,,,,,,,
128,kaya1319,Kayardild,,,,,,,,,,,,
502,nucl1301,Turkish,,,,,,,,,,,,
149,goon1238,Kuniyanti,,,,,,,,,,,,
112,imon1245,Imonda,,,,,,,,,,,,
515,bagi1246,Bagirmi,post/post/post/prae,post,,,,,,,,,,
378,tiwi1244,Tiwi,prae,,,,,,,,,,,
179,mart1255,Martuthunira,post,,,,,,post,,,,,
497,supy1237,Supyire,,,,,,,,,,,,
501,mani1292,Meithei,post/post/post,post,,,,,,,,,,
576,wari1268,Wari,,,,,,,,,,,,
463,nucl1310,Burmese,post/post,prae,,,,,,,,,,
569,stan1288,Spanish,post,,,,,,,,,,,
79,stan1290,French (colloquial),post,prae,,,,,,,,,,
498,mezq1235,Otomi (Mezquital),prae/prae,prae,prae/prae,,,post/prae,post,,,,prae,
411,wasc1239,Wishram,post/post/post/post/prae,,post/prae/prae,,,prae,post,,,,,
324,east2652,Oromo,,,,,,,,,,,,
526,epen1239,Epena Pedee,post/post/post,post,,,,post,post,,,,,
356,sout2985,Miwok (Southern Sierra),post/post/post,,post/post/post,,,,,,,,,
527,even1259,Evenki,post/post,,post/post,,,,post,,,,,
205,nene1249,Nenets (Tundra),post,,post,,,post,,,,,,
7,abkh1244,Abkhaz,post/post/post/prae/post,,prae/prae/prae,,prae,prae,post,,,,post,
433,gily1242,Nivkh,post/post/post,post,post,,,post,post,,,,,
193,east2379,Mparntwe Arrernte,post/post/post,post,post,post,,,,,,,post/post,
25,nucl1235,Armenian (Eastern),post,prae,post,,,,,,,,,
221,diga1241,Mishmi,post/post,post,,,,,post,post,,,,
528,garo1247,Garo,post,post,,,,,post,,,,,
145,darg1241,Dargi (Kubachi),in/post,in,post,,prae,prae,,post,,,,post
355,soma1255,Somali,,,,,,,,,,,,
420,yima1243,Yimas,post/post/post,,prae,,,prae,post,,,,,
481,svan1243,Svan,post/post,,post/prae,,,prae,post,,,,,
406,wash1253,Washo,post/post/post/post,post,post,,,post,prae,post,,,,
325,osse1243,Ossetic,post/post/prae,prae,in/post,,,,,,,,,
152,kwak1269,Kwakwala,post/post,,,,,,in,,,,,
668,yecu1235,Totonac (Misantla),post/prae/prae/post,,,,,,,,,,,
