LID,Glottocode,Language,ISO639_3,LanguageAlternativeNames,Stock,StockAlternativeName,MacroQuasiStock,QuasiStock,MajorBranch,SubBranch,SubSubBranch,LowestSubBranch,Genesis,Longitude,Latitude,LocalRegion,IsNearProtoHomeland,Modality,Subsistence,OriginContinent,Continent,Area,Macrocontinent
199,nama1264,Nama,naq,"Nama, Khoekhoe",Kwadi-Khoe,,,,Khoekhoe,,,,,18,-25.5,,,,,Africa,Africa,S Africa,Africa
148,kung1261,!Kung,knw,"!Xu, !Kung, !Hu, !Khung, !Ku, !Kung, !Xu, !Xun, !Xung, Ekoka-!Xû, Kung, Qxü, Kung-Ekoka",Ju,Northern Khoisan,,,,,,,,18,-19.67,,TRUE,,,Africa,Africa,S Africa,Africa
94,hadz1240,Hadza,hts,Hadza,Hadza,,,,,,,,,35.17,-3.75,,TRUE,,hg,Africa,Africa,S Africa,Africa
347,sand1273,Sandawe,sad,Sandawe,Sandawe,,,,,,,,,35,-5,,TRUE,,hg,Africa,Africa,S Africa,Africa
151,kwad1244,Kwadi,kwz,"Kwadi, Cuepe, Curoca",Kwadi-Khoe,,,,Kwadi,,,,,12,-16,,,,,Africa,Africa,S Africa,Africa
323,tega1236,Orig,ras,"Tegali, Orig, Rashad (Kom, Ngakom, Kome)",Kordofanian,,Niger-Kordofanian,,,,,,,31,13,,TRUE,,,Africa,Africa,African Savannah,Africa
75,ewee1241,Ewe,ewe,Ewe,Kwa,,Niger-Kordofanian,Niger-Congo,Gbe,,,,,0.42,6.33,,TRUE,,not hg,Africa,Africa,African Savannah,Africa
172,mand1436,Mandinka,mnk,Mandinka,Mande,,Niger-Kordofanian,Macro-Niger-Congo,West Mande,,,,,-15.67,15,,,,,Africa,Africa,African Savannah,Africa
80,adam1253,Fula,fub,Fula,North Atlantic,,Niger-Kordofanian,Macro-Niger-Congo,,,"Peul-Serer, Peul-Sereer",Fula,,-9,13,,TRUE,,not hg,Africa,Africa,African Savannah,Africa
305,izon1238,Ijo,ijc,"Ijo, Izon",Ijoid,,Niger-Kordofanian,Macro-Niger-Congo,,,,,,5.4,4.55,,TRUE,,,Africa,Africa,African Savannah,Africa
85,gbay1287,Gbeya,gbp,"Gbeya, Gbeya Bossangoa, Gbaya-Bossangoa, Gbaya Bossangoa",Adamawa-Ubangi,,Niger-Kordofanian,Niger-Congo,,,,,,15,5,,,,,Africa,Africa,African Savannah,Africa
165,gand1255,Luganda,lug,Luganda,Benue-Congo,,Niger-Kordofanian,Niger-Congo,Bantoid,Bantu (narrow),,,,32.17,0.5,,,,not hg,Africa,Africa,S Africa,Africa
123,kanu1279,Kanuri,kau,Kanuri,Saharan,,,,,,,,,13,12,,TRUE,,not hg,Africa,Africa,African Savannah,Africa
81,furr1244,Fur,fvr,"Fur, For",Fur,,,,,,,,,25,13.5,,TRUE,,,Africa,Africa,African Savannah,Africa
111,ikkk1242,Ik,ikx,Ik,Kuliak,,,,,,,,,34.17,3.75,,TRUE,,not hg,Africa,Africa,S Africa,Africa
